annotation	annot_col	tissue	df_diff	deviance	p_lrt	n_vmrs	n_annotated	fdr
Promoter	hg38_genes_promoters	Caudate	3	201.616235055702	1.88769533259479e-43	11674	2966	1.13261719955687e-42
Enhancer	hg38_enhancers_fantom	Caudate	3	173.246538651753	2.53366925113004e-37	11674	1098	1.01346770045202e-36
1–5 kb upstream	hg38_genes_1to5kb	Caudate	3	145.64075514582	2.2963876809074e-31	11674	3755	6.88916304272219e-31
Intergenic	hg38_genes_intergenic	Caudate	3	269.567633225593	3.82832092497181e-58	11674	2441	4.59398510996618e-57
Promoter	hg38_genes_promoters	DLPFC	3	53.9313934507063	1.1605061143303e-11	9522	2184	1.74075917149545e-11
Enhancer	hg38_enhancers_fantom	DLPFC	3	50.2415100505277	7.09685311442819e-11	9522	862	9.46247081923758e-11
1–5 kb upstream	hg38_genes_1to5kb	DLPFC	3	23.3629614847796	3.39251396735124e-05	9522	2906	3.70092432801954e-05
Intergenic	hg38_genes_intergenic	DLPFC	3	54.0812787253526	1.07815635297131e-11	9522	2021	1.74075917149545e-11
Promoter	hg38_genes_promoters	Hippocampus	3	42.0860446493843	3.84693562066314e-09	9799	2294	4.61632274479576e-09
Enhancer	hg38_enhancers_fantom	Hippocampus	3	60.1462689754681	5.47011760817304e-13	9799	887	1.09402352163461e-12
1–5 kb upstream	hg38_genes_1to5kb	Hippocampus	3	22.3968143151524	5.39336323731755e-05	9799	3022	5.39336323731755e-05
Intergenic	hg38_genes_intergenic	Hippocampus	3	95.3455807129994	1.55613016885702e-20	9799	2034	3.73471240525686e-20
