term	estimate	std.error	statistic	p.value	conf.low	conf.high	annotation	annot_col	tissue	n_vmrs	n_annotated	fdr
h2_scaled	0.827852227682478	0.0161218827676582	-11.7182721292246	1.02746234451724e-31	0.801760208504929	0.854083548060326	Promoter	hg38_genes_promoters	Caudate	11674	2966	6.16477406710343e-31
h2_scaled	0.737440856942957	0.0280598208394671	-10.8542884041203	1.90283081852689e-27	0.696769271773124	0.777874902254634	Enhancer	hg38_enhancers_fantom	Caudate	11674	1098	5.99022677300893e-27
h2_scaled	0.859824535547382	0.013919679795884	-10.8498860030638	1.99674225766964e-27	0.836468588008827	0.883390491614574	1–5 kb upstream	hg38_genes_1to5kb	Caudate	11674	3755	5.99022677300893e-27
h2_scaled	1.22630288753362	0.0125750049475036	16.2229646275438	3.4703189005714e-59	1.19645150952827	1.25691623649939	Intergenic	hg38_genes_intergenic	Caudate	11674	2441	4.16438268068568e-58
h2_scaled	0.94371581882478	0.0215890037593271	-2.68331962810414	0.00728952848785366	0.904054960213054	0.983935132071793	Promoter	hg38_genes_promoters	DLPFC	9522	2184	0.00728952848785366
h2_scaled	0.796764065809156	0.0370109864905756	-6.13862783467371	8.32373159837617e-10	0.739109498988345	0.854663810322956	Enhancer	hg38_enhancers_fantom	DLPFC	9522	862	1.24855973975643e-09
h2_scaled	0.945272574593701	0.0191589136733353	-2.93763807880629	0.00330722860689596	0.910082473272993	0.981093751584111	1–5 kb upstream	hg38_genes_1to5kb	DLPFC	9522	2906	0.00360788575297742
h2_scaled	1.14962830553535	0.0185230169125908	7.52785997069301	5.15786612534619e-14	1.10841911717022	1.19192931273349	Intergenic	hg38_genes_intergenic	DLPFC	9522	2021	1.03157322506924e-13
h2_scaled	0.916406119708119	0.0208396329131966	-4.18892457466975	2.80279529360332e-05	0.879182965566711	0.954056322225236	Promoter	hg38_genes_promoters	Hippocampus	9799	2294	3.73706039147109e-05
h2_scaled	0.785178328544424	0.0359463864045271	-6.72792013519919	1.72105334585588e-11	0.729922622028974	0.84052461386264	Enhancer	hg38_enhancers_fantom	Hippocampus	9799	887	2.95037716432437e-11
h2_scaled	0.926517650369148	0.0183310248336421	-4.16355242238263	3.13334044272731e-05	0.893477234487113	0.960069473741427	1–5 kb upstream	hg38_genes_1to5kb	Hippocampus	9799	3022	3.76000853127277e-05
h2_scaled	1.18858963653532	0.0173382918107395	9.96450092931545	2.17965796390872e-23	1.14871897239582	1.22953615738101	Intergenic	hg38_genes_intergenic	Hippocampus	9799	2034	5.23117911338093e-23
