tissue	cell_type	or	ci_lo	ci_hi	p_value	n_top_q	n_lower_q	fdr
Caudate	Union	0.0682663639912269	0.0464806296524955	0.0979076138437504	9.31676591642264e-76	335	1341	9.93788364418415e-75
Caudate	Exc	0.105878767603123	0.0629405628669733	0.169093777785006	4.61681663388213e-35	335	1341	1.13644717141714e-34
Caudate	Inh	0.0785046020862442	0.0396929671849657	0.141112052727267	1.13976910309821e-33	335	1341	2.60518652136734e-33
Caudate	Astro	0.037222747201686	0.0147297375497054	0.0784853273069587	1.64292709053815e-46	335	1341	5.2573666897221e-46
Caudate	Oligo	0.0445025919344127	0.0188850064539653	0.0898350194166982	1.05134375348151e-43	335	1341	3.05845455558257e-43
Caudate	OPC	0.0119842372714249	0.00244762275064432	0.0356351673896043	3.00001200442898e-65	335	1341	1.60000640236212e-64
Caudate	Endo	0.0544494921624586	0.0230936634430138	0.110002169190547	7.44352552215552e-36	335	1341	1.98494013924147e-35
Caudate	Micro	0.183292119175949	0.103670761450641	0.304314858045306	5.77076157962717e-16	335	1341	1.15415231592543e-15
DLPFC	Union	0.460523338413798	0.320410947892268	0.660546962905253	1.46745154877714e-05	164	656	1.75328852785287e-05
DLPFC	Exc	0.559515203513102	0.368423623604795	0.836315802879414	0.00317752256154785	164	656	0.00328002328933972
DLPFC	Inh	0.390979856359715	0.240938246526305	0.615718724789089	1.0892999334913e-05	164	656	1.39430391486886e-05
DLPFC	Astro	0.391526291447724	0.250653661266353	0.598089541865598	2.85956653347841e-06	164	656	3.97852735092648e-06
DLPFC	Oligo	0.47432771600141	0.301570847638458	0.72914754918373	0.000317965582380971	164	656	0.000350858573661761
DLPFC	OPC	0.544748963804785	0.357407919070209	0.816553806457569	0.00227653683447287	164	656	0.00242830595677106
DLPFC	Endo	0.358758311134224	0.211358646246934	0.585195162683948	7.67919635034536e-06	164	656	1.02389284671271e-05
DLPFC	Micro	0.748987255688944	0.467042324444465	1.17261160734564	0.207657330730314	164	656	0.207657330730314
Hippocampus	Union	0.293800840540027	0.210713067861342	0.406606887239772	3.8567512203802e-15	219	873	6.85644661400924e-15
Hippocampus	Exc	0.452008304898671	0.302405647373966	0.662718400988771	1.47933719537586e-05	219	873	1.75328852785287e-05
Hippocampus	Inh	0.363568007164032	0.22910683126274	0.559403180259883	4.14477057064859e-07	219	873	6.02875719367068e-07
Hippocampus	Astro	0.263487449834009	0.165254176718129	0.406503063590816	7.94401522551643e-12	219	873	1.27104243608263e-11
Hippocampus	Oligo	0.181670402491364	0.104961366284764	0.298536840664973	6.86512537676326e-16	219	873	1.29225889444956e-15
Hippocampus	OPC	0.270305997106709	0.17429034051009	0.407859245028952	2.51734619374274e-12	219	873	4.2397409578825e-12
Hippocampus	Endo	0.313364267803932	0.189197446114139	0.498633760091033	4.5246060002606e-08	219	873	6.89463771468282e-08
Hippocampus	Micro	0.438743664714436	0.273666184047947	0.681274028190056	7.84362253856002e-05	219	873	8.96414004406859e-05
Pooled	Union	0.123037687590389	0.0996372307296331	0.151132962671444	6.13611534408554e-114	701	2801	1.96355691010737e-112
Pooled	Exc	0.192721924112916	0.147096466851897	0.249480512551104	1.82946066090012e-49	701	2801	7.31784264360048e-49
Pooled	Inh	0.145049538181527	0.104061500729915	0.198012400073225	5.025571317551e-53	701	2801	2.29740403088046e-52
Pooled	Astro	0.101310568890942	0.0713540067770627	0.140438684807625	1.54818710498378e-74	701	2801	1.23854968398702e-73
Pooled	Oligo	0.0904032776157519	0.0615735367658118	0.128937361378169	7.54948816195091e-74	701	2801	4.83167242364858e-73
Pooled	OPC	0.089150946962089	0.0630575425461812	0.123109910816321	1.08193118585111e-86	701	2801	1.73108989736177e-85
Pooled	Endo	0.145607245242213	0.102870113713884	0.201358808035535	2.08840032929844e-49	701	2801	7.42542339306113e-49
Pooled	Micro	0.223359685600797	0.160462235911236	0.304776052182845	1.54617300770071e-29	701	2801	3.29850241642818e-29
