h2_quintile	n	n_in_peak	frac	h2_median	ci_lo	ci_hi	cell_type	tissue
Q1	336	280	0.833333333333333	0.0546461016209637	0.78958808420256	0.869542796347791	Union	Caudate
Q2	335	269	0.802985074626866	0.0874689117963617	0.756924024368168	0.842176217693481	Union	Caudate
Q3	335	228	0.680597014925373	0.14659212439396	0.628821966691733	0.728277192369644	Union	Caudate
Q4	335	90	0.26865671641791	0.387798779108146	0.223938316438503	0.318620612036593	Union	Caudate
Q5	335	46	0.137313432835821	0.692700574401096	0.104322797465968	0.178527651691763	Union	Caudate
Q1	336	159	0.473214285714286	0.0546461016209637	0.420432300389615	0.526601825280446	Exc	Caudate
Q2	335	151	0.450746268656716	0.0874689117963617	0.398319974187289	0.5042893460687	Exc	Caudate
Q3	335	141	0.42089552238806	0.14659212439396	0.369209850762537	0.47437481510314	Exc	Caudate
Q4	335	53	0.158208955223881	0.387798779108146	0.12284466883541	0.201323038395539	Exc	Caudate
Q5	335	19	0.0567164179104478	0.692700574401096	0.0361147439393661	0.0873691383645273	Exc	Caudate
Q1	336	138	0.410714285714286	0.0546461016209637	0.359399234464653	0.464047851102217	Inh	Caudate
Q2	335	136	0.405970149253731	0.0874689117963617	0.35472668696688	0.459345651703643	Inh	Caudate
Q3	335	117	0.349253731343284	0.14659212439396	0.300145031578936	0.401780463749997	Inh	Caudate
Q4	335	41	0.122388059701493	0.387798779108146	0.0912550988870497	0.162083023075526	Inh	Caudate
Q5	335	11	0.0328358208955224	0.692700574401096	0.0177404098662138	0.0585237489254314	Inh	Caudate
Q1	336	159	0.473214285714286	0.0546461016209637	0.420432300389615	0.526601825280446	Astro	Caudate
Q2	335	167	0.498507462686567	0.0874689117963617	0.445286849373406	0.551761917907079	Astro	Caudate
Q3	335	121	0.361194029850746	0.14659212439396	0.311574392137534	0.413960964947523	Astro	Caudate
Q4	335	40	0.119402985074627	0.387798779108146	0.0886597624908341	0.158775894032711	Astro	Caudate
Q5	335	9	0.026865671641791	0.692700574401096	0.0134250383848469	0.0510341895287362	Astro	Caudate
Q1	336	169	0.502976190476191	0.0546461016209637	0.449784088102658	0.556101009045113	Oligo	Caudate
Q2	335	163	0.486567164179104	0.0874689117963617	0.433500469365833	0.539938436158528	Oligo	Caudate
Q3	335	102	0.304477611940299	0.14659212439396	0.257596116836727	0.355792396906742	Oligo	Caudate
Q4	335	42	0.125373134328358	0.387798779108146	0.0938567373799108	0.165383850021696	Oligo	Caudate
Q5	335	8	0.0238805970149254	0.692700574401096	0.0113281229829138	0.0472286394916383	Oligo	Caudate
Q1	336	202	0.601190476190476	0.0546461016209637	0.547962320753927	0.652130982270287	OPC	Caudate
Q2	335	188	0.561194029850746	0.0874689117963617	0.50765367225685	0.613346869243286	OPC	Caudate
Q3	335	141	0.42089552238806	0.14659212439396	0.369209850762537	0.47437481510314	OPC	Caudate
Q4	335	45	0.134328358208955	0.387798779108146	0.101697684369458	0.175250299349242	OPC	Caudate
Q5	335	4	0.0119402985074627	0.692700574401096	0.00352225879161959	0.0314246419268085	OPC	Caudate
Q1	336	141	0.419642857142857	0.0546461016209637	0.368067193935041	0.473035183075142	Endo	Caudate
Q2	335	138	0.411940298507463	0.0874689117963617	0.360514130978964	0.465363138569621	Endo	Caudate
Q3	335	100	0.298507462686567	0.14659212439396	0.251961865130881	0.349621717734525	Endo	Caudate
