category	subcategory	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	comparison
Organismal Systems	Immune system	hsa04658	Th1 and Th2 cell differentiation	5/46	93/9378	0.0537634408602151	10.960729312763	6.77743197298104	8.55753031797238e-05	0.00511985895902406	0.00415647304550973	3117/3119/3123/55534/4792	5	Pooled_Q1Q4
Human Diseases	Infectious disease: viral	hsa05166	Human T-cell leukemia virus 1 infection	7/46	224/9378	0.03125	6.37092391304348	5.71203768353035	9.77984825715324e-05	0.00511985895902406	0.00415647304550973	1026/2114/3117/3119/3123/4487/4792	7	Pooled_Q1Q4
Cellular Processes	Transport and catabolism	hsa04145	Phagosome	6/46	155/9378	0.0387096774193548	7.89172510518934	6.07408967962621	0.000100389391353413	0.00511985895902406	0.00415647304550973	929/51143/3117/3119/3123/8685	6	Pooled_Q1Q4
Human Diseases	Infectious disease: viral	hsa05169	Epstein-Barr virus infection	6/46	205/9378	0.0292682926829268	5.96691410392365	5.04814001621506	0.00045810597805401	0.0141381132051216	0.0114777940020939	1026/3117/3119/3123/9612/4792	6	Pooled_Q1Q4
Human Diseases	Immune disease	hsa05310	Asthma	3/46	32/9378	0.09375	19.1127717391304	7.20560620439019	0.000495909758998041	0.0141381132051216	0.0114777940020939	3117/3119/3123	3	Pooled_Q1Q4
Human Diseases	Infectious disease: parasitic	hsa05140	Leishmaniasis	4/46	78/9378	0.0512820512820513	10.4548494983278	5.88686336675637	0.000554435811965553	0.0141381132051216	0.0114777940020939	3117/3119/3123/4792	4	Pooled_Q1Q4
Human Diseases	Immune disease	hsa05330	Allograft rejection	3/46	39/9378	0.0769230769230769	15.6822742474916	6.4505828339125	0.000892059518371651	0.0194978723301232	0.0158290260402789	3117/3119/3123	3	Pooled_Q1Q4
Human Diseases	Endocrine and metabolic disease	hsa04940	Type I diabetes mellitus	3/46	44/9378	0.0681818181818182	13.9001976284585	6.0216056761771	0.001270791290439	0.0215578513013203	0.017501385989376	3117/3119/3123	3	Pooled_Q1Q4
Human Diseases	Immune disease	hsa05332	Graft-versus-host disease	3/46	45/9378	0.0666666666666667	13.5913043478261	5.94415128655031	0.00135690715007511	0.0215578513013203	0.017501385989376	3117/3119/3123	3	Pooled_Q1Q4
Organismal Systems	Immune system	hsa04640	Hematopoietic cell lineage	4/46	100/9378	0.04	8.15478260869565	5.05001615421927	0.00140900988897519	0.0215578513013203	0.017501385989376	929/3117/3119/3123	4	Pooled_Q1Q4
Organismal Systems	Immune system	hsa04672	Intestinal immune network for IgA production	3/46	50/9378	0.06	12.2321739130435	5.59085284476385	0.00184242876052874	0.0246827633569277	0.0200382942973338	3117/3119/3123	3	Pooled_Q1Q4
Organismal Systems	Immune system	hsa04659	Th17 cell differentiation	4/46	109/9378	0.036697247706422	7.48145193458317	4.77851134455829	0.00193590300838648	0.0246827633569277	0.0200382942973338	3117/3119/3123/4792	4	Pooled_Q1Q4
Human Diseases	Infectious disease: parasitic	hsa05145	Toxoplasmosis	4/46	112/9378	0.0357142857142857	7.28105590062112	4.6948209162602	0.00213825908809994	0.0251349197254374	0.0204053699869392	3117/3119/3123/4792	4	Pooled_Q1Q4
Human Diseases	Immune disease	hsa05320	Autoimmune thyroid disease	3/46	54/9378	0.0555555555555556	11.3260869565217	5.34262920951034	0.00229992729513806	0.0251349197254374	0.0204053699869392	3117/3119/3123	3	Pooled_Q1Q4
Human Diseases	Infectious disease: bacterial	hsa05134	Legionellosis	3/46	56/9378	0.0535714285714286	10.9215838509317	5.22810113385355	0.00255279479992722	0.0260385069592577	0.0211389323783447	664/929/4792	3	Pooled_Q1Q4
Human Diseases	Immune disease	hsa05321	Inflammatory bowel disease	3/46	66/9378	0.0454545454545455	9.26679841897233	4.73163614424653	0.00407262576297481	0.0389444838584466	0.0316164368441465	3117/3119/3123	3	Pooled_Q1Q4
Human Diseases	Cardiovascular disease	hsa05416	Viral myocarditis	3/46	70/9378	0.0428571428571429	8.73726708074534	4.56175471808528	0.00480580728513174	0.0432522655661857	0.0351136383681452	3117/3119/3123	3	Pooled_Q1Q4
