env	term	statistic	p_value	location_shift	ci_lo	ci_hi	median_vmr_score_heritable	median_vmr_score_nonheritable	n_heritable_vmrs	n_nonheritable_vmrs	fdr	cohort	tissue	population	vmr_set	modality	run_tag
smoking	env_valueTRUE	1196	0.683861143735066	0.0147540720046271	-0.0584672215316491	0.119420111827983	0.263251425870217	0.202733677119972	40	57	0.889019486855586	all_individuals	hippocampus	AA	AA_only	psi	window_250kb
codeine	env_valueTRUE	1233	0.142286644624049	0.0274635028158704	-0.00739529099106155	0.079643495743713	0.12680102344021	0.0643342049787968	38	55	0.341995204333088	all_individuals	hippocampus	AA	AA_only	psi	window_250kb
morphine	env_valueTRUE	1314	0.107112502139338	0.024478331616387	-0.007468576658917	0.0641202623811833	0.101278164860363	0.0603800214538316	40	55	0.341995204333088	all_individuals	hippocampus	AA	AA_only	psi	window_250kb
cocaine	env_valueTRUE	702.5	0.126436613746609	0.0469958373038719	-0.0171220338324553	0.12065014024166	0.158289598609499	0.11408253226922	33	35	0.341995204333088	all_individuals	hippocampus	AA	AA_only	psi	window_250kb
ethanol	env_valueTRUE	1275	0.250327210431598	0.0220458340100931	-0.0159566081943461	0.105512760365041	0.166492644646	0.107697139400813	40	56	0.464893390801539	all_individuals	hippocampus	AA	AA_only	psi	window_250kb
nicotine	env_valueTRUE	1333	0.157843940461425	0.0544358215765723	-0.0287324751129574	0.153995995216201	0.236211905677081	0.145637364282893	40	57	0.341995204333088	all_individuals	hippocampus	AA	AA_only	psi	window_250kb
amphetamines	env_valueTRUE	739	0.0477984295151572	-0.04956840551447	-0.0999120970093333	-3.18394100878929e-05	0.15364478163161	0.179446533183653	37	53	0.310689791848522	all_individuals	hippocampus	AA	AA_only	psi	window_250kb
any_trauma_hx	env_value	622.5	0.935030239290239	0.00201799803410153	-0.0674442187309905	0.0703404210099581	0.158244193837805	0.165653039966421	30	41	0.991219135433957	all_individuals	hippocampus	AA	AA_only	psi	window_250kb
education	env_valueless_than_hs	1325	0.0177754949534793	0.0931172777868193	0.0119052626260692	0.163787188892149	0.297278481784039	0.145342120164925	38	54	0.231081434395231	all_individuals	hippocampus	AA	AA_only	psi	window_250kb
education	env_valueMD	653.5	0.76423894515174	0.0056785378747115	-0.0379230690525242	0.0343180963755969	0.0813243126748472	0.0610303836477558	33	38	0.903191480633874	all_individuals	hippocampus	AA	AA_only	psi	window_250kb
education	env_valuemore_than_hs	923	0.415697093530992	-0.0176336797556114	-0.117259640857656	0.0485130478233482	0.24241212665131	0.287228160823814	38	54	0.675507776987863	all_individuals	hippocampus	AA	AA_only	psi	window_250kb
marital_status	env_valuepreviously_married	1075	0.636047409082823	-0.0112271141875694	-0.132649250065583	0.144681395578838	0.288841849056817	0.28066262785463	40	57	0.889019486855586	all_individuals	hippocampus	AA	AA_only	psi	window_250kb
marital_status	env_valuesingle	1138	0.991219135433957	-2.03531454585464e-05	-0.154664735779528	0.105230763086453	0.388071624854993	0.639586526549592	40	57	0.991219135433957	all_individuals	hippocampus	AA	AA_only	psi	window_250kb
