env	term	statistic	p_value	location_shift	ci_lo	ci_hi	median_neg_log10p_heritable	median_neg_log10p_nonheritable	n_heritable_features	n_nonheritable_features	fdr	cohort	tissue	population	vmr_set	modality	run_tag
smoking	env_valueTRUE	454	0.173456480976497	0.143272725621273	-0.0772090728465065	0.410621047082769	0.356395710320447	0.20809285090368	99	7	0.675616815488784	all_individuals	hippocampus	AA	AA_only	expression	nearest_gene_window_250kb
codeine	env_valueTRUE	382	0.656141887483884	0.0363588896680765	-0.420603892283949	0.264105469752386	0.257994754281534	0.109615180638552	99	7	0.947760504143388	all_individuals	hippocampus	AA	AA_only	expression	nearest_gene_window_250kb
morphine	env_valueTRUE	422	0.340033599400255	0.0750139777282708	-0.0718566053111605	0.24378505450494	0.291094017643218	0.22981357788139	99	7	0.736739465367219	all_individuals	hippocampus	AA	AA_only	expression	nearest_gene_window_250kb
cocaine	env_valueTRUE	409	0.430274664337193	0.0718726403226336	-0.0801790459776404	0.309448232107642	0.288330443877545	0.202591133839419	99	7	0.799081519483358	all_individuals	hippocampus	AA	AA_only	expression	nearest_gene_window_250kb
ethanol	env_valueTRUE	331	0.84866679635115	-0.0211770819438135	-0.348052941332672	0.18717931926178	0.217200883285575	0.282221687455733	99	7	0.962771053807924	all_individuals	hippocampus	AA	AA_only	expression	nearest_gene_window_250kb
nicotine	env_valueTRUE	323	0.769835314179827	-0.0433924105591726	-0.277863538972386	0.189784547231651	0.297362046943493	0.357285777113529	99	7	0.962771053807924	all_individuals	hippocampus	AA	AA_only	expression	nearest_gene_window_250kb
amphetamines	env_valueTRUE	307	0.619801698944591	-0.0463031500694083	-0.522211213345276	0.163430496446542	0.22911518981983	0.524257785146105	99	7	0.947760504143388	all_individuals	hippocampus	AA	AA_only	expression	nearest_gene_window_250kb
any_trauma_hx	env_value	226	0.126870910898652	-0.189288323481187	-0.39650007118286	0.0745326485960469	0.281051146380519	0.435365261281002	99	7	0.675616815488784	all_individuals	hippocampus	AA	AA_only	expression	nearest_gene_window_250kb
education	env_valueless_than_hs	446	0.207882097073472	0.0994277288278861	-0.057884944955579	0.309307753510003	0.255526054843635	0.198965647889449	99	7	0.675616815488784	all_individuals	hippocampus	AA	AA_only	expression	nearest_gene_window_250kb
education	env_valueMD	335	0.888711741976545	-0.0131971097650037	-0.202869831523161	0.236878933147683	0.297103679753194	0.31400336796393	99	7	0.962771053807924	all_individuals	hippocampus	AA	AA_only	expression	nearest_gene_window_250kb
education	env_valuemore_than_hs	259	0.268400004622226	-0.205356213006222	-0.616072710120479	0.118081931989355	0.278737209668756	0.562352431194158	99	7	0.697840012017789	all_individuals	hippocampus	AA	AA_only	expression	nearest_gene_window_250kb
marital_status	env_valuepreviously_married	101	0.00182873333204124	-0.505131563513056	-0.855118433237333	-0.222959199887631	0.283143967120586	0.92813214561504	99	7	0.0237735333165361	all_individuals	hippocampus	AA	AA_only	expression	nearest_gene_window_250kb
marital_status	env_valuesingle	348	0.989850130353389	0.000924336114218914	-0.241012968808594	0.276000352152481	0.333715455699586	0.362990521604567	99	7	0.989850130353389	all_individuals	hippocampus	AA	AA_only	expression	nearest_gene_window_250kb
