"id","genome_fraction","observed_region_hits","fold_enrichment","p_value","p_adjust","mean_tss_dist","observed_gene_hits","gene_set_size","fold_enrichment_hyper","p_value_hyper","p_adjust_hyper"
"R-HSA-1369062",0.00012504651039175,5,8.19031589725818,0.000425803541894587,0.234270950027868,57269,5,5,1.53318449360666,0.1179563203507,0.766568471894934
"R-HSA-445144",0.00279354701536172,27,1.97974841596079,0.000889364355166622,0.234270950027868,145654,11,12,1.40541911913944,0.0437328436727613,0.766568471894934
"R-HSA-6798695",0.034203874980067,207,1.23964479152669,0.00128264264703848,0.234270950027868,112863,125,183,1.04725716776411,0.210415564509172,0.877836853654311
"R-HSA-157118",0.0219918407484186,140,1.3039732391156,0.00128702366748135,0.234270950027868,167110,71,102,1.06721665731444,0.203840149317401,0.869732651927137
"R-HSA-3906995",0.00982153298251209,70,1.45989286325724,0.00157328782212818,0.234270950027868,151626,31,40,1.18821798254516,0.067651384321931,0.766568471894934
"R-HSA-2262752",0.0572533620368894,329,1.17705600801975,0.00159140783980294,0.234270950027868,122350,191,294,0.996048429519971,0.56465095135994,0.996820151451596
"R-HSA-8953897",0.0574573433264232,330,1.1764422776254,0.00161425162605378,0.234270950027868,122106,192,296,0.994498049907021,0.579284156808228,0.996820151451596
"R-HSA-380994",0.000437330569287195,8,3.74698864020417,0.0016407515031136,0.234270950027868,59033,5,7,1.09513178114761,0.537409319055965,0.996820151451596
"R-HSA-381042",0.000437330569287195,8,3.74698864020417,0.0016407515031136,0.234270950027868,59033,5,7,1.09513178114761,0.537409319055965,0.996820151451596
"R-HSA-2730905",0.000650082389836815,10,3.15089421885525,0.00165327451333264,0.234270950027868,166815,6,6,1.53318449360666,0.076908333390667,0.766568471894934
"R-HSA-71291",0.0241835432945304,151,1.27896670750202,0.00178041807923246,0.234270950027868,116295,96,128,1.14988837020499,0.0108633885676408,0.723100885050391
"R-HSA-74751",0.00543573592728432,43,1.6203630468195,0.00195205622590211,0.234270950027868,149852,23,26,1.3562785904982,0.00741549407985143,0.568261020013878
"R-HSA-112411",0.00048384096103758,8,3.38680022381541,0.00302840345054367,0.234270950027868,40167,5,5,1.53318449360666,0.1179563203507,0.766568471894934
"R-HSA-189445",0.000713070748950194,10,2.87256327220274,0.00318100465235216,0.234270950027868,108273,10,10,1.53318449360666,0.0138891263449079,0.723100885050391
"R-HSA-109704",0.00496438632860256,39,1.60916753098923,0.00341404154811265,0.234270950027868,135080,21,23,1.39986410285825,0.00454231548368456,0.555309987150027
"R-HSA-112399",0.00496438632860256,39,1.60916753098923,0.00341404154811265,0.234270950027868,135080,21,23,1.39986410285825,0.00454231548368456,0.555309987150027
"R-HSA-9694614",0.00149471110402381,16,2.19262795428733,0.00354618102018223,0.234270950027868,147511,5,9,0.85176916311481,0.83216843246495,0.996820151451596
"R-HSA-2404192",0.00547281135385106,42,1.5719583570874,0.00366902709575401,0.234270950027868,136422,22,24,1.40541911913944,0.00320467680264391,0.555309987150027
"R-HSA-2428924",0.00547281135385106,42,1.5719583570874,0.00366902709575401,0.234270950027868,136422,22,24,1.40541911913944,0.00320467680264391,0.555309987150027
