"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14"
"R11135",-6.15059482781183,-2.93077665428249,2.34239051293586,-8.67233474506432,1.2130103969043,0.824866382298615,-1.76307000911508,1.96416666927621,-0.0829562100250655,0.264788561563704,-1.67846629253382,1.94832106519977,-0.490168100850545,2.89549975590576
"R11137",7.43800336653796,-3.84278620285745,3.34140171016604,-10.3125153257594,2.0312112696529,-1.39382592708883,-0.85885771603236,0.451748818605717,-0.656159025118166,0.182823795530796,-0.892323586548942,1.91061754613221,-1.55782750495177,2.65028162390714
"R11138",2.88451025186737,2.99936919277589,4.90206002864761,-1.12637791397193,3.81068284089504,1.92021667143458,0.746313305752547,0.780715547766982,-0.700302985712931,-0.0903884003678785,-0.958103048591691,1.04987206863187,-0.91859163768952,2.42749408197333
"R11139",15.3432524815725,2.27249153917991,3.99131839994525,-1.46678799978456,3.21884625463799,2.23359282487959,2.54067902350656,0.0903977219099923,-0.996579002493525,0.189417421336955,-2.6246212155096,1.17911452906508,0.359282497493848,1.3995579311364
"R11140",19.4284271988841,4.39329199140282,7.36352680608428,-0.431026324041122,3.36272674189608,-0.0778538672951534,0.748493392572544,0.877222711687138,0.85727069096865,2.29772161307853,-0.918396287787342,0.956802399402574,-2.46469650302634,2.06827659131989
"R11141",-10.3107222875204,5.43965613156391,3.24135320435597,1.96575507301511,0.854113639511651,0.244035670241164,-3.72640083542853,1.71028920652337,-0.0386386436028233,0.490029435336958,-0.665581622595473,1.91350623578556,-1.56367922420867,2.98928882738447
"R11142",5.21835773903909,5.38299466971177,4.50118810347415,0.716533398265376,1.57339618660313,-2.0050749237264,-0.314386262821178,1.06304800962128,-1.45277994584972,-0.397197755743819,-0.372743053412551,0.440183737137205,-1.44691413093754,1.02689762100312
"R11143",12.6764531703271,-0.548547023312319,4.24175587680403,-6.30707105560918,0.333428168258243,-0.495258178994371,1.56302075392538,2.18847280521563,0.884736361854756,1.32613603635666,0.548394240988164,2.0547141536042,-1.89352427320278,2.06972052211124
"R11144",9.31738079047093,3.71690223061497,5.37546766055287,-0.959973424404326,0.929600934764314,0.907275317930895,0.863070497669791,0.363331223110387,0.23656043780027,-0.585552633061277,0.238205926317817,1.4196741380082,-1.61975172796525,1.25803506293051
"R11145",-2.78283390469298,-2.37895954463404,5.52209466075623,-7.06549448563074,-0.560595328986139,-1.64500872999429,-1.35675771184986,1.6866535218934,-1.54574157565025,-1.19164799305012,-0.793683736049018,4.34808608035248,-0.0965764597780528,1.2658715107392
"R11146",2.68341702834114,-1.88137977332178,4.52988007826631,-8.44401726568634,-2.38546237419809,-5.94306766084431,-1.73553299644346,1.57768995730885,-2.99325138961673,-0.373920421226926,1.00397515198328,1.88941321068182,-1.89479935331267,3.39900652502167
"R11147",-4.28330676226652,3.57017041136151,2.80610872242157,3.26236901089816,3.02213976602096,0.323766808920784,-2.20757832585814,0.838306227650937,-3.63683029835247,-5.32174364530565,-2.17700304094599,3.80164069077008,0.73735527205556,1.79774210772085
"R11148",-11.0775874428406,-3.86398041161771,4.38901851086007,-4.7364168014315,1.1540526860152,6.22793789835633,3.33812153010236,0.469230715249331,2.32780034068783,-1.36492361054433,-2.7727218715523,-1.17784832635577,1.8740389529874,2.78373008070838
"R11149",-26.04229150554,-0.253792337016184,4.72277154870727,1.31548517730659,0.862103742422873,1.47791903271666,-3.46150056043425,2.08116477132029,-1.56781643717431,-2.60499745871538,-1.0072357638459,4.37113395289886,-3.12566767986198,-5.52152193591385
