"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13"
"R12864",-14.2739770192595,-4.08160461378354,2.00378324968528,-1.37309488863741,-0.281469743076933,3.36977882311735,-2.17334971970536,0.0250960592182229,-1.64007215878848,0.951865793405924,-2.93423435305036,0.151810466598568,-4.81391346851531
"R12865",-3.46934211244532,8.17331466843484,-1.9514230750879,-1.52705457568486,1.27568428486492,2.5992813402748,-2.42806622395149,-4.08868216256079,0.0872381509397868,-0.0706310245173151,-1.22779076026239,-3.45521021722811,-3.5954634849211
"R12866",16.2987632580317,-1.63527644905622,0.630748027372479,-0.00862428784972136,0.134187446665035,-1.1842236442652,-5.94521870984722,-1.08323715077117,1.21044900764751,4.64621852824668,-4.41477456965815,-0.286243580066966,1.00265221043069
"R12867",18.6550587552168,-7.4851915028647,6.87513610275922,5.16955886349893,-3.64846520547159,-2.086045076996,-2.44102257182145,-0.356305493690302,2.21076570153449,-0.04740693991772,2.46859807885611,-0.0167743442057043,0.566860778836356
"R12868",28.6350134778267,-10.9871020805981,-1.39076419130862,-0.320467584565773,-0.154934939872014,4.49752751365152,0.404992302170293,-4.68857532099413,1.35975644256493,-5.88646020005794,-0.460062107819767,-0.99811816193735,3.55133255586106
"R12869",23.8218613745887,-3.73785402665609,0.967131906808884,2.70094258568708,1.5555647602544,-3.20159340732229,-1.28052026319609,-1.76786505736501,-2.73009388461296,5.96319679741471,0.661243578850049,-3.50664442901822,2.31489921221942
"R12870",-28.461657007007,-4.40476006949716,-5.06799500273158,6.4642447332772,1.62589806045593,-1.35542278221847,-3.49543751333424,-3.05411467949982,-1.09340195589085,2.10647430739859,0.42178309254114,-1.58789747887803,-1.39654362118461
"R12871",5.23431431323708,3.33497712437498,2.4273249306057,5.22418688069028,-3.23067514710461,0.0497530921569612,-0.367795258243401,-0.596650217826571,1.7529830721741,-0.403246534853885,-1.78652614362952,2.05353378984695,-3.64258705511201
"R12872",-12.7528446922784,6.04920007722613,1.33668179485812,-0.352880942386378,0.774489344888251,-5.06046686683136,4.95762246503378,0.711814214828358,-0.49440960786904,-0.19149323887871,-3.20609093231373,-1.96159751362159,4.6495013988946
"R12873",3.14364187134731,-1.09523681326337,1.65946338912827,-4.4599199452037,-0.411448889890536,0.305439492935434,-2.01716776553448,0.0970806651733929,4.34076592738158,-1.77236539014785,-3.88738394801976,-1.25976795218886,4.20836552444916
"R12874",27.3528541074311,1.11423306764424,-7.97367893173722,-0.665608065209184,4.10121230457715,-0.904985975750662,1.7891092495819,-5.11101691838814,-3.64625898014205,0.92407880261084,-0.837666307754385,-1.11272932800406,-3.08267498886355
"R12890",-5.08781708121782,-1.78489140600965,1.96869183921406,-5.01208390329131,-1.37535186133787,-0.089823139539771,-1.76798247382441,0.775484551965288,-3.81514008337547,0.244180417317561,-1.90091203959018,-1.47490827076668,2.51962255297456
"R12891",0.864190913258185,3.15364812441964,2.12239708609988,2.61642057997232,5.40286213837386,1.76023948521752,2.37658575987305,1.54074994841814,-0.718078538700604,1.43700446982482,-0.53039000955168,-1.9106477753954,-3.82776227129027
"R12892",16.4161523708747,6.02250679555794,-1.34929821786973,-5.07886476589177,7.03005324968335,0.0845797820937293,-0.811526172876375,-3.43335226766103,3.58185502129238,2.26394022153021,-2.15998879378759,-1.6969430387829,2.04894128060967
"R12893",1.15390570099841,7.12534839772565,1.08155352153514,-1.48309544373935,-2.05993708576646,-3.10150950470278,-1.18401039848006,0.203585902119042,1.20051611584067,1.84528963150603,0.00545691030048438,-0.37148939266799,-2.21479052561559
"R12894",4.2955530774288,5.9614500692484,2.29503183990845,-3.51389917545649,-0.32617714079374,2.00983291292974,-1.25427087626571,-0.255107182999481,-1.27909566805926,-1.38368490520663,-3.90283364401291,1.77675442729905,-0.458646470388503
"R12895",9.13410910146018,4.90422856657221,2.28823778934181,5.66283789145781,-4.00132141734957,2.0467822209665,0.471162196640068,-5.64558547798816,-2.00250691461661,-1.32051775145559,-1.61955453147317,4.71878676376577,-0.744919122609604
"R12926",-0.289707392929762,2.58607575590689,-0.57060589786387,-4.66865349428181,-1.25589057530129,1.04051833406932,-2.04547292343579,-5.50969520955011,-0.513507026469844,0.454102671453474,-0.627517137219713,-1.1380726373237,2.953950313958
"R12927",-12.5991012311611,8.30857983435148,0.688219031924323,-1.68332441632735,-3.16124349736046,-0.532213207594091,0.131883723628925,2.37075541192397,-0.0921274015214661,-1.9853634266984,0.451448645456284,-0.11788256336799,-0.151434293793088
"R12928",25.935313907861,-5.27528377196559,3.60630744354816,-0.349081651671827,0.416336224155058,-6.0592078671316,2.0195483199233,0.470418877513515,-1.18838543393559,-0.427393638134641,3.89952471232403,-3.92733967833112,-1.21322537864648
