"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9"
"R10424",-25.9564589824026,-2.61422533402441,4.97369370170806,-2.08047333121689,10.2838307636747,-1.26738747967438,3.08689011702021,-2.40179242733137,0.287927015420753
"R12195",1.15078377780005,5.13461841840524,3.39546053441909,0.55569357494916,1.0272435678976,1.49280353260601,1.94737188368707,1.20438362690535,0.273580824454934
"R12198",11.5305157025803,6.98346500071546,2.62363750225818,-0.0358451286342572,-0.720428655581459,2.41608255808538,-0.727506888395899,-0.384615883829895,0.474259320766399
"R12199",11.5079780930484,6.64582522352651,2.16000552116019,-2.21973838983565,2.81255121849554,0.495649877909624,1.54416791195551,0.361061800132545,-0.172219211259798
"R12200",-22.4459918868369,-3.0233456934212,4.89827226146735,-1.44554292044482,1.09923240353045,1.08450447919253,-0.475211753890332,1.46035095218653,-0.240293472978104
"R12258",8.34031452302407,3.6062565967965,-9.40273455292734,3.11326841884587,3.59524443540342,0.419850958759739,1.63440371553704,1.42691721760427,0.233498782990057
"R12259",-46.5723920960137,-10.3606841631701,7.27814980340019,0.240884259534799,1.63518332834479,3.59774386524655,2.35546604301317,-0.0907526735226841,-0.910976384301014
"R12260",-8.90296846836333,3.06188969839102,4.00685943004125,-0.110860740761692,2.59784376100563,1.45523105299191,1.0278182354429,0.564612416193637,-0.107871893913773
"R12263",-0.758002865903375,3.0738498698281,-7.99881447464758,4.24924453653808,3.18357544074664,0.244062143362324,1.78282867875933,2.59624363910746,2.05432477066803
"R12264",9.67547152549413,7.02197785060084,2.6912862540837,0.425547747774126,1.44711738180726,2.39895568257923,0.39986618334786,-0.687970391963834,0.888661519430493
"R12265",-24.3561991744444,-0.922137066700119,-5.95607842421606,2.03561128094728,5.28826613118176,-0.205659706102065,0.824042534982791,0.366280688407314,0.0482843297631703
"R12266",7.86752962797454,7.08079789086654,3.32958350446383,1.91090293985157,2.04891697459369,1.80952824252135,2.03698799443918,0.401348374887838,0.706488828757791
"R12276",-23.1568013881398,-15.5941883134371,1.17410781464211,-17.6371650773998,-0.164376721196792,6.45524505386733,0.566600436420438,4.4681331981217,4.66461144612908
"R12277",-35.1670041123113,-8.0624881905274,-5.37829768865338,0.0249978380212915,-1.25559300167359,7.59556738666313,-1.81070478445345,-1.39503351084351,-1.00947725679208
"R12278",4.80048170422334,5.44133186809401,3.34338472950636,0.651898019362805,-2.78173022974028,-0.0773160327624834,0.762489783604103,0.621879294295391,2.04112747635254
"R12279",-1.77933769126823,1.90714574825624,2.75989882820611,-5.21610164603032,0.627370195745098,-4.61924197323142,-0.476791202518387,3.73351145265007,-2.19867166385014
"R12280",4.41875559255822,6.2705021034118,2.63926927336374,-0.811444324203892,0.147522879790449,-1.75761014007364,-0.927510013941749,-0.469401826056188,1.75535824605356
"R12281",-3.2102192421864,0.720835958649855,-8.98339110484982,-0.130294424931552,-4.33623232771367,-0.875020325093764,1.87819973949629,-1.16778945424159,0.557251600437902
"R12282",-10.4345179583777,4.27879088357459,4.52341329885502,2.50479146347621,-0.42591027442029,-0.769424742457155,1.45759547156589,1.13817972779641,-0.113050905000944
"R12283",8.93528082573344,6.13060233131564,2.93804870593514,-0.558500315943205,-5.08539805607399,-2.00237385861595,-0.141345488844994,-0.153873493892274,2.83320950500601
"R12284",0.271787057961179,5.88180882718852,3.60950183945358,2.35114243043284,-3.25595398923913,1.15301586188183,0.427583106380604,0.387446045983123,2.40110446177513
"R12285",-32.5329089203468,-6.40237022352367,-4.82062827657624,0.558527676166829,-4.82009187809976,0.275793613065515,0.909608474192521,-1.30849702942587,-3.87864800796794
"R12286",1.03476638576631,4.09383518819489,2.99589918324466,-2.08539349456199,-1.12879302688085,-1.71392392470553,0.668185684309969,1.77728219554586,-0.892115800617763
"R12287",0.621765921084484,3.80272725683449,-7.26979840179004,7.20951460501817,-2.0452101015488,-2.17263905206308,1.88684020193699,1.93632530299769,2.51203566498661
"R12288",17.8671877434898,-12.3775705973951,-3.61873663877027,-27.5136628349462,-0.543293040559476,0.283056155774874,-2.87393248919665,7.62032165536804,4.114397047519
"R12289",2.55739525165853,-3.1808278985166,-8.24835106688892,-7.0758140130605,-0.461892008853131,-1.45746239699411,1.81286068131744,3.73608367587288,3.70764478136186
"R12290",16.5554881805259,6.21307902644588,1.29188564325174,-2.62479892996942,2.59668231075199,3.34444168740348,0.185361939758077,-0.140085655749985,0.336751504330861
"R12291",7.31707195520743,7.56805276189779,3.14046023276593,3.56256667507409,0.60775146835829,4.13192332687241,-1.67902179967299,-0.205661069701256,1.57053742542301
"R12292",-12.0989729039161,-3.42157780299422,5.89485636501563,2.93692163340435,5.4894203914566,-2.01124059834551,-8.28842636866359,4.19960524917615,-4.2146775370592
"R12293",1.18459362586212,-0.903850331608302,-9.1412142678425,-0.476073750101846,-0.359029635530664,-1.89512708345499,2.44171686984001,1.71401126987041,-2.46290990979426
"R12295",9.07201197333335,6.41345721180404,2.24439799261669,-2.3338485585183,-1.58473894276388,-1.91603994512894,0.769129604272445,-0.115595221658809,1.63361488024539
"R12296",9.21366954384268,6.64183364651367,2.37862485796216,-1.76127038962548,0.239563869971529,1.12629721306774,-2.43536692755267,2.5002083749961,-3.6890960674501
"R12297",9.55328997180648,7.51734550352221,2.54551073957238,0.296226591641166,-1.87018435970488,-0.808219922846808,0.130071861928274,0.492747432382311,0.613710938304975
"R12298",-3.05436636802819,0.424522063157468,2.54233732950349,-3.83788394631714,3.09951076152392,2.37820729126897,-0.252555094347845,2.70447424839806,0.152515729313964
