term	estimate	std.error	statistic	p.value	conf.low	conf.high	model	estimate_scale	cohort	tissue	modality	population	vmr_set	run_tag
(Intercept)	733.090758599697	15.0412097612811	0.438612958461108	0.660942005860929	1.18302100857507e-10	5049898153110500000	burden_fdr10_category	odds_ratio	all_individuals	hippocampus	expression	AA	AA_only	abc
h2_categoryNon-heritable	1.2894095309062e-08	3838.65622014811	-0.00473251453542432	0.99622401381335		3.73586734936264e+187	burden_fdr10_category	odds_ratio	all_individuals	hippocampus	expression	AA	AA_only	abc
log_vmr_length	0.966572977579131	0.888111755609048	-0.0382817544117681	0.969463037992432	0.102325381957099	5.26408812644154	burden_fdr10_category	odds_ratio	all_individuals	hippocampus	expression	AA	AA_only	abc
log_num_snps	1.2523422954874	2.51724573468933	0.0893896178517491	0.928772274194962	0.00793370157388486	313.654123250029	burden_fdr10_category	odds_ratio	all_individuals	hippocampus	expression	AA	AA_only	abc
methylation_variance	6.11094137385631e+238	440.353924466596	1.24859868940856	0.211811891952064	4.37687390869517e-77	Inf	burden_fdr10_category	odds_ratio	all_individuals	hippocampus	expression	AA	AA_only	abc
log_min_distance	0.242325656223546	1.39938486937482	-1.01292560867095	0.311095695328148	0.00389825754576022	1.86068855695072	burden_fdr10_category	odds_ratio	all_individuals	hippocampus	expression	AA	AA_only	abc
chromatin_stateIntergenic	0.106384413182917	1.77190522862438	-1.26456887718934	0.206025915605402	0.00131120381779065	2.68880950970581	burden_fdr10_category	odds_ratio	all_individuals	hippocampus	expression	AA	AA_only	abc
(Intercept)	-1.85462196191478	4.82080501065372	-0.384712088088227	0.703838770211274	-11.8042744892922	8.09503056546261	strength_category	log_abs_beta	all_individuals	hippocampus	expression	AA	AA_only	abc
h2_categoryNon-heritable	0.178734495928279	0.795167451954326	0.224775920454231	0.824056376291843	-1.46241046441368	1.81987945627023	strength_category	log_abs_beta	all_individuals	hippocampus	expression	AA	AA_only	abc
log_vmr_length	-0.0522757841139432	0.312557833117717	-0.167251556591944	0.868573380473345	-0.697363446311171	0.592811878083285	strength_category	log_abs_beta	all_individuals	hippocampus	expression	AA	AA_only	abc
log_num_snps	-0.0519231249483647	0.873164429793597	-0.0594654605440564	0.953073764942235	-1.85404593566412	1.7501996857674	strength_category	log_abs_beta	all_individuals	hippocampus	expression	AA	AA_only	abc
methylation_variance	-2.71535791733558	154.176499675726	-0.0176120091132351	0.986093975770694	-320.920013834911	315.48929800024	strength_category	log_abs_beta	all_individuals	hippocampus	expression	AA	AA_only	abc
log_min_distance	0.149602831185593	0.258524117174438	0.578680367699118	0.568196406193561	-0.383964722396883	0.68317038476807	strength_category	log_abs_beta	all_individuals	hippocampus	expression	AA	AA_only	abc
chromatin_stateIntergenic	-0.770259425128065	0.562356401673797	-1.36969975416918	0.183460729977445	-1.93090599366493	0.390387143408797	strength_category	log_abs_beta	all_individuals	hippocampus	expression	AA	AA_only	abc
(Intercept)	128.046714050381	15.5146230709606	0.312762683867024	0.754460967972671	1.4319331450174e-11	3255127075346780000	burden_fdr10_continuous_h2	odds_ratio_per_0.1_h2	all_individuals	hippocampus	expression	AA	AA_only	abc
h2_scaled	1.33261990333889	0.605400306606367	0.474309070577134	0.635279524203875	0.361456961024179	5.3754309933622	burden_fdr10_continuous_h2	odds_ratio_per_0.1_h2	all_individuals	hippocampus	expression	AA	AA_only	abc
log_vmr_length	0.789458491468006	1.0329608558243	-0.22886445411455	0.818974268837794	0.0597762460775046	5.48458136718961	burden_fdr10_continuous_h2	odds_ratio_per_0.1_h2	all_individuals	hippocampus	expression	AA	AA_only	abc
log_num_snps	1.97651703920521	2.40098372544734	0.283773778803377	0.776583750294213	0.0124297094483413	348.504260755026	burden_fdr10_continuous_h2	odds_ratio_per_0.1_h2	all_individuals	hippocampus	expression	AA	AA_only	abc
methylation_variance	7.96151458859936e+169	371.046472012035	1.05434636758926	0.29172436733932	1.73472791719107e-117	Inf	burden_fdr10_continuous_h2	odds_ratio_per_0.1_h2	all_individuals	hippocampus	expression	AA	AA_only	abc
log_min_distance	0.270455595668272	1.2562769199526	-1.04089100889831	0.297926135057569	0.00755682323880961	1.83438406611818	burden_fdr10_continuous_h2	odds_ratio_per_0.1_h2	all_individuals	hippocampus	expression	AA	AA_only	abc
chromatin_stateIntergenic	0.0693638087190962	1.8248975397327	-1.46221361889718	0.143682680772637	0.000764430528148206	1.81662629257481	burden_fdr10_continuous_h2	odds_ratio_per_0.1_h2	all_individuals	hippocampus	expression	AA	AA_only	abc
