env	term	statistic	p_value	location_shift	ci_lo	ci_hi	median_neg_log10p_heritable	median_neg_log10p_nonheritable	n_heritable_features	n_nonheritable_features	fdr	cohort	tissue	population	vmr_set	modality	run_tag
smoking	env_valueTRUE	63400	0.626609466805741	-0.011112853291815	-0.0578654502002237	0.0354286424791047	0.306085395879969	0.319817345259554	943	138	0.740538460770422	all_individuals	dlpfc	EA	EA_only	psi	window_250kb
codeine	env_valueTRUE	60508	0.752363904383833	-0.00421884638566993	-0.0323562806600017	0.0235786829370328	0.173965417829649	0.198590121295825	905	136	0.801910717356007	all_individuals	dlpfc	EA	EA_only	psi	window_250kb
morphine	env_valueTRUE	56899	0.506797837063338	-0.0074674069851091	-0.0324575522413472	0.0146390172493518	0.134028556192142	0.16956128968249	901	131	0.706438359285046	all_individuals	dlpfc	EA	EA_only	psi	window_250kb
cocaine	env_valueTRUE	43633	0.467698992335204	-0.00692668091825889	-0.0279502777318775	0.0123583782426632	0.105739736559926	0.113544628234856	792	115	0.706438359285046	all_individuals	dlpfc	EA	EA_only	psi	window_250kb
ethanol	env_valueTRUE	57578.5	0.184112122604417	-0.0227321248006436	-0.0593773403199302	0.0113904238590046	0.229891149562207	0.243084643832361	911	136	0.541770508512906	all_individuals	dlpfc	EA	EA_only	psi	window_250kb
nicotine	env_valueTRUE	63448	0.543414122526958	-0.0129280327567101	-0.056784853151468	0.0279654942148811	0.264984643699331	0.267536824087147	943	139	0.706438359285046	all_individuals	dlpfc	EA	EA_only	psi	window_250kb
amphetamines	env_valueTRUE	57863	0.299386841385029	0.016236447577993	-0.0138394123908285	0.0500487783104164	0.213018775105189	0.167299520510639	849	129	0.556004134000768	all_individuals	dlpfc	EA	EA_only	psi	window_250kb
any_trauma_hx	env_value	54427	0.198416717926595	0.0258286724523899	-0.0139294711372115	0.0692650803561003	0.3132627952248	0.290391603912249	839	121	0.541770508512906	all_individuals	dlpfc	EA	EA_only	psi	window_250kb
education	env_valueless_than_hs	62995	0.801910717356007	-0.00423672012715646	-0.0415000226156853	0.0315138740955582	0.234240761510405	0.240566342832057	932	137	0.801910717356007	all_individuals	dlpfc	EA	EA_only	psi	window_250kb
education	env_valueMD	45410	0.122888743722473	-0.01750760321984	-0.0410718870462321	0.00479932993373016	0.11574210356115	0.131437162675203	829	120	0.541770508512906	all_individuals	dlpfc	EA	EA_only	psi	window_250kb
education	env_valuemore_than_hs	67796	0.250047927005957	0.0406726545072572	-0.0280701692872435	0.113434950852664	0.553052649866523	0.485138873501314	933	137	0.541770508512906	all_individuals	dlpfc	EA	EA_only	psi	window_250kb
marital_status	env_valuepreviously_married	64828	0.241700766258273	0.0196878751619168	-0.0134245446145439	0.0575757705650684	0.241508575523224	0.191709543462577	904	135	0.541770508512906	all_individuals	dlpfc	EA	EA_only	psi	window_250kb
marital_status	env_valuesingle	68334	0.0245260980361188	0.0919986747903845	0.0112027301518851	0.182807676779018	0.572311436429967	0.45513013190449	904	135	0.318839274469544	all_individuals	dlpfc	EA	EA_only	psi	window_250kb
