"h2_category","cor_snps_length","p_snps_length","cor_snps_h2","p_snps_h2","n","p_snps_length_adj","p_snps_h2_adj"
"Heritable",-0.222011123634958,3.07283854271601e-52,-0.25988958150768,1.41745521214891e-71,4579,9.21851562814804e-52,4.25236563644674e-71
"Non-heritable",-0.0358723063561864,0.0120749363245823,0.0208665221812157,0.144373313369977,4895,0.0120749363245823,0.144373313369977
"Low prediction",-0.0965307677267236,4.13770948868116e-06,-0.141992447390216,1.11052419075684e-11,2267,6.20656423302174e-06,1.66578628613527e-11
