sample_id	region	n_marker_coordinates	n_marker_coordinates_covered	marker_coverage_fraction	mean_marker_coverage	sample_qc_pass
Br1003	hippocampus	2842	2838	0.998592540464462	42.9067558057706	TRUE
Br1004	hippocampus	2842	2833	0.996833216045039	27.5316678395496	TRUE
Br1007	hippocampus	2842	2793	0.982758620689655	21.3318085855032	TRUE
Br1016	hippocampus	2842	2836	0.997888810696692	40.7234342012667	TRUE
Br1017	hippocampus	2842	2838	0.998592540464462	24.9320900774103	TRUE
Br1021	hippocampus	2842	2801	0.985573539760732	20.2543983110486	TRUE
Br1023	hippocampus	2842	2836	0.997888810696692	27.8356790992259	TRUE
Br1030	hippocampus	2842	2839	0.998944405348346	24.292751583392	TRUE
Br1034	hippocampus	2842	2841	0.999648135116115	39.5809289232935	TRUE
Br1039	hippocampus	2842	2838	0.998592540464462	37.0492610837438	TRUE
Br1053	hippocampus	2842	2834	0.997185080928923	25.0950035186488	TRUE
Br1054	hippocampus	2842	2799	0.984869809992963	21.8884588318086	TRUE
Br1056	hippocampus	2842	2779	0.977832512315271	20.1667839549613	TRUE
Br1067	hippocampus	2842	2842	1	39.5900774102745	TRUE
Br1069	hippocampus	2842	2782	0.978888106966925	20.6016889514427	TRUE
Br1084	hippocampus	2842	2835	0.997536945812808	26.2976776917664	TRUE
Br1092	hippocampus	2842	2837	0.998240675580577	28.4134412385644	TRUE
Br1093	hippocampus	2842	2830	0.995777621393385	24.4137931034483	TRUE
Br1099	hippocampus	2842	2819	0.991907107670654	24.2779732582688	TRUE
Br1102	hippocampus	2842	2714	0.954961294862773	17.3346235045742	TRUE
Br1105	hippocampus	2842	2838	0.998592540464462	26.7934553131598	TRUE
Br1111	hippocampus	2842	2835	0.997536945812808	43.1199859254046	TRUE
Br1113	hippocampus	2842	2790	0.981703026038001	20.7642505277973	TRUE
Br1122	hippocampus	2842	2840	0.999296270232231	36.7100633356791	TRUE
Br1134	hippocampus	2842	2834	0.997185080928923	26.4743138634764	TRUE
Br1135	hippocampus	2842	2837	0.998240675580577	35.1182266009852	TRUE
Br1137	hippocampus	2842	2817	0.991203377902885	25.0063335679099	TRUE
Br1142	hippocampus	2842	2837	0.998240675580577	38.7885292047854	TRUE
Br1143	hippocampus	2842	2839	0.998944405348346	35.1048557353976	TRUE
Br1157	hippocampus	2842	2842	1	42.2111189303308	TRUE
Br1160	hippocampus	2842	2833	0.996833216045039	26.1238564391274	TRUE
Br1167	hippocampus	2842	2836	0.997888810696692	25.9866291344124	TRUE
Br1179	hippocampus	2842	2839	0.998944405348346	38.3022519352569	TRUE
Br1185	hippocampus	2842	2834	0.997185080928923	41.5362420830401	TRUE
Br1187	hippocampus	2842	2837	0.998240675580577	27.4032371569317	TRUE
Br1193	hippocampus	2842	2829	0.9954257565095	24.4630541871921	TRUE
Br1214	hippocampus	2842	2619	0.921534130893737	28.1805066854328	TRUE
Br1227	hippocampus	2842	2821	0.992610837438424	22.9011259676284	TRUE
Br1228	hippocampus	2842	2831	0.996129486277269	24.6748768472906	TRUE
Br1235	hippocampus	2842	2829	0.9954257565095	22.9609429978888	TRUE
Br1245	hippocampus	2842	2835	0.997536945812808	24.8265306122449	TRUE
Br1249	hippocampus	2842	2828	0.995073891625616	23.2892329345531	TRUE
Br1250	hippocampus	2842	2838	0.998592540464462	24.8437719915552	TRUE
Br1263	hippocampus	2842	2835	0.997536945812808	25.1203377902885	TRUE
