region	n_vmrs	n_predictability_rows	n_staff_cpg_chr_dirs	predictability_path	vmr_path	staff_cpg_dir
caudate	12001	11467	24	/projects/b1213/users/kynon/projects/dna-methylation-heritability/heritability/elastic_net_model/all_individuals/caudate/_m/caudate_summary_elastic-net_AA.tsv	/projects/b1213/users/kynon/projects/dna-methylation-heritability/vmr-analysis/caudate/_m/vmr.bed	/projects/b1213/users/alexis/projects/dna-methylation-heritability/vmr-analysis/caudate/_m/cpg
dlpfc	10372	9594	24	/projects/b1213/users/kynon/projects/dna-methylation-heritability/heritability/elastic_net_model/all_individuals/dlpfc/_m/dlpfc_summary_elastic-net_AA.tsv	/projects/b1213/users/kynon/projects/dna-methylation-heritability/vmr-analysis/dlpfc/_m/vmr.bed	/projects/b1213/users/alexis/projects/dna-methylation-heritability/vmr-analysis/dlpfc/_m/cpg
hippocampus	10216	9295	24	/projects/b1213/users/kynon/projects/dna-methylation-heritability/heritability/elastic_net_model/all_individuals/hippocampus/_m/hippocampus_summary_elastic-net_AA.tsv	/projects/b1213/users/kynon/projects/dna-methylation-heritability/vmr-analysis/hippocampus/_m/vmr.bed	/projects/b1213/users/alexis/projects/dna-methylation-heritability/vmr-analysis/hippocampus/_m/cpg
