"quintile","n_vmrs","h2_min","h2_max","h2_mean","h2_sd"
"Q1",1439,0.0059015583517739,0.0641284427098301,0.0641354806126963,0.0205080147795875
"Q2",1439,0.0641502708995236,0.0862782754455245,0.0655233794712193,0.0200053526184905
"Q3",1438,0.0862875259212056,0.129352814313377,0.0996821962531261,0.0598417569293424
"Q4",1439,0.129393380160126,0.376576543853896,0.21063701800456,0.124388315955026
"Q5",1439,0.376611443202526,0.927094064327171,0.535587438587332,0.182803118650363
