env	term	statistic	p_value	location_shift	ci_lo	ci_hi	median_neg_log10p_heritable	median_neg_log10p_nonheritable	n_heritable_features	n_nonheritable_features	fdr	cohort	tissue	population	modality	run_tag
smoking	env_valueTRUE	515	0.879943006524687	-0.00584211768263876	-0.0984632376030928	0.0960294307789277	0.232718840230424	0.250404031149547	34	31	0.879943006524687	BA_only	hippocampus	AA	psi	window_250kb
codeine	env_valueTRUE	483	0.567775454446625	-0.0208255361514658	-0.0989868966034671	0.0520418157412377	0.1731776002012	0.186086828614551	34	31	0.757033939262167	BA_only	hippocampus	AA	psi	window_250kb
morphine	env_valueTRUE	263	0.00155195031894745	-0.149347776120818	-0.213134577811122	-0.0646463173850957	0.108932829782361	0.262591657410186	34	29	0.0186234038273694	BA_only	hippocampus	AA	psi	window_250kb
cocaine	env_valueTRUE	414	0.385613199910683	0.0287940158105836	-0.0444836090383144	0.11002047031939	0.234385893451604	0.231006481602171	33	22	0.622842263415196	BA_only	hippocampus	AA	psi	window_250kb
ethanol	env_valueTRUE	557	0.70842997259792	0.0132033535905157	-0.0837776661759435	0.119544395194104	0.23518010353611	0.222942260138434	33	32	0.841235658543311	BA_only	hippocampus	AA	psi	window_250kb
nicotine	env_valueTRUE	480	0.41522817561013	-0.0393580973411682	-0.219380457121805	0.106595226187674	0.321099626111675	0.436562822015702	34	32	0.622842263415196	BA_only	hippocampus	AA	psi	window_250kb
amphetamines	env_valueTRUE	241	0.0632517697927173	-0.0639401601499446	-0.157547683242019	0.00351792705047578	0.084242438989638	0.180861669318077	30	23	0.189755309378152	BA_only	hippocampus	AA	psi	window_250kb
any_trauma_hx	env_value	453	0.0134985120475601	0.0796983939660947	0.015376892059715	0.145370562530962	0.203802749769546	0.0965456580668652	28	23	0.0555284546378565	BA_only	hippocampus	AA	psi	window_250kb
education	env_valueless_than_hs	553	0.0992712035562557	0.0922676115337008	-0.0220578405322871	0.215272426598326	0.3194978267826	0.193968806909717	34	26	0.198542407112511	BA_only	hippocampus	AA	psi	window_250kb
education	env_valuemore_than_hs	422	0.771132686998036	-0.02429277354616	-0.205488049521662	0.134820632093516	0.272095906088205	0.347270972153032	34	26	0.841235658543311	BA_only	hippocampus	AA	psi	window_250kb
marital_status	env_valuepreviously_married	657	0.0917716837071266	0.123735680277372	-0.0125453904790943	0.282125929387481	0.402979656794938	0.225294141936651	33	32	0.198542407112511	BA_only	hippocampus	AA	psi	window_250kb
marital_status	env_valuesingle	340	0.0138821136594641	-0.210788469719818	-0.368151613873602	-0.0402322379165728	0.361231367464984	0.606713349721834	33	32	0.0555284546378565	BA_only	hippocampus	AA	psi	window_250kb
