disease	tissue	annotation	Coefficient_z-score	p_value	FDR_q
pd	caudate	ANNOT_Q1L2_1	-0.9130247689581996	0.3612295148022884	0.8959780018163293
pd	caudate	ANNOT_Q2L2_1	0.4603330328149582	0.645277194326632	0.9633288473140267
pd	caudate	ANNOT_Q3L2_1	0.3754877676559894	0.7072977420684361	0.9633288473140267
pd	caudate	ANNOT_Q4L2_1	1.017546386148789	0.30889357741376244	0.8959780018163293
pd	caudate	ANNOT_Q5L2_1	-1.1082312373309255	0.2677619634966306	0.8959780018163293
pd	hippocampus	ANNOT_Q1L2_1	-0.2719787264862363	0.7856383767770405	0.9633288473140267
pd	hippocampus	ANNOT_Q2L2_1	-0.9053298860462542	0.36529064806817013	0.8959780018163293
pd	hippocampus	ANNOT_Q3L2_1	-0.8509812052690104	0.39477979328839297	0.8959780018163293
pd	hippocampus	ANNOT_Q4L2_1	0.6506187410406058	0.515292629489114	0.9368956899802072
pd	hippocampus	ANNOT_Q5L2_1	0.1704962240322194	0.8646199036758526	0.9633288473140267
pd	dlpfc	ANNOT_Q1L2_1	-2.7000825019226427	0.006932228303266452	0.3519797619952958
pd	dlpfc	ANNOT_Q2L2_1	-1.957200225672127	0.050323932305257335	0.6664500878623496
pd	dlpfc	ANNOT_Q3L2_1	0.2342995289377269	0.8147524515995852	0.9633288473140267
pd	dlpfc	ANNOT_Q4L2_1	0.086170018608087	0.9313312637201596	0.9633288473140267
pd	dlpfc	ANNOT_Q5L2_1	0.0833893447776507	0.9335419606389022	0.9633288473140267
scz	caudate	ANNOT_Q1L2_1	1.3477464751906505	0.1777399385486369	0.8959780018163293
scz	caudate	ANNOT_Q2L2_1	0.3197409554107628	0.7491647103043404	0.9633288473140267
scz	caudate	ANNOT_Q3L2_1	0.4599780758110369	0.6455319573371632	0.9633288473140267
scz	caudate	ANNOT_Q4L2_1	0.6014512074104484	0.5475395007542914	0.9633288473140267
scz	caudate	ANNOT_Q5L2_1	0.9788257931752162	0.32766606291215816	0.8959780018163293
