tissue	comparison	annotation	or	ci_lo	ci_hi	p_value	n_top	n_lower	n_in_top	n_in_lower	fdr
Caudate	Intergenic_VMRs_Q5_vs_Q1Q4	H3K27me3	0.364925229940845	0.21999047090485	0.579213775400244	1.88399522146059e-06	330	1319	22	216	5.65198566438176e-06
Caudate	Intergenic_VMRs_Decile_vs_Rest	H3K27me3	0.277959134895949	0.116340448857979	0.571978502376656	5.98010537855015e-05	165	1484	8	230	0.000146784404746231
Caudate	Intergenic_VMRs_Q5_vs_Q1Q4	H3K9me3	3.37958051050453	2.50883000685464	4.54480483701347	6.28550721768381e-16	330	1319	103	156	4.24271737193657e-15
Caudate	Intergenic_VMRs_Decile_vs_Rest	H3K9me3	2.83653740917976	1.93785457283318	4.11483965387125	6.18587837640112e-08	165	1484	52	207	2.08773395203538e-07
Caudate	Intergenic_VMRs_Q5_vs_Q1Q4	H3K27me3_broad	0.979817024480011	0.757820284826295	1.26384315538414	0.899601218507043	330	1319	127	514	0.952518937242752
Caudate	Intergenic_VMRs_Decile_vs_Rest	H3K27me3_broad	1.02464996478577	0.724929967303689	1.44061834398319	0.932942908871215	165	1484	65	576	0.968825328443185
Caudate	Intergenic_VMRs_Q5_vs_Q1Q4	H3K9me3_broad	6.27858290865825	4.71263080688658	8.43938523502111	3.57757455152987e-44	330	1319	255	463	9.65945128913065e-43
Caudate	Intergenic_VMRs_Decile_vs_Rest	H3K9me3_broad	7.95683933725741	5.16039153004618	12.6747133927755	7.58121993833653e-29	165	1484	138	580	1.02346469167543e-27
Caudate	Intergenic_VMRs_Q5_vs_Q1Q4	Polycomb	0.31753803145157	0.199779319129135	0.486621748715707	3.01858463800712e-09	330	1319	26	280	1.16431121751703e-08
Caudate	Intergenic_VMRs_Decile_vs_Rest	Polycomb	0.288032891230194	0.13898931184137	0.539099165917119	7.32168286087643e-06	165	1484	11	295	2.06572378778032e-05
Caudate	Intergenic_VMRs_Q5_vs_Q1Q4	Het	3.27896098090079	1.93304875035032	5.51549610231406	7.65082884363082e-06	330	1319	30	39	2.06572378778032e-05
Caudate	Intergenic_VMRs_Decile_vs_Rest	Het	3.1601240485644	1.66842878696289	5.72625307782568	0.000257680686532949	165	1484	17	52	0.000556590282911169
Caudate	Intergenic_VMRs_Q5_vs_Q1Q4	Quies	9.35996550400196	6.34021709732053	14.2454031668695	1.80329381311231e-45	330	1319	299	669	9.7377865908065e-44
Caudate	Intergenic_VMRs_Decile_vs_Rest	Quies	10.4541740905575	5.74966587856228	20.8639329737871	1.28183431330718e-24	165	1484	153	815	1.38438105837176e-23
Caudate	Intergenic_VMRs_Q5_vs_Q1Q4	BroadRepressive	21.3511338434206	9.57982960445702	59.0812811222531	2.77373386663147e-33	330	1319	324	945	4.99272095993665e-32
Caudate	Intergenic_VMRs_Decile_vs_Rest	BroadRepressive	18.3750537973533	6.11601073606526	90.42805722306	4.82037376098406e-16	165	1484	162	1107	3.7185740441877e-15
Caudate	Intergenic_VMRs_Q5_vs_Q1Q4	Bivalent	0	0	0.435646730079722	0.000823464728573654	330	1319	0	35	0.00153334811527508
Caudate	Intergenic_VMRs_Decile_vs_Rest	Bivalent	0	0	0.988067514062936	0.0428393043835624	165	1484	0	35	0.0608769062292729
DLPFC	Intergenic_VMRs_Q5_vs_Q1Q4	H3K27me3	0.901197222873396	0.616591175797422	1.30799964611216	0.586777004455752	162	649	57	244	0.674169324268311
DLPFC	Intergenic_VMRs_Decile_vs_Rest	H3K27me3	0.734613172793913	0.428660870370533	1.22904759425388	0.228460068793198	81	730	25	276	0.286903342205411
DLPFC	Intergenic_VMRs_Q5_vs_Q1Q4	H3K9me3	1.92612978946236	1.13214004517495	3.21111643486461	0.0107569150840376	162	649	27	61	0.0176022246829707
DLPFC	Intergenic_VMRs_Decile_vs_Rest	H3K9me3	3.18521956222546	1.71434200552456	5.74238129874078	0.000190341932588931	81	730	20	68	0.000446889754774012
DLPFC	Intergenic_VMRs_Q5_vs_Q1Q4	H3K27me3_broad	1.19251537850686	0.815901544070323	1.75856157816241	0.359558844511724	162	649	110	415	0.431470613414069
DLPFC	Intergenic_VMRs_Decile_vs_Rest	H3K27me3_broad	1.16995002697617	0.701837864027957	1.99329595488319	0.624133294012252	81	730	55	470	0.694751041761806
DLPFC	Intergenic_VMRs_Q5_vs_Q1Q4	H3K9me3_broad	1.95273226740058	1.35725465025723	2.82284831458352	0.000204744959985317	162	649	97	281	0.000460676159966962
DLPFC	Intergenic_VMRs_Decile_vs_Rest	H3K9me3_broad	2.66233619012426	1.60029323641863	4.52825741542046	5.62752800787286e-05	81	730	55	323	0.000144707863059588
DLPFC	Intergenic_VMRs_Q5_vs_Q1Q4	Polycomb	1.00987539743911	0.670631108803481	1.50299325555919	1	162	649	45	179	1
DLPFC	Intergenic_VMRs_Decile_vs_Rest	Polycomb	0.908728704881252	0.511159611861155	1.56202849953688	0.794043022003662	81	730	21	203	0.857566463763955
DLPFC	Intergenic_VMRs_Q5_vs_Q1Q4	Het	4.11203557239979	1.08341320212683	15.6086750415607	0.0184926485605435	162	649	6	6	0.0277389728408153
DLPFC	Intergenic_VMRs_Decile_vs_Rest	Het	6.76437803265286	1.65109243743232	25.4529528831199	0.0039731569832676	81	730	5	7	0.00692098313214357
DLPFC	Intergenic_VMRs_Q5_vs_Q1Q4	Quies	1.39564681878867	0.971748859284863	2.01245373105223	0.0650483501276399	162	649	95	327	0.0900669463305784
DLPFC	Intergenic_VMRs_Decile_vs_Rest	Quies	1.85043171175324	1.12078698902382	3.1111821526027	0.0134778363959748	81	730	53	369	0.0214059754524306
DLPFC	Intergenic_VMRs_Q5_vs_Q1Q4	BroadRepressive	2.18276482891354	1.29257035679463	3.86458375251491	0.00213045019556209	162	649	143	503	0.00383481035201177
DLPFC	Intergenic_VMRs_Decile_vs_Rest	BroadRepressive	4.26171891488682	1.70593273451104	13.7295360590016	0.00038987728884139	81	730	76	570	0.000809745138362886
DLPFC	Intergenic_VMRs_Q5_vs_Q1Q4	Bivalent	0.659591649123922	0.163958320869161	1.95898078315016	0.630422241598676	162	649	4	24	0.694751041761806
