tissue	comparison	annotation	or	ci_lo	ci_hi	p_value	n_top	n_lower	n_in_top	n_in_lower	fdr
Caudate	Intergenic_VMRs_Q5_vs_Q1Q4	H3K27me3	0.251971512763601	0.139362963337094	0.426382210932325	1.4910211708563e-09	330	1319	16	222	5.75108165901717e-09
Caudate	Intergenic_VMRs_Decile_vs_Rest	H3K27me3	0.277959134895949	0.116340448857979	0.571978502376656	5.98010537855015e-05	165	1484	8	230	0.000146784404746231
Caudate	Intergenic_VMRs_Q5_vs_Q1Q4	H3K9me3	3.75916079616811	2.79393510420663	5.05101587517187	9.99430821228892e-19	330	1319	108	151	8.99487739106003e-18
Caudate	Intergenic_VMRs_Decile_vs_Rest	H3K9me3	3.34627037981825	2.30428977324751	4.8264318028909	2.493618823934e-10	165	1484	57	202	1.1221284707703e-09
Caudate	Intergenic_VMRs_Q5_vs_Q1Q4	H3K27me3_broad	0.767365483067997	0.589822301965581	0.994704509837221	0.0432984397200277	330	1319	112	529	0.0687681101435734
Caudate	Intergenic_VMRs_Decile_vs_Rest	H3K27me3_broad	0.837816956329236	0.587572088593551	1.18525535365712	0.313612125413233	165	1484	58	583	0.403215589817013
Caudate	Intergenic_VMRs_Q5_vs_Q1Q4	H3K9me3_broad	6.02748645544262	4.53375581667773	8.0813221934693	1.46097584753243e-42	330	1319	253	465	3.94463478833755e-41
Caudate	Intergenic_VMRs_Decile_vs_Rest	H3K9me3_broad	6.94672053708539	4.57750708696011	10.8398119757114	2.66393356151951e-26	165	1484	135	583	3.59631030805133e-25
Caudate	Intergenic_VMRs_Q5_vs_Q1Q4	Polycomb	0.260471440776935	0.157719782048075	0.411177450718075	1.57381861168693e-11	330	1319	22	284	7.7260186391904e-11
Caudate	Intergenic_VMRs_Decile_vs_Rest	Polycomb	0.230703175623957	0.102309390934566	0.456624786834903	4.76082719027643e-07	165	1484	9	297	1.35307720144699e-06
Caudate	Intergenic_VMRs_Q5_vs_Q1Q4	Het	3.95543255132157	2.34770425817162	6.64772157952433	9.85140270302803e-08	330	1319	33	36	3.12926909390302e-07
Caudate	Intergenic_VMRs_Decile_vs_Rest	Het	3.72733180230465	2.01855237512227	6.64293304795704	1.99985180333449e-05	165	1484	19	50	5.14247606571727e-05
Caudate	Intergenic_VMRs_Q5_vs_Q1Q4	Quies	9.00980230957807	6.13341338961246	13.6294674138692	1.50960527784779e-44	330	1319	298	670	8.15186850037808e-43
Caudate	Intergenic_VMRs_Decile_vs_Rest	Quies	11.5083020216591	6.18859991231013	23.7454341828549	1.48442045874777e-25	165	1484	154	814	1.6031740954476e-24
Caudate	Intergenic_VMRs_Q5_vs_Q1Q4	BroadRepressive	15.7967973525263	7.81027972646478	37.2763296060137	1.08927590286705e-30	330	1319	322	947	1.96069662516069e-29
Caudate	Intergenic_VMRs_Decile_vs_Rest	BroadRepressive	18.3750537973533	6.11601073606526	90.42805722306	4.82037376098406e-16	165	1484	162	1107	3.25375228866424e-15
Caudate	Intergenic_VMRs_Q5_vs_Q1Q4	Bivalent	0	0	0.435646730079722	0.000823464728573654	330	1319	0	35	0.00171027289780682
Caudate	Intergenic_VMRs_Decile_vs_Rest	Bivalent	0	0	0.988067514062936	0.0428393043835624	165	1484	0	35	0.0687681101435734
DLPFC	Intergenic_VMRs_Q5_vs_Q1Q4	H3K27me3	0.871315536019653	0.595300025349893	1.2659640812973	0.468569880487642	162	649	56	245	0.527141115548598
DLPFC	Intergenic_VMRs_Decile_vs_Rest	H3K27me3	0.78237973582063	0.459477099340331	1.30340476719608	0.396203207767035	81	730	26	275	0.46510811346565
DLPFC	Intergenic_VMRs_Q5_vs_Q1Q4	H3K9me3	2.31296072095915	1.37960205027422	3.81908571497064	0.00100446869713662	162	649	30	58	0.00200893739427325
DLPFC	Intergenic_VMRs_Decile_vs_Rest	H3K9me3	2.68947856370088	1.41623941435012	4.9185408311629	0.0019428486074944	81	730	18	70	0.0036177180967137
DLPFC	Intergenic_VMRs_Q5_vs_Q1Q4	H3K27me3_broad	1.11260074098193	0.763195236849863	1.63501449411662	0.582676335766148	162	649	108	417	0.616951414340627
DLPFC	Intergenic_VMRs_Decile_vs_Rest	H3K27me3_broad	1.09967764411226	0.662182626313777	1.86265766704808	0.806491478366837	81	730	54	471	0.806491478366837
DLPFC	Intergenic_VMRs_Q5_vs_Q1Q4	H3K9me3_broad	1.42642703718107	0.995476202777516	2.04762021969089	0.0525657806325684	162	649	87	291	0.0788486709488526
DLPFC	Intergenic_VMRs_Decile_vs_Rest	H3K9me3_broad	2.09321926452218	1.27480743818733	3.4886232184354	0.00217228004934949	81	730	51	327	0.00391010408882908
DLPFC	Intergenic_VMRs_Q5_vs_Q1Q4	Polycomb	0.862975189112891	0.56681018404823	1.29526384370976	0.492892386390658	162	649	41	183	0.534333467908418
DLPFC	Intergenic_VMRs_Decile_vs_Rest	Polycomb	0.908728704881252	0.511159611861155	1.56202849953688	0.794043022003662	81	730	21	203	0.806491478366837
DLPFC	Intergenic_VMRs_Q5_vs_Q1Q4	Het	5.79910962145292	1.56073622543871	23.4973652557592	0.00360760487066592	162	649	7	5	0.00628421493599869
DLPFC	Intergenic_VMRs_Decile_vs_Rest	Het	9.59824713705823	2.4986463406009	36.8634304357117	0.000469647471301017	81	730	6	6	0.0010144385380102
DLPFC	Intergenic_VMRs_Q5_vs_Q1Q4	Quies	1.92774512223012	1.33158047315314	2.81149005642196	0.000300270323214849	162	649	105	317	0.00067560822723341
DLPFC	Intergenic_VMRs_Decile_vs_Rest	Quies	1.64400867109221	1.0014879147681	2.7388955211346	0.0458837387356566	81	730	51	371	0.0707920540492988
DLPFC	Intergenic_VMRs_Q5_vs_Q1Q4	BroadRepressive	3.50112482289068	1.91520486470101	6.92455635902096	3.66842093265143e-06	162	649	149	497	9.90473651815886e-06
DLPFC	Intergenic_VMRs_Decile_vs_Rest	BroadRepressive	3.47714699649512	1.48583012048229	9.95852037434113	0.00126384004481549	81	730	75	571	0.0024374058007156
DLPFC	Intergenic_VMRs_Q5_vs_Q1Q4	Bivalent	0.659591649123922	0.163958320869161	1.95898078315016	0.630422241598676	162	649	4	24	0.654669250890933
DLPFC	Intergenic_VMRs_Decile_vs_Rest	Bivalent	0.325759844433821	0.00785574860561636	2.03254693800497	0.348557545367609	81	730	1	27	0.437723429066299
Hippocampus	Intergenic_VMRs_Q5_vs_Q1Q4	H3K27me3	0.814677285524037	0.578696909048545	1.13792599431495	0.225814807805342	215	859	64	294	0.312666656961242
Hippocampus	Intergenic_VMRs_Decile_vs_Rest	H3K27me3	0.826777118221264	0.517684670704333	1.29553666550436	0.451384781311996	108	966	32	326	0.518612301932932
Hippocampus	Intergenic_VMRs_Q5_vs_Q1Q4	H3K9me3	3.10082123021792	2.02021761414608	4.73119643675479	1.40061618250211e-07	215	859	47	71	4.20184854750632e-07
Hippocampus	Intergenic_VMRs_Decile_vs_Rest	H3K9me3	2.82374782892444	1.64527029227215	4.72540886053117	0.000121096670442451	108	966	25	93	0.000284313921908363
Hippocampus	Intergenic_VMRs_Q5_vs_Q1Q4	H3K27me3_broad	1.35103596768444	0.983551408051527	1.86405095112777	0.0643849850525918	215	859	135	477	0.093967275482161
Hippocampus	Intergenic_VMRs_Decile_vs_Rest	H3K27me3_broad	1.26206927747792	0.824482708189659	1.95102420905757	0.305551059609933	108	966	67	545	0.402433102900888
