tissue	h2_quintile	annotation	n_vmrs	n_overlap	frac	ci_lo	ci_hi	annotation_label
Caudate	Q1	in_BroadRepressive	330	189	0.572727272727273	0.518812743015729	0.624968080880624	Broad repressive
Caudate	Q1	in_H3K27me3	330	63	0.190909090909091	0.152009509929374	0.236921988511123	H3K27me3
Caudate	Q1	in_H3K9me3	330	19	0.0575757575757576	0.0366684615756303	0.0886648597215521	H3K9me3
Caudate	Q1	in_Polycomb	330	76	0.23030303030303	0.188031359162302	0.27878141888872	Polycomb
Caudate	Q1	in_Quies	330	116	0.351515151515152	0.301951780524669	0.404495704020275	Quiescent
Caudate	Q2	in_BroadRepressive	330	204	0.618181818181818	0.564671454519851	0.668972384311723	Broad repressive
Caudate	Q2	in_H3K27me3	330	71	0.215151515151515	0.174107410566557	0.262751029172725	H3K27me3
Caudate	Q2	in_H3K9me3	330	17	0.0515151515151515	0.0318726196389331	0.0814789663335531	H3K9me3
Caudate	Q2	in_Polycomb	330	79	0.239393939393939	0.196424247517357	0.288361133520709	Polycomb
Caudate	Q2	in_Quies	330	126	0.381818181818182	0.331027615688277	0.435328545480149	Quiescent
Caudate	Q3	in_BroadRepressive	330	252	0.763636363636364	0.714828994218968	0.806376492405313	Broad repressive
Caudate	Q3	in_H3K27me3	330	62	0.187878787878788	0.14926407508623	0.23367655569192	H3K27me3
Caudate	Q3	in_H3K9me3	330	39	0.118181818181818	0.0873962616624682	0.157754412881675	H3K9me3
Caudate	Q3	in_Polycomb	330	86	0.260606060606061	0.216113002850213	0.31060845182429	Polycomb
Caudate	Q3	in_Quies	330	170	0.515151515151515	0.461366276928337	0.568588061383404	Quiescent
Caudate	Q4	in_BroadRepressive	330	301	0.912121212121212	0.876281388450725	0.938476613628612	Broad repressive
Caudate	Q4	in_H3K27me3	330	20	0.0606060606060606	0.0390923543797493	0.0922318345797811	H3K27me3
Caudate	Q4	in_H3K9me3	330	82	0.248484848484849	0.204844663482337	0.297913320542774	H3K9me3
Caudate	Q4	in_Polycomb	330	39	0.118181818181818	0.0873962616624682	0.157754412881675	Polycomb
Caudate	Q4	in_Quies	330	258	0.781818181818182	0.734036263720284	0.823114428878086	Quiescent
Caudate	Q5	in_BroadRepressive	329	323	0.981762917933131	0.959828376260841	0.992577015552959	Broad repressive
Caudate	Q5	in_H3K27me3	329	22	0.0668693009118541	0.0441220905506232	0.0996143868407553	H3K27me3
Caudate	Q5	in_H3K9me3	329	102	0.310030395136778	0.262439389549633	0.362006433867638	H3K9me3
Caudate	Q5	in_Polycomb	329	26	0.0790273556231003	0.0541043178719535	0.11366762682072	Polycomb
Caudate	Q5	in_Quies	329	298	0.905775075987842	0.869019573398585	0.933164147782123	Quiescent
DLPFC	Q1	in_BroadRepressive	163	121	0.742331288343558	0.669926630234436	0.80357678167772	Broad repressive
DLPFC	Q1	in_H3K27me3	163	68	0.417177914110429	0.344215618157737	0.493954101821653	H3K27me3
DLPFC	Q1	in_H3K9me3	163	18	0.110429447852761	0.0701967571636366	0.168601555332013	H3K9me3
DLPFC	Q1	in_Polycomb	163	49	0.300613496932515	0.235329588141867	0.375078996993702	Polycomb
DLPFC	Q1	in_Quies	163	71	0.43558282208589	0.361800085833065	0.512331918595349	Quiescent
DLPFC	Q2	in_BroadRepressive	162	116	0.716049382716049	0.642058260314509	0.780031610926211	Broad repressive
DLPFC	Q2	in_H3K27me3	162	59	0.364197530864198	0.293972658635267	0.440713708013423	H3K27me3
DLPFC	Q2	in_H3K9me3	162	12	0.0740740740740741	0.041736535356791	0.126143432768646	H3K9me3
DLPFC	Q2	in_Polycomb	162	35	0.216049382716049	0.159311899657252	0.285941412426373	Polycomb
DLPFC	Q2	in_Quies	162	80	0.493827160493827	0.417877976849991	0.570062312543131	Quiescent
DLPFC	Q3	in_BroadRepressive	162	133	0.820987654320988	0.754277329786845	0.872827621770797	Broad repressive
DLPFC	Q3	in_H3K27me3	162	59	0.364197530864198	0.293972658635267	0.440713708013423	H3K27me3
DLPFC	Q3	in_H3K9me3	162	15	0.0925925925925926	0.0559619545013158	0.148097145444754	H3K9me3
DLPFC	Q3	in_Polycomb	162	45	0.277777777777778	0.214373294827689	0.351477123324713	Polycomb
DLPFC	Q3	in_Quies	162	90	0.555555555555556	0.478620553294013	0.629916842167887	Quiescent
DLPFC	Q4	in_BroadRepressive	162	133	0.820987654320988	0.754277329786845	0.872827621770797	Broad repressive
DLPFC	Q4	in_H3K27me3	162	58	0.358024691358025	0.288201531763027	0.434425124278785	H3K27me3
DLPFC	Q4	in_H3K9me3	162	16	0.0987654320987654	0.0608095167761322	0.155309293776816	H3K9me3
DLPFC	Q4	in_Polycomb	162	50	0.308641975308642	0.242494722222275	0.383654248964516	Polycomb
DLPFC	Q4	in_Quies	162	86	0.530864197530864	0.454190043159169	0.60610850987522	Quiescent
DLPFC	Q5	in_BroadRepressive	162	143	0.882716049382716	0.823319540037247	0.924382517589171	Broad repressive
DLPFC	Q5	in_H3K27me3	162	57	0.351851851851852	0.282442885098436	0.428124060336499	H3K27me3
DLPFC	Q5	in_H3K9me3	162	27	0.166666666666667	0.116638390520674	0.232137236707929	H3K9me3
DLPFC	Q5	in_Polycomb	162	45	0.277777777777778	0.214373294827689	0.351477123324713	Polycomb
DLPFC	Q5	in_Quies	162	95	0.58641975308642	0.509412718457828	0.65942323003846	Quiescent
Hippocampus	Q1	in_BroadRepressive	215	137	0.637209302325581	0.571008677546816	0.698592888435895	Broad repressive
Hippocampus	Q1	in_H3K27me3	215	80	0.372093023255814	0.310219481084667	0.438457025202637	H3K27me3
Hippocampus	Q1	in_H3K9me3	215	16	0.0744186046511628	0.0455608948442146	0.118217298802632	H3K9me3
Hippocampus	Q1	in_Polycomb	215	65	0.302325581395349	0.244751544396679	0.366839419865518	Polycomb
Hippocampus	Q1	in_Quies	215	72	0.334883720930233	0.275120423945753	0.400443793261494	Quiescent
Hippocampus	Q2	in_BroadRepressive	215	142	0.66046511627907	0.594782295852667	0.720514450805079	Broad repressive
Hippocampus	Q2	in_H3K27me3	215	68	0.316279069767442	0.257725979807872	0.381282092859346	H3K27me3
Hippocampus	Q2	in_H3K9me3	215	14	0.0651162790697674	0.0383389748308754	0.107161146545957	H3K9me3
Hippocampus	Q2	in_Polycomb	215	59	0.274418604651163	0.218996238836155	0.337760508615999	Polycomb
Hippocampus	Q2	in_Quies	215	89	0.413953488372093	0.350172571763469	0.480755259738899	Quiescent
Hippocampus	Q3	in_BroadRepressive	215	149	0.693023255813954	0.628339398802453	0.750930600800344	Broad repressive
Hippocampus	Q3	in_H3K27me3	215	79	0.367441860465116	0.305810222336353	0.433727247815943	H3K27me3
Hippocampus	Q3	in_H3K9me3	215	17	0.0790697674418605	0.049223599259735	0.123693630522119	H3K9me3
Hippocampus	Q3	in_Polycomb	215	63	0.293023255813954	0.236137139740932	0.357175752251251	Polycomb
Hippocampus	Q3	in_Quies	215	91	0.423255813953488	0.359115421983133	0.49009048178925	Quiescent
Hippocampus	Q4	in_BroadRepressive	215	179	0.832558139534884	0.776574553469663	0.876866530183348	Broad repressive
Hippocampus	Q4	in_H3K27me3	215	70	0.325581395348837	0.266409852972295	0.390876291964938	H3K27me3
Hippocampus	Q4	in_H3K9me3	215	26	0.12093023255814	0.0833821053532827	0.171786449643636	H3K9me3
Hippocampus	Q4	in_Polycomb	215	60	0.27906976744186	0.2232702188327	0.342625564754461	Polycomb
Hippocampus	Q4	in_Quies	215	117	0.544186046511628	0.477415537727325	0.609405305555243	Quiescent
Hippocampus	Q5	in_BroadRepressive	214	198	0.925233644859813	0.881247497364183	0.954222486105789	Broad repressive
Hippocampus	Q5	in_H3K27me3	214	61	0.285046728971963	0.228652165190682	0.349022348659662	H3K27me3
Hippocampus	Q5	in_H3K9me3	214	45	0.210280373831776	0.1607988513048	0.269979841276098	H3K9me3
Hippocampus	Q5	in_Polycomb	214	45	0.210280373831776	0.1607988513048	0.269979841276098	Polycomb
Hippocampus	Q5	in_Quies	214	154	0.719626168224299	0.655855937406159	0.775650537572838	Quiescent
