tissue	comparison	annotation	or	ci_lo	ci_hi	p_value	n_heritable	n_nonher	n_in_her	n_in_nonher	fdr
Caudate	All_VMRs	H3K27me3	1.42414271313763	1.23058933161962	1.64948525287464	1.47055974607577e-06	3456	3678	356	517	6.10847894523779e-06
Caudate	All_VMRs	H3K9me3	0.250627619950415	0.203562696610668	0.30694941127113	2.92618473468877e-49	3456	3678	447	132	3.95034939182983e-48
Caudate	All_VMRs	H3K27me3_broad	0.984197051231987	0.889186129202764	1.08939940450843	0.758970423436781	3456	3678	1083	1140	0.803615742462475
Caudate	All_VMRs	H3K9me3_broad	0.42146134589417	0.379024928655494	0.468464900793265	7.86419932732805e-61	3456	3678	1347	780	1.41555587891905e-59
Caudate	All_VMRs	Polycomb	0.99993896484375	0.869212426130202	1.15040928067432	1	3456	3678	452	481	1
Caudate	All_VMRs	Het	0.0732749780187811	0.0356413652802624	0.135581434510495	4.39773962120105e-31	3456	3678	136	11	2.96847424431071e-30
Caudate	All_VMRs	Quies	0.221255139693052	0.1984673883083	0.246429340062551	3.63403581291625e-184	3456	3678	1745	677	1.96237933897478e-182
Caudate	All_VMRs	BroadRepressive	0.263652580379605	0.238629004365682	0.291186705240363	1.84296743784442e-164	3456	3678	2185	1147	4.97601208217994e-163
Caudate	All_VMRs	Bivalent	1.92747281911335	1.42509127039629	2.6278778833444	9.53542943936077e-06	3456	3678	68	137	3.21820743578426e-05
Caudate	Intergenic_VMRs	H3K27me3	1.85712942927698	1.3939579467143	2.47376158451937	1.57092297309168e-05	1049	600	121	117	4.98999062040887e-05
Caudate	Intergenic_VMRs	H3K9me3	0.236613757836191	0.158949272342447	0.343802280518235	4.28307791534067e-18	1049	600	223	36	2.5698467492044e-17
Caudate	Intergenic_VMRs	H3K27me3_broad	1.16312161409609	0.942226383888444	1.43520315475466	0.156397359631819	1049	600	394	247	0.263920544378694
Caudate	Intergenic_VMRs	H3K9me3_broad	0.282500850815354	0.224650002623376	0.354002242781602	1.92292621705569e-31	1049	600	568	150	1.48340022458582e-30
Caudate	Intergenic_VMRs	Polycomb	1.59205466767607	1.22729837466886	2.06338056242634	0.000366183315916076	1049	600	167	139	0.000941614240927052
