term	estimate	std.error	statistic	p.value	conf.low	conf.high	model	estimate_scale	cohort	tissue	modality	population	vmr_set	run_tag
(Intercept)	0.762025188779948	1.95956661077804	-0.138691722039631	0.889693759733927	0.0144982296138557	32.0040400796343	burden_fdr10_category	odds_ratio	all_individuals	hippocampus	psi	EA	shared	window_250kb
h2_categoryNon-heritable	2.44877922927752	0.336909048619198	2.65825340780621	0.00785468081577285	1.22037317722045	4.62048416317778	burden_fdr10_category	odds_ratio	all_individuals	hippocampus	psi	EA	shared	window_250kb
h2_categoryLow prediction	0.339974828994776	1.10803811103975	-0.97368825650624	0.330211349937622	0.0325846994712405	2.78127964010022	burden_fdr10_category	odds_ratio	all_individuals	hippocampus	psi	EA	shared	window_250kb
log_vmr_length	0.879343765585683	0.159974186162524	-0.80375074071497	0.421540943506184	0.643210545563559	1.20547683118643	burden_fdr10_category	odds_ratio	all_individuals	hippocampus	psi	EA	shared	window_250kb
log_num_snps	0.424192350348655	0.267879005566393	-3.20132691371346	0.00136796233255842	0.25580843861134	0.72956108111464	burden_fdr10_category	odds_ratio	all_individuals	hippocampus	psi	EA	shared	window_250kb
methylation_variance	1954899983070770000	12.4069701193659	3.39461369708041	0.000687254971257364	13355768.4217701	2.50573456949148e+28	burden_fdr10_category	odds_ratio	all_individuals	hippocampus	psi	EA	shared	window_250kb
log_min_distance	0.97282270823082	0.0319622108744482	-0.862062545861119	0.388653100518331	0.912711796153663	1.03520414242811	burden_fdr10_category	odds_ratio	all_individuals	hippocampus	psi	EA	shared	window_250kb
chromatin_stateGenic/other	1.47292225469337	0.747604295187881	0.517985728989622	0.604468226378059	0.424595216632051	9.30130002947287	burden_fdr10_category	odds_ratio	all_individuals	hippocampus	psi	EA	shared	window_250kb
chromatin_stateIntergenic	1.38346032472662	0.812097002531643	0.399690974546588	0.689384140537917	0.329737194053481	9.43328821439985	burden_fdr10_category	odds_ratio	all_individuals	hippocampus	psi	EA	shared	window_250kb
chromatin_statePromoter	1.72860509658228	0.765705224860667	0.714785224064448	0.474741766810312	0.471866910913346	11.1483999516316	burden_fdr10_category	odds_ratio	all_individuals	hippocampus	psi	EA	shared	window_250kb
(Intercept)	2.64274541175886	0.197793012364252	13.3611667074064	5.02100004527104e-40	2.25498312843251	3.03050769508522	strength_category	log_abs_beta	all_individuals	hippocampus	psi	EA	shared	window_250kb
h2_categoryNon-heritable	0.127994982890475	0.0377578542822689	3.38989027113708	0.000704690310527018	0.0539727936584624	0.202017172122487	strength_category	log_abs_beta	all_individuals	hippocampus	psi	EA	shared	window_250kb
h2_categoryLow prediction	-0.366375051989661	0.168109004449903	-2.1793898142966	0.029349849214457	-0.695943476243037	-0.0368066277362846	strength_category	log_abs_beta	all_individuals	hippocampus	psi	EA	shared	window_250kb
log_vmr_length	-0.100951480389587	0.0149969026477846	-6.7314886787306	1.87071771258833e-11	-0.130352080259207	-0.0715508805199678	strength_category	log_abs_beta	all_individuals	hippocampus	psi	EA	shared	window_250kb
log_num_snps	-0.173259900587389	0.0289536259275591	-5.98404845807151	2.3302518724757e-09	-0.230021886089546	-0.116497915085233	strength_category	log_abs_beta	all_individuals	hippocampus	psi	EA	shared	window_250kb
methylation_variance	-3.12431230244479	2.18799860555252	-1.42793157843711	0.153374830648929	-7.41376279952044	1.16513819463085	strength_category	log_abs_beta	all_individuals	hippocampus	psi	EA	shared	window_250kb
log_min_distance	-0.0319141356570802	0.00277198801437334	-11.5130857318281	2.75368791135155e-30	-0.0373484651561791	-0.0264798061579812	strength_category	log_abs_beta	all_individuals	hippocampus	psi	EA	shared	window_250kb
chromatin_stateGenic/other	-0.0727166719578873	0.0516573077353037	-1.40767444425276	0.159290476214095	-0.173987972488188	0.0285546285724133	strength_category	log_abs_beta	all_individuals	hippocampus	psi	EA	shared	window_250kb
chromatin_stateIntergenic	-0.120958080604672	0.056868908652666	-2.12696328222929	0.0334726003047456	-0.23244643707313	-0.00946972413621473	strength_category	log_abs_beta	all_individuals	hippocampus	psi	EA	shared	window_250kb
chromatin_statePromoter	0.087912244136914	0.0556022425609932	1.58109169860331	0.113921156735623	-0.0210928833739169	0.196917371647745	strength_category	log_abs_beta	all_individuals	hippocampus	psi	EA	shared	window_250kb
(Intercept)	1.11485363087298	1.97097680423496	0.0551620512741667	0.956009361576257	0.0205261596389935	47.6650267363058	burden_fdr10_continuous_h2	odds_ratio_per_0.1_h2	all_individuals	hippocampus	psi	EA	shared	window_250kb
