cohort	tissue	population	feature_type	bin_type	h2_bin	n_vmrs	median_distance	q25_distance	q75_distance	prop_within_10kb	prop_within_100kb
BA_only	dlpfc	AA	gene	h2_quintile	Q1	1905	0	0	0	0.954855643044619	0.998950131233596
BA_only	dlpfc	AA	gene	h2_quintile	Q2	1904	0	0	0	0.944327731092437	0.997373949579832
BA_only	dlpfc	AA	gene	h2_quintile	Q3	1904	0	0	0	0.94905462184874	0.998949579831933
BA_only	dlpfc	AA	gene	h2_quintile	Q4	1904	0	0	0	0.948004201680672	0.999474789915966
BA_only	dlpfc	AA	gene	h2_quintile	Q5	1905	0	0	0	0.912860892388452	0.992650918635171
BA_only	dlpfc	AA	gene	h2_tertile	T1	3174	0	0	0	0.948645242596093	0.998109640831758
BA_only	dlpfc	AA	gene	h2_tertile	T2	3174	0	0	0	0.950535601764335	0.998739760554505
BA_only	dlpfc	AA	gene	h2_tertile	T3	3174	0	0	0	0.926275992438563	0.995589161940769
BA_only	dlpfc	AA	psi	h2_quintile	Q1	1905	0	0	11397	0.735958005249344	0.975328083989501
BA_only	dlpfc	AA	psi	h2_quintile	Q2	1904	32	0	11146	0.733193277310924	0.96796218487395
BA_only	dlpfc	AA	psi	h2_quintile	Q3	1904	0	0	12421.25	0.726890756302521	0.974789915966386
BA_only	dlpfc	AA	psi	h2_quintile	Q4	1904	346.5	0	12067	0.728991596638655	0.972689075630252
BA_only	dlpfc	AA	psi	h2_quintile	Q5	1905	651	0	17261	0.683989501312336	0.952755905511811
BA_only	dlpfc	AA	psi	h2_tertile	T1	3174	0	0	11083.5	0.738185255198488	0.971014492753623
BA_only	dlpfc	AA	psi	h2_tertile	T2	3174	8.5	0	12499.25	0.724322621298047	0.974795211090107
BA_only	dlpfc	AA	psi	h2_tertile	T3	3174	527.5	0	14335.5	0.702898550724638	0.960302457466919
