"h2_quintile_AA","h2_quintile_EA","n"
"Q1","Q1",592
"Q1","Q2",554
"Q1","Q3",293
"Q1","Q4",0
"Q1","Q5",0
"Q2","Q1",559
"Q2","Q2",565
"Q2","Q3",315
"Q2","Q4",0
"Q2","Q5",0
"Q3","Q1",288
"Q3","Q2",320
"Q3","Q3",492
"Q3","Q4",332
"Q3","Q5",6
"Q4","Q1",0
"Q4","Q2",0
"Q4","Q3",325
"Q4","Q4",893
"Q4","Q5",221
"Q5","Q1",0
"Q5","Q2",0
"Q5","Q3",13
"Q5","Q4",214
"Q5","Q5",1212
