"h2_quintile_AA","h2_quintile_EA","n"
"Q1","Q1",719
"Q1","Q2",88
"Q1","Q3",74
"Q1","Q4",75
"Q1","Q5",35
"Q2","Q1",86
"Q2","Q2",265
"Q2","Q3",271
"Q2","Q4",214
"Q2","Q5",155
"Q3","Q1",83
"Q3","Q2",252
"Q3","Q3",241
"Q3","Q4",253
"Q3","Q5",161
"Q4","Q1",60
"Q4","Q2",218
"Q4","Q3",254
"Q4","Q4",267
"Q4","Q5",192
"Q5","Q1",43
"Q5","Q2",168
"Q5","Q3",150
"Q5","Q4",182
"Q5","Q5",448
