"h2_quintile_AA","h2_quintile_EA","n"
"Q1","Q1",685
"Q1","Q2",114
"Q1","Q3",103
"Q1","Q4",68
"Q1","Q5",23
"Q2","Q1",109
"Q2","Q2",300
"Q2","Q3",285
"Q2","Q4",228
"Q2","Q5",71
"Q3","Q1",96
"Q3","Q2",262
"Q3","Q3",302
"Q3","Q4",256
"Q3","Q5",77
"Q4","Q1",83
"Q4","Q2",246
"Q4","Q3",221
"Q4","Q4",287
"Q4","Q5",156
"Q5","Q1",20
"Q5","Q2",71
"Q5","Q3",82
"Q5","Q4",154
"Q5","Q5",666
