"h2_category","cor_snps_length","p_snps_length","cor_snps_h2","p_snps_h2","n","p_snps_length_adj","p_snps_h2_adj"
"Heritable",-0.155969546588927,5.70305680726172e-29,-0.160951860307965,9.13158769252845e-31,5069,1.71091704217851e-28,1.36973815387927e-30
"Non-heritable",-0.0658128398485192,8.62798855447474e-08,0.175929843540593,4.62033319265884e-47,6605,1.29419828317121e-07,1.38609995779765e-46
"Low prediction",0.0769200423550361,0.536122835427603,-0.143631915354518,0.246221018629807,67,0.536122835427603,0.246221018629807
