"h2_category","n","mean_num_snps","sd_num_snps","median_num_snps"
"Heritable",5069,481.066087985796,210.962231018828,459
"Non-heritable",6605,482.762906888721,224.8159927012,468
"Low prediction",67,33.1044776119403,30.6555320670493,20
