"h2_category","n","mean_num_snps","sd_num_snps","median_num_snps"
"Heritable",5343,407.807411566536,173.269849695921,390
"Non-heritable",4179,417.264895908112,194.606625204629,392
"Low prediction",42,15.8095238095238,14.6157918191051,11.5
