"h2_category","spearman_rho","spearman_p_value","n","spearman_FDR"
"Heritable",0.119783153866309,1.56022407960699e-18,5343,4.68067223882097e-18
"Non-heritable",-0.0198140105330179,0.200326148711225,4179,0.300489223066838
"Low prediction",0.134678497740302,0.395125014212476,42,0.395125014212476
