env	term	statistic	p_value	location_shift	ci_lo	ci_hi	median_neg_log10p_heritable	median_neg_log10p_nonheritable	n_heritable_features	n_nonheritable_features	fdr	cohort	tissue	population	vmr_set	modality	run_tag
smoking	env_valueTRUE	91297	0.0539211603121999	-0.0336911707169373	-0.0711737089417208	0.000560152984510284	0.273820463376327	0.324264234330567	590	335	0.142458332639565	all_individuals	caudate	AA	AA_only	psi	window_250kb
codeine	env_valueTRUE	98725	0.0831006940397463	0.0286862346711482	-0.00391869786252856	0.0632623048842984	0.296510127750072	0.257397182549481	575	321	0.142458332639565	all_individuals	caudate	AA	AA_only	psi	window_250kb
morphine	env_valueTRUE	99932	0.212521436494966	0.0193065704421457	-0.0112241244417515	0.0513843216270269	0.278386213806985	0.235292060761632	584	326	0.283361915326621	all_individuals	caudate	AA	AA_only	psi	window_250kb
cocaine	env_valueTRUE	94326	1.28748571828471e-08	0.0829274189986351	0.0527407330303952	0.115401331048098	0.272134112209907	0.156697396837794	537	283	1.54498286194165e-07	all_individuals	caudate	AA	AA_only	psi	window_250kb
ethanol	env_valueTRUE	104591	0.072967384980156	0.0302944717575783	-0.00293359771519783	0.0659009292868844	0.298734876478757	0.2702124060511	590	331	0.142458332639565	all_individuals	caudate	AA	AA_only	psi	window_250kb
nicotine	env_valueTRUE	91915	0.0768561453163634	-0.0344573359347331	-0.0758913929214876	0.00360463689348146	0.31753358131517	0.37352559287943	590	335	0.142458332639565	all_individuals	caudate	AA	AA_only	psi	window_250kb
amphetamines	env_valueTRUE	93607	0.890187143952805	0.00222046679816599	-0.02988944605755	0.0355147967788822	0.269266260725315	0.266781592213826	580	321	0.890187143952805	all_individuals	caudate	AA	AA_only	psi	window_250kb
any_trauma_hx	env_value	100008	0.412824651331434	0.0125652520252609	-0.0181625940908486	0.0453575652149117	0.288158556374303	0.273417814875362	587	330	0.495389581597721	all_individuals	caudate	AA	AA_only	psi	window_250kb
education	env_valueless_than_hs	93742	0.20757236247718	-0.024768170043968	-0.064636071717431	0.0133775974178955	0.3049944690412	0.365622052060672	589	335	0.283361915326621	all_individuals	caudate	AA	AA_only	psi	window_250kb
education	env_valuemore_than_hs	100133	0.705275424177723	0.00651710468377484	-0.0277682590986224	0.0433498313961215	0.296117040420485	0.284677284742255	589	335	0.769391371830243	all_individuals	caudate	AA	AA_only	psi	window_250kb
marital_status	env_valuepreviously_married	90603	0.0389089292455414	-0.0403304694743158	-0.0863449296918397	-0.00189263837738068	0.291818300400709	0.365832798538802	589	335	0.142458332639565	all_individuals	caudate	AA	AA_only	psi	window_250kb
marital_status	env_valuesingle	90050	0.0273179013748529	-0.043849796477445	-0.08329313265759	-0.00480584843387374	0.307759655432146	0.373156772740062	589	335	0.142458332639565	all_individuals	caudate	AA	AA_only	psi	window_250kb
