term	estimate	std.error	statistic	p.value	conf.low	conf.high	model	estimate_scale	cohort	tissue	modality	population	vmr_set	run_tag
(Intercept)	0.487211037097453	0.803276936686981	-0.89515567528654	0.370703875373281	0.0995219167887283	2.32426693818332	burden_fdr10_category	odds_ratio	all_individuals	caudate	psi	AA	AA_only	window_250kb
h2_categoryNon-heritable	0.276338753063697	0.128116247095628	-10.0387564329004	1.02963991291176e-23	0.214100442989617	0.353955664102324	burden_fdr10_category	odds_ratio	all_individuals	caudate	psi	AA	AA_only	window_250kb
h2_categoryLow prediction	0.094871674405075	0.454850605634555	-5.17803003247379	2.24241139161938e-07	0.0366576015149552	0.221494294575894	burden_fdr10_category	odds_ratio	all_individuals	caudate	psi	AA	AA_only	window_250kb
log_vmr_length	1.37446325307256	0.06008138168196	5.2938744849374	1.19751640891452e-07	1.22221480737653	1.54690085139856	burden_fdr10_category	odds_ratio	all_individuals	caudate	psi	AA	AA_only	window_250kb
log_num_snps	0.532418541644302	0.0984444868715892	-6.40285085096043	1.52502155345004e-10	0.439221147033294	0.646350160477176	burden_fdr10_category	odds_ratio	all_individuals	caudate	psi	AA	AA_only	window_250kb
methylation_variance	16424612943365900	7.76571271129982	4.80800137501639	1.52446717544331e-06	3637366575.75524	6.51116743181209e+22	burden_fdr10_category	odds_ratio	all_individuals	caudate	psi	AA	AA_only	window_250kb
log_min_distance	0.911847754071532	0.0130409830722305	-7.0763253550114	1.48027097592926e-12	0.888584161105814	0.935219575168421	burden_fdr10_category	odds_ratio	all_individuals	caudate	psi	AA	AA_only	window_250kb
chromatin_stateGenic/other	0.952279173253447	0.251408595886097	-0.194492307599007	0.845790418376341	0.5955426855679	1.60354261299924	burden_fdr10_category	odds_ratio	all_individuals	caudate	psi	AA	AA_only	window_250kb
chromatin_stateIntergenic	1.08706357638516	0.276761592807608	0.301631788994592	0.762932771905126	0.643104107883684	1.91272330195622	burden_fdr10_category	odds_ratio	all_individuals	caudate	psi	AA	AA_only	window_250kb
chromatin_statePromoter	1.68365970959471	0.252611512480238	2.06233602577487	0.0391757554190531	1.04994691014366	2.84037553201455	burden_fdr10_category	odds_ratio	all_individuals	caudate	psi	AA	AA_only	window_250kb
(Intercept)	2.34667807588202	0.196173228001504	11.9622748720025	1.15959262029329e-32	1.96211947034328	2.73123668142075	strength_category	log_abs_beta	all_individuals	caudate	psi	AA	AA_only	window_250kb
h2_categoryNon-heritable	0.228092189248045	0.025585000767404	8.91507455175225	6.12524525254865e-19	0.177937882679032	0.278246495817058	strength_category	log_abs_beta	all_individuals	caudate	psi	AA	AA_only	window_250kb
h2_categoryLow prediction	0.216425111066101	0.118282146319064	1.8297360827584	0.0673316967471928	-0.015443517043741	0.448293739175942	strength_category	log_abs_beta	all_individuals	caudate	psi	AA	AA_only	window_250kb
log_vmr_length	-0.0900497574365131	0.0140918820461946	-6.39018671468586	1.7625861109412e-10	-0.117674090095501	-0.0624254247775256	strength_category	log_abs_beta	all_individuals	caudate	psi	AA	AA_only	window_250kb
log_num_snps	-0.12024839122352	0.0246158253061537	-4.88500343693369	1.05711941211905e-06	-0.168502822015916	-0.0719939604311237	strength_category	log_abs_beta	all_individuals	caudate	psi	AA	AA_only	window_250kb
methylation_variance	-14.3971017233665	2.74315139128913	-5.24838030051292	1.5792752120173e-07	-19.7745045655509	-9.01969888118201	strength_category	log_abs_beta	all_individuals	caudate	psi	AA	AA_only	window_250kb
log_min_distance	-0.0404576938804066	0.0027383247987627	-14.7746147201702	1.13894697082457e-48	-0.0458256351476841	-0.035089752613129	strength_category	log_abs_beta	all_individuals	caudate	psi	AA	AA_only	window_250kb
chromatin_stateGenic/other	-0.121010989339514	0.0489011403490526	-2.47460465084753	0.0133617677435053	-0.216871951273328	-0.0251500274056993	strength_category	log_abs_beta	all_individuals	caudate	psi	AA	AA_only	window_250kb
chromatin_stateIntergenic	-0.00594646639091326	0.0545482677729866	-0.109012928066949	0.913195344561187	-0.112877498739386	0.10098456595756	strength_category	log_abs_beta	all_individuals	caudate	psi	AA	AA_only	window_250kb
chromatin_statePromoter	0.0828516330939624	0.0519394657369479	1.59515759198548	0.110721905846115	-0.0189653616086708	0.184668627796595	strength_category	log_abs_beta	all_individuals	caudate	psi	AA	AA_only	window_250kb
(Intercept)	0.133524366214911	0.831269171449867	-2.42216524861704	0.0154283329689698	0.0257787369336582	0.671556277719579	burden_fdr10_continuous_h2	odds_ratio_per_0.1_h2	all_individuals	caudate	psi	AA	AA_only	window_250kb
h2_scaled	1.22606062601579	0.0255584096859784	7.97413802552765	1.53447976693243e-15	1.16597614939393	1.28892287588916	burden_fdr10_continuous_h2	odds_ratio_per_0.1_h2	all_individuals	caudate	psi	AA	AA_only	window_250kb
log_vmr_length	1.33561682311186	0.0662323286549215	4.3693650941467	1.246082901201e-05	1.17317697160284	1.521035810433	burden_fdr10_continuous_h2	odds_ratio_per_0.1_h2	all_individuals	caudate	psi	AA	AA_only	window_250kb
log_num_snps	0.581925971140144	0.102439993766105	-5.28516272590612	1.25593065494859e-07	0.476630993032587	0.712400630810048	burden_fdr10_continuous_h2	odds_ratio_per_0.1_h2	all_individuals	caudate	psi	AA	AA_only	window_250kb
methylation_variance	13330094927285300	7.83241303916944	4.74040381485549	2.13292689658026e-06	2576695130.04509	6.00000451896135e+22	burden_fdr10_continuous_h2	odds_ratio_per_0.1_h2	all_individuals	caudate	psi	AA	AA_only	window_250kb
