env	term	statistic	p_value	location_shift	ci_lo	ci_hi	median_vmr_score_heritable	median_vmr_score_nonheritable	n_heritable_vmrs	n_nonheritable_vmrs	fdr	cohort	tissue	population	vmr_set	modality	run_tag
smoking	env_valueTRUE	33594.5	0.902669774192868	0.00260036275165093	-0.0401205346988588	0.0448937732338291	0.282416277577354	0.286966523018562	321	208	0.902669774192868	all_individuals	caudate	AA	AA_only	psi	window_250kb
codeine	env_valueTRUE	31805.5	0.852986609866474	0.00375799504097248	-0.0391498872823129	0.0465893872774567	0.272581795727242	0.281614037588898	315	200	0.902669774192868	all_individuals	caudate	AA	AA_only	psi	window_250kb
morphine	env_valueTRUE	33409.5	0.624067113088593	0.0095366294285561	-0.0285568589945562	0.0510610913808365	0.28448264179152	0.2484449295987	321	203	0.902669774192868	all_individuals	caudate	AA	AA_only	psi	window_250kb
cocaine	env_valueTRUE	30796.5	0.0163620828722807	0.0388322859926215	0.00709785321231669	0.0747975987620641	0.228120605372461	0.168060513891776	306	178	0.196344994467369	all_individuals	caudate	AA	AA_only	psi	window_250kb
ethanol	env_valueTRUE	35084.5	0.277007513433678	0.0234266009745907	-0.0185454737103962	0.0652442188505868	0.290002512580342	0.2702124060511	321	207	0.831022540301034	all_individuals	caudate	AA	AA_only	psi	window_250kb
nicotine	env_valueTRUE	34233.5	0.621024531904151	0.0118583621360258	-0.0346481650750711	0.0581298491540898	0.306192935363422	0.320387645059182	321	208	0.902669774192868	all_individuals	caudate	AA	AA_only	psi	window_250kb
amphetamines	env_valueTRUE	30456.5	0.349013811292925	-0.0203687806613241	-0.0667355176984955	0.0220406330764342	0.285084423922844	0.296433210973385	317	202	0.83763314710302	all_individuals	caudate	AA	AA_only	psi	window_250kb
any_trauma_hx	env_value	32215.5	0.822264213116743	-0.00360410728486735	-0.0408112197351964	0.033404819316367	0.235166845178681	0.258116646215267	318	205	0.902669774192868	all_individuals	caudate	AA	AA_only	psi	window_250kb
education	env_valueless_than_hs	34650.5	0.423830359862165	0.0197783641376833	-0.0326025196578887	0.0759976225092894	0.406222634176945	0.325055940909919	320	208	0.847660719724331	all_individuals	caudate	AA	AA_only	psi	window_250kb
education	env_valuemore_than_hs	33795.5	0.763679600533719	0.00670812644523358	-0.0408232883141743	0.0594906600627718	0.284746220501295	0.285985743333541	320	208	0.902669774192868	all_individuals	caudate	AA	AA_only	psi	window_250kb
marital_status	env_valuepreviously_married	29659.5	0.034573098914881	-0.0504715788001443	-0.110122400412066	-0.00370266108480184	0.238886491289201	0.335011408668239	320	208	0.207438593489286	all_individuals	caudate	AA	AA_only	psi	window_250kb
marital_status	env_valuesingle	30070.5	0.0610152006797338	-0.0468864683892464	-0.102791426201707	0.00246686469565232	0.277662976265613	0.372477209892337	320	208	0.244060802718935	all_individuals	caudate	AA	AA_only	psi	window_250kb
