spearman_rho	spearman_p_value	n	h2_category	tissue1	tissue2
0.657076654019256	1.37043047557158e-26	204	heritable	caudate	dlpfc
0.709919836850658	0	277	heritable	caudate	hippocampus
0.638423214755775	5.11589585239611e-124	1074	heritable	hippocampus	dlpfc
0.0680444730846388	0.245600757831258	293	non-heritable	caudate	dlpfc
0.0503763221034895	0.381422327505576	304	non-heritable	caudate	hippocampus
0.140888339877579	5.73040470931219e-05	810	non-heritable	hippocampus	dlpfc
