cohort	tissue	population	vmr_set	modality	run_tag	h2_category	n_vmrs	n_any_fdr05	n_any_fdr10	prop_any_fdr05	prop_any_fdr10	median_max_abs_beta	median_pairs_tested
Replication	caudate	BA	shared	expression	abc	High-SNP	22	5	5	0.227272727272727	0.227272727272727	0.272450880918455	1.5
Replication	caudate	BA	shared	expression	abc	Low-SNP	26	1	1	0.0384615384615385	0.0384615384615385	0.213057600188503	1
Replication	caudate	WA	shared	expression	abc	High-SNP	22	5	5	0.227272727272727	0.227272727272727	0.272450880918455	1.5
Replication	caudate	WA	shared	expression	abc	Low-SNP	26	1	1	0.0384615384615385	0.0384615384615385	0.213057600188503	1
Replication	dlpfc	BA	shared	expression	abc	High-SNP	25	1	2	0.04	0.08	0.242181520807193	1
Replication	dlpfc	BA	shared	expression	abc	Low-SNP	4	0	0	0	0	0.123957607461712	1
Replication	dlpfc	WA	shared	expression	abc	High-SNP	25	1	2	0.04	0.08	0.242181520807193	1
Replication	dlpfc	WA	shared	expression	abc	Low-SNP	4	0	0	0	0	0.123957607461712	1
Replication	hippocampus	BA	shared	expression	abc	High-SNP	26	1	3	0.0384615384615385	0.115384615384615	0.236953962798701	1
Replication	hippocampus	BA	shared	expression	abc	Low-SNP	5	0	0	0	0	0.269576398870147	2
Replication	hippocampus	WA	shared	expression	abc	High-SNP	26	1	3	0.0384615384615385	0.115384615384615	0.236953962798701	1
Replication	hippocampus	WA	shared	expression	abc	Low-SNP	5	0	0	0	0	0.269576398870147	2
