cohort	tissue	population	vmr_set	modality	run_tag	bin_type	h2_bin	n_vmrs	n_any_fdr10	prop_any_fdr10	median_max_abs_beta	median_pairs_tested
Replication	caudate	BA	shared	expression_nearest_gene	nearest_gene_window_250kb	h2_quintile	Q1	1202	78	0.064891846921797	0.177732804521836	1
Replication	caudate	BA	shared	expression_nearest_gene	nearest_gene_window_250kb	h2_quintile	Q2	1201	78	0.0649458784346378	0.19746940685855	1
Replication	caudate	BA	shared	expression_nearest_gene	nearest_gene_window_250kb	h2_quintile	Q3	1201	83	0.0691090757701915	0.166204105827069	1
Replication	caudate	BA	shared	expression_nearest_gene	nearest_gene_window_250kb	h2_quintile	Q4	1201	144	0.119900083263947	0.174491971988981	1
Replication	caudate	BA	shared	expression_nearest_gene	nearest_gene_window_250kb	h2_quintile	Q5	1202	129	0.107321131447587	0.138705291151864	1
Replication	caudate	BA	shared	expression_nearest_gene	nearest_gene_window_250kb	h2_tertile	T1	2003	125	0.0624063904143784	0.183998052315935	1
Replication	caudate	BA	shared	expression_nearest_gene	nearest_gene_window_250kb	h2_tertile	T2	2002	146	0.0729270729270729	0.177922042463043	1
Replication	caudate	BA	shared	expression_nearest_gene	nearest_gene_window_250kb	h2_tertile	T3	2002	241	0.12037962037962	0.150636139086527	1
Replication	caudate	WA	shared	expression_nearest_gene	nearest_gene_window_250kb	h2_quintile	Q1	1202	71	0.0590682196339434	0.185671121382531	1
Replication	caudate	WA	shared	expression_nearest_gene	nearest_gene_window_250kb	h2_quintile	Q2	1201	86	0.0716069941715237	0.172334189225118	1
Replication	caudate	WA	shared	expression_nearest_gene	nearest_gene_window_250kb	h2_quintile	Q3	1201	84	0.0699417152373023	0.187504600604904	1
Replication	caudate	WA	shared	expression_nearest_gene	nearest_gene_window_250kb	h2_quintile	Q4	1201	138	0.114904246461282	0.16358837293027	1
Replication	caudate	WA	shared	expression_nearest_gene	nearest_gene_window_250kb	h2_quintile	Q5	1202	133	0.110648918469218	0.147140637288564	1
Replication	caudate	WA	shared	expression_nearest_gene	nearest_gene_window_250kb	h2_tertile	T1	2003	125	0.0624063904143784	0.180053165381867	1
Replication	caudate	WA	shared	expression_nearest_gene	nearest_gene_window_250kb	h2_tertile	T2	2002	150	0.0749250749250749	0.181476228562953	1
Replication	caudate	WA	shared	expression_nearest_gene	nearest_gene_window_250kb	h2_tertile	T3	2002	237	0.118381618381618	0.152053650390409	1
Replication	dlpfc	BA	shared	expression_nearest_gene	nearest_gene_window_250kb	h2_quintile	Q1	857	7	0.00816802800466745	0.113670637698211	1
Replication	dlpfc	BA	shared	expression_nearest_gene	nearest_gene_window_250kb	h2_quintile	Q2	857	9	0.0105017502917153	0.116555710823056	1
Replication	dlpfc	BA	shared	expression_nearest_gene	nearest_gene_window_250kb	h2_quintile	Q3	857	10	0.0116686114352392	0.115912339391134	1
Replication	dlpfc	BA	shared	expression_nearest_gene	nearest_gene_window_250kb	h2_quintile	Q4	857	11	0.0128354725787631	0.113377751403182	1
Replication	dlpfc	BA	shared	expression_nearest_gene	nearest_gene_window_250kb	h2_quintile	Q5	857	63	0.073512252042007	0.135453895138847	1
Replication	dlpfc	BA	shared	expression_nearest_gene	nearest_gene_window_250kb	h2_tertile	T1	1429	14	0.00979706088173548	0.117309490750955	1
Replication	dlpfc	BA	shared	expression_nearest_gene	nearest_gene_window_250kb	h2_tertile	T2	1428	16	0.0112044817927171	0.111146471560012	1
Replication	dlpfc	BA	shared	expression_nearest_gene	nearest_gene_window_250kb	h2_tertile	T3	1428	70	0.0490196078431373	0.128014311557323	1
Replication	dlpfc	WA	shared	expression_nearest_gene	nearest_gene_window_250kb	h2_quintile	Q1	857	9	0.0105017502917153	0.109953497181044	1
Replication	dlpfc	WA	shared	expression_nearest_gene	nearest_gene_window_250kb	h2_quintile	Q2	857	17	0.0198366394399067	0.117533891790346	1
Replication	dlpfc	WA	shared	expression_nearest_gene	nearest_gene_window_250kb	h2_quintile	Q3	857	13	0.015169194865811	0.123820980342388	1
Replication	dlpfc	WA	shared	expression_nearest_gene	nearest_gene_window_250kb	h2_quintile	Q4	857	12	0.014002333722287	0.113846494187146	1
Replication	dlpfc	WA	shared	expression_nearest_gene	nearest_gene_window_250kb	h2_quintile	Q5	857	49	0.0571761960326721	0.125764209384897	1
Replication	dlpfc	WA	shared	expression_nearest_gene	nearest_gene_window_250kb	h2_tertile	T1	1429	23	0.0160951714485654	0.115536127370023	1
Replication	dlpfc	WA	shared	expression_nearest_gene	nearest_gene_window_250kb	h2_tertile	T2	1428	20	0.0140056022408964	0.119067409360902	1
Replication	dlpfc	WA	shared	expression_nearest_gene	nearest_gene_window_250kb	h2_tertile	T3	1428	57	0.0399159663865546	0.122339151268622	1
Replication	hippocampus	BA	shared	expression_nearest_gene	nearest_gene_window_250kb	h2_quintile	Q1	827	11	0.0133010882708585	0.207340612449247	1
Replication	hippocampus	BA	shared	expression_nearest_gene	nearest_gene_window_250kb	h2_quintile	Q2	827	15	0.0181378476420798	0.177093616450768	1
Replication	hippocampus	BA	shared	expression_nearest_gene	nearest_gene_window_250kb	h2_quintile	Q3	827	14	0.0169286577992745	0.188412061336521	1
Replication	hippocampus	BA	shared	expression_nearest_gene	nearest_gene_window_250kb	h2_quintile	Q4	827	32	0.0386940749697703	0.199911431846161	1
Replication	hippocampus	BA	shared	expression_nearest_gene	nearest_gene_window_250kb	h2_quintile	Q5	827	52	0.0628778718258767	0.203486254288165	1
Replication	hippocampus	BA	shared	expression_nearest_gene	nearest_gene_window_250kb	h2_tertile	T1	1379	20	0.0145032632342277	0.187812028499554	1
Replication	hippocampus	BA	shared	expression_nearest_gene	nearest_gene_window_250kb	h2_tertile	T2	1378	29	0.021044992743106	0.188412061336521	1
Replication	hippocampus	BA	shared	expression_nearest_gene	nearest_gene_window_250kb	h2_tertile	T3	1378	75	0.0544267053701016	0.201129663710395	1
Replication	hippocampus	WA	shared	expression_nearest_gene	nearest_gene_window_250kb	h2_quintile	Q1	827	14	0.0169286577992745	0.197939727915947	1
Replication	hippocampus	WA	shared	expression_nearest_gene	nearest_gene_window_250kb	h2_quintile	Q2	827	14	0.0169286577992745	0.180093475685359	1
Replication	hippocampus	WA	shared	expression_nearest_gene	nearest_gene_window_250kb	h2_quintile	Q3	827	19	0.0229746070133011	0.186714335817309	1
Replication	hippocampus	WA	shared	expression_nearest_gene	nearest_gene_window_250kb	h2_quintile	Q4	827	27	0.0326481257557437	0.185612144176575	1
Replication	hippocampus	WA	shared	expression_nearest_gene	nearest_gene_window_250kb	h2_quintile	Q5	827	50	0.060459492140266	0.216388406176003	1
Replication	hippocampus	WA	shared	expression_nearest_gene	nearest_gene_window_250kb	h2_tertile	T1	1379	22	0.0159535895576505	0.187433523920019	1
Replication	hippocampus	WA	shared	expression_nearest_gene	nearest_gene_window_250kb	h2_tertile	T2	1378	33	0.0239477503628447	0.192125994431263	1
Replication	hippocampus	WA	shared	expression_nearest_gene	nearest_gene_window_250kb	h2_tertile	T3	1378	69	0.0500725689404935	0.198407403086242	1
