tissue	comparison	annotation	or	ci_lo	ci_hi	p_value	n_heritable	n_nonher	n_in_her	n_in_nonher	fdr
Caudate	All_VMRs	any_repeat	0.332034140319571	0.300372666482222	0.36687834228293	6.45434432618123e-111	3488	3706	2547	1754	2.06539018437799e-109
Caudate	Intergenic_VMRs	any_repeat	0.238498524674923	0.189341324760098	0.299779105838403	1.35905454150822e-37	1064	612	875	321	1.3046923598479e-36
Caudate	All_VMRs	LINE	0.255027404219306	0.225796092554797	0.287716383689972	6.17959858306512e-123	3488	3706	1254	464	2.96620731987126e-121
Caudate	Intergenic_VMRs	LINE	0.164290432204889	0.125346100301977	0.213534856271945	2.05549243864073e-52	1064	612	531	86	2.19252526788344e-51
Caudate	All_VMRs	SINE	0.443989353837343	0.3990931747843	0.493760957896244	2.91381990669865e-53	3488	3706	1294	769	3.99609587204387e-52
Caudate	Intergenic_VMRs	SINE	0.488022424903592	0.385404250470632	0.615746960079518	2.99332299509638e-10	1064	612	393	136	1.43679503764626e-09
Caudate	All_VMRs	LTR	0.238238343267217	0.203243530703037	0.278482796093596	4.4779056737029e-86	3488	3706	772	235	8.59757889350956e-85
Caudate	Intergenic_VMRs	LTR	0.251840177472274	0.18724389969586	0.335171383460852	7.22549434968233e-26	1064	612	357	69	5.78039547974587e-25
Caudate	All_VMRs	DNA	0.445642573054866	0.371308500516375	0.533577604429343	4.29950787718648e-20	3488	3706	394	199	2.94823397292788e-19
Caudate	Intergenic_VMRs	DNA	0.373516405880177	0.242412442792805	0.560960277157034	2.13966629764774e-07	1064	612	137	32	8.28786365900408e-07
Caudate	All_VMRs	Satellite	0.626690154567658	0.221905474405053	1.66960583893104	0.372355735459374	3488	3706	12	8	0.510659294344285
Caudate	Intergenic_VMRs	Satellite	0.247289980488952	0.00547881314229136	1.93217746950413	0.271102667036006	1064	612	7	1	0.40039778516087
Caudate	All_VMRs	Simple_repeat	0.640133746049962	0.562770605898776	0.727766543500766	3.7694991695997e-12	3488	3706	677	495	2.12865835459748e-11
Caudate	Intergenic_VMRs	Simple_repeat	0.469564391351841	0.349554235541327	0.625472305314321	4.8633591423524e-08	1064	612	244	75	2.12219308029923e-07
Caudate	All_VMRs	Low_complexity	0.900028950293876	0.690728035106879	1.17228183119407	0.433759286489464	3488	3706	124	119	0.586491429619558
Caudate	Intergenic_VMRs	Low_complexity	0.887951947516061	0.485821868356286	1.57685771357308	0.783330351560709	1064	612	39	20	0.928391527775655
Caudate	All_VMRs	L1	0.157964304959634	0.134587164869276	0.184797148856183	5.72549577073942e-152	3488	3706	989	218	5.49647593990984e-150
Caudate	Intergenic_VMRs	L1	0.124631705065963	0.089885435117134	0.170115249816271	1.10921095892593e-55	1064	612	460	53	1.77473753428149e-54
Caudate	All_VMRs	Alu	0.286187108528139	0.250361111986349	0.326641828153568	2.64615967602444e-86	3488	3706	968	367	6.35078322245866e-85
Caudate	Intergenic_VMRs	Alu	0.318266228127329	0.234633988554108	0.427081012349142	8.78974433824564e-17	1064	612	293	66	5.27384660294738e-16
Caudate	All_VMRs	MIR	0.893910621945588	0.775921848845614	1.02977643507908	0.11861362499357	3488	3706	464	447	0.21897899998813
Caudate	Intergenic_VMRs	MIR	0.972045630901847	0.712161517260622	1.31977980700007	0.88008870754624	1064	612	139	78	1
Caudate	All_VMRs	ERV1	0.293112845895153	0.231007623515892	0.369464932591236	1.0944902792672e-29	3488	3706	310	103	9.55191516451377e-29
Caudate	Intergenic_VMRs	ERV1	0.370411276678842	0.240446609474098	0.556130445733722	2.15829782786565e-07	1064	612	138	32	8.28786365900408e-07
Caudate	All_VMRs	ERVL	0.21841278995609	0.148554099368792	0.313992267124052	6.39941411534444e-21	3488	3706	158	38	4.72572119286974e-20
Caudate	Intergenic_VMRs	ERVL	0.222383436558157	0.101615823199539	0.436670199321328	3.17852451920369e-07	1064	612	74	10	1.17360905324444e-06
Caudate	All_VMRs	ERVL_MaLR	0.186500455788703	0.143911171154079	0.239328996848029	1.97271826360645e-52	3488	3706	369	80	2.19252526788344e-51
Caudate	Intergenic_VMRs	ERVL_MaLR	0.180929071307633	0.110564294812161	0.283842513070373	4.01035390524773e-19	1064	612	189	23	2.56662649935855e-18
Caudate	All_VMRs	ERVK	0.41843162055549	0.22103238796456	0.761164049874396	0.00259656985934915	3488	3706	38	17	0.00607977332920776
Caudate	Intergenic_VMRs	ERVK	0.431107748695621	0.10439754393294	1.34455109960931	0.161507109129833	1064	612	16	4	0.275494430750603
Caudate	All_VMRs	SVA	0.521635071445824	0.214804455852953	1.19382673400834	0.128326256638446	3488	3706	18	10	0.228135567357237
Caudate	Intergenic_VMRs	SVA	1.04330091389483	0.161457776596746	5.38330610097089	1	1064	612	5	3	1
DLPFC	All_VMRs	any_repeat	0.725744269599599	0.615354243441939	0.856167579400083	0.000114234258675757	4264	690	2608	368	0.000353757704286216
DLPFC	Intergenic_VMRs	any_repeat	0.422997729119455	0.273237927582883	0.653917157503549	5.76271563468585e-05	715	105	494	51	0.000190765758941325
DLPFC	All_VMRs	LINE	0.810209297127656	0.64663425873357	1.00854554906971	0.0589929753649699	4264	690	823	112	0.115578074184431
DLPFC	Intergenic_VMRs	LINE	0.673934889193087	0.370630779724634	1.16846638485437	0.170011961333627	715	105	168	18	0.276629632000478
DLPFC	All_VMRs	SINE	0.649321272038263	0.53658874224905	0.782900498874532	3.12055658805031e-06	4264	690	1428	170	1.10953123130678e-05
DLPFC	Intergenic_VMRs	SINE	0.474072769953263	0.272152085495415	0.794464331948385	0.00258419482464771	715	105	247	21	0.00607977332920776
DLPFC	All_VMRs	LTR	0.65485869520199	0.47614311956032	0.885277195755129	0.00497109949515545	4264	690	472	52	0.0110982686403471
