tissue	h2_quintile	annotation	n_vmrs	n_overlap	frac	ci_lo	ci_hi	annotation_label
Caudate	Q1	in_DNA	336	17	0.0505952380952381	0.0312969799925727	0.0800533506940075	DNA transposon
Caudate	Q1	in_LINE	336	43	0.12797619047619	0.0961725492635255	0.168190307265101	LINE
Caudate	Q1	in_LTR	336	31	0.0922619047619048	0.0654236884863327	0.128318002269041	LTR
Caudate	Q1	in_SINE	336	84	0.25	0.206616383749679	0.299035455837558	SINE
Caudate	Q1	in_any_repeat	336	174	0.517857142857143	0.46452906127859	0.570781521608036	Any repeat
Caudate	Q2	in_DNA	335	18	0.0537313432835821	0.033744195561341	0.0838372213035214	DNA transposon
Caudate	Q2	in_LINE	335	58	0.173134328358209	0.136216060706717	0.217463973719386	LINE
Caudate	Q2	in_LTR	335	49	0.146268656716418	0.112230465524864	0.18832737994996	LTR
Caudate	Q2	in_SINE	335	70	0.208955223880597	0.168716509612222	0.255793110082254	SINE
Caudate	Q2	in_any_repeat	335	184	0.549253731343284	0.4957106539313	0.601680025812712	Any repeat
Caudate	Q3	in_DNA	335	33	0.0985074626865672	0.0706867848062598	0.135431613644068	DNA transposon
Caudate	Q3	in_LINE	335	94	0.280597014925373	0.235117478607443	0.331051311623777	LINE
Caudate	Q3	in_LTR	335	74	0.22089552238806	0.17966353277575	0.26845594867485	LTR
Caudate	Q3	in_SINE	335	92	0.274626865671642	0.229522726480023	0.324841132873135	SINE
Caudate	Q3	in_any_repeat	335	220	0.656716417910448	0.604322534930105	0.705556900619023	Any repeat
Caudate	Q4	in_DNA	335	43	0.128358208955224	0.0964644949151399	0.168678557925498	DNA transposon
Caudate	Q4	in_LINE	335	180	0.537313432835821	0.483797743413357	0.589983074574531	LINE
Caudate	Q4	in_LTR	335	118	0.352238805970149	0.30299920282865	0.404828757939314	LTR
Caudate	Q4	in_SINE	335	141	0.42089552238806	0.369209850762537	0.47437481510314	SINE
Caudate	Q4	in_any_repeat	335	293	0.874626865671642	0.834616149978304	0.906143262620089	Any repeat
Caudate	Q5	in_DNA	335	58	0.173134328358209	0.136216060706717	0.217463973719386	DNA transposon
Caudate	Q5	in_LINE	335	242	0.722388059701493	0.672052497627601	0.76768117758021	LINE
Caudate	Q5	in_LTR	335	154	0.459701492537313	0.40708987593535	0.513226840637731	LTR
Caudate	Q5	in_SINE	335	142	0.423880597014925	0.372112281514715	0.477374849789994	SINE
Caudate	Q5	in_any_repeat	335	325	0.970149253731343	0.945202454636695	0.984435852010691	Any repeat
DLPFC	Q1	in_DNA	164	11	0.0670731707317073	0.0366546035094638	0.117308898728089	DNA transposon
DLPFC	Q1	in_LINE	164	32	0.195121951219512	0.141348504982945	0.26285114448012	LINE
DLPFC	Q1	in_LTR	164	19	0.115853658536585	0.0746734983601362	0.174618059963326	LTR
DLPFC	Q1	in_SINE	164	39	0.237804878048781	0.178847170126	0.308764528412237	SINE
DLPFC	Q1	in_any_repeat	164	89	0.542682926829268	0.466326676804568	0.617085372270603	Any repeat
DLPFC	Q2	in_DNA	164	12	0.0731707317073171	0.0412164426789057	0.124663066569386	DNA transposon
DLPFC	Q2	in_LINE	164	29	0.176829268292683	0.125577073739499	0.242874554691351	LINE
DLPFC	Q2	in_LTR	164	26	0.158536585365854	0.110013517366277	0.222690090032356	LTR
DLPFC	Q2	in_SINE	164	64	0.390243902439024	0.318873453272234	0.466638420534469	SINE
DLPFC	Q2	in_any_repeat	164	110	0.670731707317073	0.595515663609759	0.738132532690924	Any repeat
DLPFC	Q3	in_DNA	164	11	0.0670731707317073	0.0366546035094638	0.117308898728089	DNA transposon
DLPFC	Q3	in_LINE	164	36	0.219512195121951	0.162664904689176	0.289198772816845	LINE
DLPFC	Q3	in_LTR	164	36	0.219512195121951	0.162664904689176	0.289198772816845	LTR
DLPFC	Q3	in_SINE	164	49	0.298780487804878	0.233836660327631	0.372935108317992	SINE
DLPFC	Q3	in_any_repeat	164	103	0.628048780487805	0.551881714179474	0.698354433046039	Any repeat
DLPFC	Q4	in_DNA	164	15	0.0914634146341463	0.0552643074557565	0.146363222824751	DNA transposon
DLPFC	Q4	in_LINE	164	32	0.195121951219512	0.141348504982945	0.26285114448012	LINE
DLPFC	Q4	in_LTR	164	36	0.219512195121951	0.162664904689176	0.289198772816845	LTR
DLPFC	Q4	in_SINE	164	56	0.341463414634146	0.273170856304509	0.417012961416285	SINE
DLPFC	Q4	in_any_repeat	164	110	0.670731707317073	0.595515663609759	0.738132532690924	Any repeat
DLPFC	Q5	in_DNA	164	21	0.128048780487805	0.0846126063460597	0.18851096599888	DNA transposon
DLPFC	Q5	in_LINE	164	57	0.347560975609756	0.27884137462478	0.423258450106753	LINE
DLPFC	Q5	in_LTR	164	59	0.359756097560976	0.290219315013469	0.435712523739541	LTR
DLPFC	Q5	in_SINE	164	60	0.365853658536585	0.29592646506266	0.441921380701089	SINE
DLPFC	Q5	in_any_repeat	164	133	0.810975609756098	0.743786013333616	0.863930344214057	Any repeat
Hippocampus	Q1	in_DNA	219	16	0.0730593607305936	0.0447145300951322	0.116123848052147	DNA transposon
Hippocampus	Q1	in_LINE	219	44	0.200913242009132	0.152962536656106	0.259175578516586	LINE
Hippocampus	Q1	in_LTR	219	32	0.146118721461187	0.10505339053772	0.199384837338367	LTR
Hippocampus	Q1	in_SINE	219	76	0.34703196347032	0.287058596181309	0.412279218448999	SINE
Hippocampus	Q1	in_any_repeat	219	141	0.643835616438356	0.578386429784749	0.704325774368841	Any repeat
Hippocampus	Q2	in_DNA	219	20	0.091324200913242	0.0592676201090653	0.137470720470416	DNA transposon
Hippocampus	Q2	in_LINE	219	49	0.223744292237443	0.173379385167789	0.283633683045156	LINE
Hippocampus	Q2	in_LTR	219	40	0.182648401826484	0.136807816051571	0.23943033668892	LTR
Hippocampus	Q2	in_SINE	219	92	0.420091324200913	0.356635818891498	0.486301845467618	SINE
Hippocampus	Q2	in_any_repeat	219	154	0.703196347031963	0.639508804512646	0.7598782775456	Any repeat
Hippocampus	Q3	in_DNA	218	14	0.0642201834862385	0.0378025068871733	0.105729991456296	DNA transposon
Hippocampus	Q3	in_LINE	218	44	0.201834862385321	0.153683266104416	0.2603126538148	LINE
Hippocampus	Q3	in_LTR	218	48	0.220183486238532	0.170076209081479	0.279981500381169	LTR
Hippocampus	Q3	in_SINE	218	87	0.399082568807339	0.336341636207448	0.465318521303671	SINE
Hippocampus	Q3	in_any_repeat	218	156	0.715596330275229	0.652266005982965	0.771460021152371	Any repeat
Hippocampus	Q4	in_DNA	218	23	0.105504587155963	0.0707820227041417	0.153889502112052	DNA transposon
Hippocampus	Q4	in_LINE	218	63	0.288990825688073	0.232773797710509	0.352515622540013	LINE
Hippocampus	Q4	in_LTR	218	61	0.279816513761468	0.224313356308402	0.342945169170404	LTR
Hippocampus	Q4	in_SINE	218	84	0.385321100917431	0.323204277667947	0.451409537685598	SINE
Hippocampus	Q4	in_any_repeat	218	167	0.76605504587156	0.705364048259719	0.817531900120057	Any repeat
Hippocampus	Q5	in_DNA	218	41	0.188073394495413	0.141493397593849	0.245456180167792	DNA transposon
Hippocampus	Q5	in_LINE	218	103	0.472477064220184	0.407254404959064	0.538652910725787	LINE
Hippocampus	Q5	in_LTR	218	96	0.440366972477064	0.376057456664218	0.506741727319626	LTR
Hippocampus	Q5	in_SINE	218	95	0.435779816513761	0.371622469115798	0.502161267482187	SINE
Hippocampus	Q5	in_any_repeat	218	196	0.89908256880734	0.851357236451606	0.932986686118059	Any repeat
