env	term	statistic	p_value	location_shift	ci_lo	ci_hi	median_neg_log10p_heritable	median_neg_log10p_nonheritable	n_heritable_features	n_nonheritable_features	fdr	cohort	tissue	population	modality	run_tag
smoking	env_valueTRUE	998	0.567082424398859	-0.0434356449367218	-0.223515584694465	0.101473477926113	0.354265173837672	0.350193843709187	83	26	0.779738333548432	BA_only	dlpfc	AA	expression	nearest_gene_window_250kb
codeine	env_valueTRUE	1418	0.0160960987716261	0.133332727579068	0.0170464580880225	0.2678275875678	0.334808366125522	0.137446278706309	83	26	0.0885285432439436	BA_only	dlpfc	AA	expression	nearest_gene_window_250kb
morphine	env_valueTRUE	1303	0.112042063201118	0.0996335470795708	-0.0168136036600028	0.228835495779673	0.340368494619658	0.2398366517263	83	26	0.401358810042947	BA_only	dlpfc	AA	expression	nearest_gene_window_250kb
cocaine	env_valueTRUE	1136	0.687894492347309	0.0263471020892346	-0.0821281337783688	0.172371692854153	0.310054618956809	0.308562232542567	83	26	0.840759935091155	BA_only	dlpfc	AA	expression	nearest_gene_window_250kb
ethanol	env_valueTRUE	1186	0.448922151693847	0.0417363941781727	-0.0607389330102045	0.148127831213783	0.262277295411893	0.14927504987129	83	26	0.779738333548432	BA_only	dlpfc	AA	expression	nearest_gene_window_250kb
nicotine	env_valueTRUE	985	0.506189036882057	-0.0455324365877589	-0.195378085253453	0.0915825883779249	0.361212704985892	0.437637100131967	83	26	0.779738333548432	BA_only	dlpfc	AA	expression	nearest_gene_window_250kb
amphetamines	env_valueTRUE	1081	0.991490742855292	0.00108775747192939	-0.0756015502480236	0.105341692218639	0.260705856576428	0.189887722918862	83	26	0.991490742855292	BA_only	dlpfc	AA	expression	nearest_gene_window_250kb
education	env_valueless_than_hs	1457	0.00727430657320606	0.124258779799899	0.0302449213907528	0.233862357059016	0.313446136636264	0.15428056485201	83	26	0.0800173723052667	BA_only	dlpfc	AA	expression	nearest_gene_window_250kb
education	env_valuemore_than_hs	1167	0.533860657335328	0.0329192598299405	-0.0763711636792506	0.160626338986853	0.304108086957622	0.27681379103633	83	26	0.779738333548432	BA_only	dlpfc	AA	expression	nearest_gene_window_250kb
marital_status	env_valuepreviously_married	1284	0.145948658197435	0.073820156818679	-0.0392089546449285	0.23141829824725	0.365374331637745	0.164650795308053	83	26	0.401358810042947	BA_only	dlpfc	AA	expression	nearest_gene_window_250kb
marital_status	env_valuesingle	1060	0.895352350355929	-0.00803540040364984	-0.125404255101869	0.10220464147298	0.256597729730899	0.263730843357954	83	26	0.984887585391522	BA_only	dlpfc	AA	expression	nearest_gene_window_250kb
