env	term	statistic	p_value	location_shift	ci_lo	ci_hi	median_vmr_score_heritable	median_vmr_score_nonheritable	n_heritable_vmrs	n_nonheritable_vmrs	fdr	cohort	tissue	population	modality	run_tag
smoking	env_valueTRUE	1065	0.540671556490865	-0.0469357944460591	-0.225806928381709	0.0958857482687967	0.363827258201444	0.350193843709187	89	26	0.849626731628502	BA_only	dlpfc	AA	expression	nearest_gene_window_250kb
codeine	env_valueTRUE	1537	0.0111661282297647	0.141558534046265	0.0262007543525801	0.28167860113205	0.347156154380232	0.137446278706309	89	26	0.0614137052637057	BA_only	dlpfc	AA	expression	nearest_gene_window_250kb
morphine	env_valueTRUE	1408	0.0939495756993357	0.104577957070912	-0.0130622325966294	0.232434746355657	0.340368494619658	0.2398366517263	89	26	0.258361333173173	BA_only	dlpfc	AA	expression	nearest_gene_window_250kb
cocaine	env_valueTRUE	1195	0.802017609762596	0.0181719523600998	-0.0897435333513227	0.153223920817065	0.270356808934237	0.308562232542567	89	26	0.96000495993051	BA_only	dlpfc	AA	expression	nearest_gene_window_250kb
ethanol	env_valueTRUE	1275	0.432077273525639	0.0444002372607763	-0.0608264744323899	0.1555958622069	0.265630676968544	0.14927504987129	89	26	0.792141668130339	BA_only	dlpfc	AA	expression	nearest_gene_window_250kb
nicotine	env_valueTRUE	1027	0.386557213036807	-0.0564110782286053	-0.204644002434956	0.0789071580248899	0.354865861291138	0.437637100131967	89	26	0.792141668130339	BA_only	dlpfc	AA	expression	nearest_gene_window_250kb
amphetamines	env_valueTRUE	1165	0.96000495993051	0.00184056165773901	-0.0745833169673474	0.105428179659398	0.260705856576428	0.189887722918862	89	26	0.96000495993051	BA_only	dlpfc	AA	expression	nearest_gene_window_250kb
education	env_valueless_than_hs	1550	0.00868072656645867	0.11654134922286	0.0275693390514585	0.213623318000764	0.299451876106088	0.15428056485201	89	26	0.0614137052637057	BA_only	dlpfc	AA	expression	nearest_gene_window_250kb
education	env_valuemore_than_hs	1214	0.705596429510709	0.0203428343375883	-0.0915260130618915	0.135621540241972	0.28031970916368	0.27681379103633	89	26	0.96000495993051	BA_only	dlpfc	AA	expression	nearest_gene_window_250kb
marital_status	env_valuepreviously_married	1421	0.0780956769630375	0.0945931829282099	-0.0166982985332313	0.259260276599658	0.380216282670399	0.164650795308053	89	26	0.258361333173173	BA_only	dlpfc	AA	expression	nearest_gene_window_250kb
marital_status	env_valuesingle	1139	0.906851728872159	-0.00803392366139574	-0.120628564092037	0.108449027561775	0.256597729730899	0.263730843357954	89	26	0.96000495993051	BA_only	dlpfc	AA	expression	nearest_gene_window_250kb
