"tissue","n","mean_h2","sd_h2","median_h2"
"caudate",11457,0.155638222736971,0.173316228085001,0.0904428533418418
"dlpfc",9590,0.121556966291725,0.0908070923190839,0.101010853542434
"hippocampus",9287,0.138488097674805,0.12367644211022,0.101611351440127
