"h2_category","n","mean_h2","median_h2"
"Heritable",4867,0.276646102014765,0.161493021543533
"Non-heritable",6443,0.0662363522129066,0.0677779760141483
"Low prediction",147,0.0676851842439562,0.0571467763062027
