"h2_category","n","mean_h2","median_h2"
"Heritable",4327,0.20790556198306,0.141376343880244
"Low prediction",44,0.0904163948799383,0.0758064303036969
"Non-heritable",638,0.0715720622850707,0.0745965556942039
