"tissue","n","mean_h2","sd_h2","median_h2"
"caudate",7304,0.193230956515043,0.205248148768698,0.0967592037287845
"dlpfc",4982,0.157551451774755,0.110062014274305,0.124714545990232
"hippocampus",5009,0.189508617251606,0.148261605963267,0.132059088294595
