Tissue	h2_Category	OR	PValue	FDR	Test	Env
Caudate	Heritable	0.8930044129349635	0.10668198440440564	0.14668772855605774	Logit	smoking
Caudate	Heritable	1.6015116708259651	1.9607075988078098e-05	0.0001617583769016443	Logit	codeine
Caudate	Heritable	1.4852157427341628	0.0007113440321792785	0.0021340320965378356	Logit	morphine
Caudate	Heritable	1.4701610123590527	0.0017580364135474464	0.004462707819005056	Logit	cocaine
Caudate	Heritable	0.9405462341506593	0.45671465010215573	0.5023861151123713	Logit	ethanol
Caudate	Heritable	0.7691168938850037	7.061408119962744e-05	0.00037860273145445594	Logit	nicotine
Caudate	Heritable	1.2188432835820895	0.0460771716754599	0.07602733326450883	Logit	amphetamines
Caudate	Heritable	1.250668193967163	0.030469671967791764	0.0558610652742849	Logit	less_than_hs
Caudate	Heritable	1.0813084629434881	0.432630010660193	0.5014472747645055	Logit	more_than_hs
Caudate	Heritable	1.186664417833249	0.08240447110331367	0.1236067066549705	Logit	single
Caudate	Heritable	1.8480689515721362	4.81495447519604e-07	8.597688658270831e-06	Logit	previously_married
Caudate	Heritable	0.9296330198077446	0.3029253929176801	0.39986151865133773	DMR	smoking
Caudate	Heritable	1.7238092622095258	5.210720398952019e-07	8.597688658270831e-06	DMR	codeine
Caudate	Heritable	1.4859341825902335	0.0006412408093396378	0.0021160946708208045	DMR	morphine
Caudate	Heritable	1.6300803982911158	5.837962738477508e-05	0.00037860273145445594	DMR	cocaine
Caudate	Heritable	0.9675974313647058	0.6945719482254253	0.6945719482254253	DMR	ethanol
Caudate	Heritable	0.7858837160781168	0.0002785918678816112	0.0011491914550116461	DMR	nicotine
Caudate	Heritable	1.226267322457083	0.03862245681576355	0.06708110920632616	DMR	amphetamines
Caudate	Heritable	0.774708955348171	0.3744907804419607	0.4577109538735075	DMR	less_than_hs
Caudate	Heritable	0.774708955348171	0.3744907804419607	0.4577109538735075	DMR	more_than_hs
Caudate	Heritable	2.2095565567939293	0.007763392195907097	0.01507011426264319	DMR	single
Caudate	Heritable	2.2095565567939293	0.007763392195907097	0.01507011426264319	DMR	previously_married
Caudate	Heritable	0.8896725174066132	0.10217092285616351	0.1465930632284085	Both	smoking
Caudate	Heritable	1.6342547500222668	1.404019267276475e-05	0.00015444211940041224	Both	codeine
Caudate	Heritable	1.4943063510599517	0.0008694042453084134	0.0023908616745981367	Both	morphine
Caudate	Heritable	1.550588768115942	0.00046237853948318246	0.0016953879781050024	Both	cocaine
Caudate	Heritable	0.9510038957147138	0.5503448131712039	0.5858509301499912	Both	ethanol
Caudate	Heritable	0.7670943381726838	8.030967030852096e-05	0.00037860273145445594	Both	nicotine
Caudate	Heritable	1.2030348846474304	0.06788208276074056	0.1066718443383066	Both	amphetamines
Caudate	Heritable	0.8389281507656066	0.6008318726516547	0.6196078686720189	Both	less_than_hs
Caudate	Heritable	0.797767818667586	0.44066578691426234	0.5014472747645055	Both	more_than_hs
Caudate	Heritable	2.280189524907158	0.004899994519378415	0.010779987942632513	Both	single
Caudate	Heritable	2.280189524907158	0.004899994519378415	0.010779987942632513	Both	previously_married
Caudate	Non-heritable	1.1947447774846836	0.00882671988587204	0.024273479686148108	Logit	smoking
Caudate	Non-heritable	0.6480231596512805	0.000157596329377154	0.0008667798115743469	Logit	codeine
Caudate	Non-heritable	0.759330843580923	0.022040375681750733	0.04545827484361089	Logit	morphine
Caudate	Non-heritable	0.7274814860763843	0.01320547095051356	0.031040412300136766	Logit	cocaine
Caudate	Non-heritable	1.0570942556810747	0.48495490157384635	0.5518452328254114	Logit	ethanol
Caudate	Non-heritable	1.3128525157759536	2.0667891738303964e-05	0.0002273468091213436	Logit	nicotine
Caudate	Non-heritable	0.918051915025173	0.4013804751198592	0.49057613625760566	Logit	amphetamines
Caudate	Non-heritable	0.8751583391977481	0.20254092902694104	0.3038113935404116	Logit	less_than_hs
Caudate	Non-heritable	0.9523913782285893	0.6273172391788477	0.6561012439393777	Logit	more_than_hs
Caudate	Non-heritable	0.7242013413139107	0.0013787500453767104	0.005277169767463419	Logit	single
Caudate	Non-heritable	0.6655995198967598	0.0014392281183991142	0.005277169767463419	Logit	previously_married
Caudate	Non-heritable	1.1490959448160536	0.041246158924385934	0.08006607320616094	DMR	smoking
Caudate	Non-heritable	0.5986761343121916	6.036434252695334e-06	0.00019920233033894602	DMR	codeine
Caudate	Non-heritable	0.7147570922487122	0.005185035289826969	0.016629292030649608	DMR	morphine
Caudate	Non-heritable	0.6511689407227883	0.0007644210499044225	0.0036036992352637062	DMR	cocaine
Caudate	Non-heritable	1.0058590190297507	0.9380281639972026	0.9380281639972026	DMR	ethanol
Caudate	Non-heritable	1.2986469080129845	4.449761492966592e-05	0.00036710532316974384	DMR	nicotine
Caudate	Non-heritable	0.90120872816793	0.30600364587938633	0.39474212476519877	DMR	amphetamines
Caudate	Non-heritable	1.3584364686468646	0.258184638635374	0.35500387812363926	DMR	less_than_hs
Caudate	Non-heritable	1.3584364686468646	0.258184638635374	0.35500387812363926	DMR	more_than_hs
Caudate	Non-heritable	0.5744932625873191	0.0826827944913249	0.12993010562922486	DMR	single
Caudate	Non-heritable	0.5744932625873191	0.0826827944913249	0.12993010562922486	DMR	previously_married
Caudate	Non-heritable	1.186809719869506	0.013117496904444031	0.031040412300136766	Both	smoking
Caudate	Non-heritable	0.6270222190496227	7.545356788324256e-05	0.0004979935480294009	Both	codeine
Caudate	Non-heritable	0.7370461104772132	0.014109278318243984	0.031040412300136766	Both	morphine
Caudate	Non-heritable	0.6937749458509134	0.0055430973435498685	0.016629292030649608	Both	cocaine
Caudate	Non-heritable	1.0378259863822425	0.636219388062427	0.6561012439393777	Both	ethanol
Caudate	Non-heritable	1.3173708253107432	2.010872083440259e-05	0.0002273468091213436	Both	nicotine
Caudate	Non-heritable	0.9288919563025994	0.48211549923925945	0.5518452328254114	Both	amphetamines
Caudate	Non-heritable	1.2063948975367418	0.5171944420071152	0.5689138862078267	Both	less_than_hs
Caudate	Non-heritable	1.2901286498239801	0.31100894678470203	0.39474212476519877	Both	more_than_hs
Caudate	Non-heritable	0.5462722439367823	0.05789620732616479	0.1005565706191283	Both	single
Caudate	Non-heritable	0.5462722439367823	0.05789620732616479	0.1005565706191283	Both	previously_married
Caudate	Low prediction	0.8819414634484624	0.19263483433068623	0.697668870364495	Logit	smoking
