cohort	tissue	population	modality	run_tag	h2_category	n_vmrs	n_any_fdr05	n_any_fdr10	prop_any_fdr05	prop_any_fdr10	median_max_abs_beta	median_pairs_tested
BA_only	caudate	AA	expression	abc	Heritable	34	2	2	0.0588235294117647	0.0588235294117647	0.390441999423628	1
BA_only	caudate	AA	expression	abc	Non-heritable	50	1	1	0.02	0.02	0.43403778868223	1.5
