spearman_rho	spearman_p_value	spearman_FDR	n	h2_category	tissue1	tissue2
0.284301597734382	1.58080687903108e-17	1.58080687903108e-17	922	all_vmr	caudate	dlpfc
0.391229616646704	3.69736465821923e-37	3.69736465821923e-37	999	all_vmr	caudate	hippocampus
0.394799636483726	2.18835026247277e-122	2.18835026247277e-122	3629	all_vmr	hippocampus	dlpfc
0.74658724222787	0		178	heritable	caudate	dlpfc
0.713303129598919	0		253	heritable	caudate	hippocampus
0.680248230833814	2.97263723078794e-141		1033	heritable	hippocampus	dlpfc
0.381987705044681	0.000471557164331055		80	low_prediction	caudate	dlpfc
0.0440153568202349	0.695857518995179		81	low_prediction	caudate	hippocampus
0.374098166464498	5.74029056582103e-12		317	low_prediction	hippocampus	dlpfc
-0.0159393238706802	0.820405383302081		205	non-heritable	caudate	dlpfc
0.0687383142892561	0.309021501409887		221	non-heritable	caudate	hippocampus
0.00347979087014653	0.932725222660505		591	non-heritable	hippocampus	dlpfc
