Disorder	BrainRegion	h2Metric	Category	Prop._SNPs	Prop._h2	Prop._h2_std_error	Enrichment	Enrichment_std_error	Enrichment_p	Coefficient	Coefficient_std_error	Coefficient_z-score
ad	caudate	heritable	baseL2_0	1.0	1.0000000000000162	0.0	1.0000000000000162	0.0		-1.9132845684783518e-09	9.872012122312966e-10	-1.9380897680969196
ad	caudate	heritable	Coding_UCSCL2_0	0.0142591398753161	0.1956490669771199	0.0609481314607421	13.720958535220303	4.274320330235949	0.0033355587535452	2.0831412247038254e-09	5.7761850045296925e-09	0.3606430928147598
ad	caudate	heritable	Coding_UCSC.flanking.500L2_0	0.0493628839626656	-0.0239274614251262	0.0710875652372928	-0.4847257596056002	1.4401015404824828	0.3077576890860634	-2.419169394389297e-09	1.968010354213492e-09	-1.2292462736336107
ad	caudate	heritable	Conserved_LindbladTohL2_0	0.0246705380614742	0.2874900630667512	0.1331205729576489	11.65317360936274	5.395933101496926	0.0513615272814786	2.8197672976178777e-08	1.1456345122158562e-08	2.4613149023975875
ad	caudate	heritable	Conserved_LindbladToh.flanking.500L2_0	0.3055313572411002	-0.004320643133143	0.1666764911729802	-0.0141414065389482	0.5455299013431633	0.0606887507729074	-1.338026299542329e-09	1.223732464474253e-09	-1.0933977306201317
ad	caudate	heritable	CTCF_HoffmanL2_0	0.0238146642288856	0.1208021224924071	0.094994177335478	5.07259398374728	3.988894255341045	0.312194719656001	5.863698712006566e-09	4.833121157092998e-09	1.2132323029810894
ad	caudate	heritable	CTCF_Hoffman.flanking.500L2_0	0.0469797903394289	0.028363883060122	0.1194496768019636	0.6037464802459311	2.542575774368932	0.875995749982641	-7.242722927641902e-10	2.988635764986206e-09	-0.2423421084795634
ad	caudate	heritable	DGF_ENCODEL2_0	0.1353626031447911	0.2644328096321002	0.2128774441246257	1.953514512049156	1.5726459094238945	0.5349353565191762	5.365360342210591e-10	2.398961746849534e-09	0.2236534346267387
ad	caudate	heritable	DGF_ENCODE.flanking.500L2_0	0.4028609201666991	0.4521008297867995	0.2372356250624792	1.1222255799835972	0.5888772357574765	0.8356259953546306	-3.0187067321261416e-11	1.0485911524918096e-09	-0.0287882147865988
ad	caudate	heritable	DHS_peaks_TrynkaL2_0	0.1099598249266627	0.1898655168539301	0.1860014902755051	1.7266807852828083	1.6915404366963849	0.666320914977772	1.2517522438759212e-09	3.749108793687261e-09	0.3338799466112102
