Disorder	BrainRegion	h2Metric	Category	Prop._SNPs	Prop._h2	Prop._h2_std_error	Enrichment	Enrichment_std_error	Enrichment_p	Coefficient	Coefficient_std_error	Coefficient_z-score	FDR
ad	caudate	heritable	Coding_UCSCL2_0	0.0142591398753161	0.1956490669771199	0.0609481314607421	13.720958535220303	4.274320330235949	0.0033355587535452	2.083141224703825e-09	5.7761850045296925e-09	0.3606430928147598	0.04892169321601003
ad	caudate	heritable	H3K27ac_HniszL2_0	0.3890438084271867	0.7021968227719494	0.0907043934704601	1.804929952775157	0.2331469914330645	0.0017483394573936	7.196170018428676e-10	5.828746037774594e-10	1.234600027483126	0.033917785473435845
ad	caudate	heritable	SuperEnhancer_HniszL2_0	0.1672067462048907	0.4341722396469081	0.0525876255265664	2.5966191526440263	0.3145066016781823	2.52179086728089e-06	5.790998626806345e-10	6.34142766498388e-10	0.9132010854248332	0.00012230685706312317
ad	caudate	heritable	Backgrd_Selection_StatL2_0	0.1777198118687993	0.2702457418199446	0.0218660754079612	1.5206281110597395	0.1230367913291725	1.8849067257523427e-08	1.035702006534116e-09	9.294960172481203e-10	1.1142619089433334	1.8283595239797725e-06
ad	caudate	heritable	CpG_Content_50kbL2_0	0.0100518737376365	0.0144800019125804	0.0009239823931105	1.4405276359932675	0.0919214086077202	1.066514606755894e-05	5.8759432577959335e-08	3.8592183974865526e-08	1.5225733950747231	0.00034483972285107234
ad	caudate	heritable	MAF_Adj_ASMCL2_0	-2.3485270052117152e-14	-0.4694790381991892	0.1251677475400702	19990361497114.94	-5329627773591.927	5.496586561086704e-05	-1.9588199087997203e-10	1.8467406574955704e-10	-1.060690303670546	0.0013329222410635258
ad	caudate	non_heritable	Coding_UCSCL2_0	0.0142591398753161	0.197164737349224	0.060941987131481	13.827253191514956	4.273889425615138	0.0031475927479963	2.549453945039206e-09	5.702402004323561e-09	0.4470842187390876	0.0418472762237843
ad	caudate	non_heritable	H3K27ac_HniszL2_0	0.3890438084271867	0.7050294484526658	0.0907445069038384	1.8122109468929355	0.23325009918728	0.0017571455739611	7.269973321807683e-10	5.821662779447333e-10	1.248779532107808	0.03408862413484534
ad	caudate	non_heritable	SuperEnhancer_HniszL2_0	0.1672067462048907	0.4355028255386117	0.052998934296933	2.604576881156207	0.3169664831106131	2.8995353770234635e-06	5.79537432352394e-10	6.33145616505482e-10	0.9153304030611988	0.00014062746578563797
ad	caudate	non_heritable	Backgrd_Selection_StatL2_0	0.1777198118687993	0.2709763720206563	0.0219780252972981	1.5247392464082907	0.1236667148484451	1.5994481060655915e-08	1.0720356138080652e-09	9.3245761140006e-10	1.1496883082957867	1.5514646628836237e-06
ad	caudate	non_heritable	CpG_Content_50kbL2_0	0.0100518737376365	0.0144997151775436	0.0009201528831859	1.44248878925461	0.0915404338736066	1.0972101812356009e-05	5.4402179297330416e-08	3.815425548253071e-08	1.42584827326113	0.00035476462526617757
ad	caudate	non_heritable	MAF_Adj_ASMCL2_0	-2.3485270052117152e-14	-0.4730824473742472	0.1246732821149272	20143794230358.44	-5308573494716.457	4.819025497971921e-05	-1.951363840289532e-10	1.8512700566112104e-10	-1.054067629582658	0.001168613683258191
ad	dlpfc	heritable	Coding_UCSCL2_0	0.0142591398753161	0.1953758384939507	0.0609783875575054	13.70179689675134	4.276442204137736	0.0032852408507868	2.146393028231186e-09	5.764690583798786e-09	0.372334472601783	0.04829580405805635
ad	dlpfc	heritable	H3K27ac_HniszL2_0	0.3890438084271867	0.701930341932838	0.0903137055583981	1.80424498919692	0.2321427654214968	0.0017793365017658	7.188752208651e-10	5.830138163948212e-10	1.2330329070250932	0.03451912813425652
ad	dlpfc	heritable	SuperEnhancer_HniszL2_0	0.1672067462048907	0.4335550156259671	0.0522702700015747	2.5929277703586213	0.3126086188982122	2.7928036372802194e-06	5.737592481559648e-10	6.328953110881752e-10	0.9065626464659152	0.00013545097640809065
ad	dlpfc	heritable	Backgrd_Selection_StatL2_0	0.1777198118687993	0.2699036097891905	0.0218644890740494	1.5187029906853902	0.12302786529051	1.959767272294908e-08	1.0287193892011358e-09	9.268669259975263e-10	1.1098889822764924	1.900974254126061e-06
ad	dlpfc	heritable	CpG_Content_50kbL2_0	0.0100518737376365	0.0144685285401065	0.0009204520227977	1.4393862196988152	0.0915701934606819	1.0980090925965824e-05	5.8824126100287376e-08	3.84746839607458e-08	1.5289047249953582	0.00035502293993956165
ad	dlpfc	heritable	MAF_Adj_ASMCL2_0	-2.3485270052117152e-14	-0.466400570297093	0.1280795234244714	19859280700715.125	-5453610843743.536	7.737377056662408e-05	-1.9111775138202758e-10	1.8839024598776006e-10	-1.0144779544183231	0.001876313936240634
ad	dlpfc	non_heritable	Coding_UCSCL2_0	0.0142591398753161	0.195477670766256	0.0613579654976146	13.708938440574864	4.303062178654309	0.0036779772668637	2.143745818142956e-09	5.745216794027013e-09	0.373135757100009	0.04459547436072236
ad	dlpfc	non_heritable	H3K27ac_HniszL2_0	0.3890438084271867	0.7028229294503265	0.0910181288998229	1.8065393002697447	0.2339534184280891	0.0019116726131164	7.12081642060497e-10	5.84030531607396e-10	1.219254137451809	0.03708644869445816
ad	dlpfc	non_heritable	SuperEnhancer_HniszL2_0	0.1672067462048907	0.4354557205160161	0.0530860000410589	2.604295163918926	0.3174871902357859	2.9486350329513485e-06	5.766020725135317e-10	6.333679491901755e-10	0.9103745670281786	0.0001430087990981404
ad	dlpfc	non_heritable	Backgrd_Selection_StatL2_0	0.1777198118687993	0.270871481376251	0.0219580148816721	1.5241490440931842	0.1235541195479238	1.5927111080895842e-08	1.0444861469424892e-09	9.302239963907772e-10	1.1228329423827417	1.5449297748468966e-06
ad	dlpfc	non_heritable	CpG_Content_50kbL2_0	0.0100518737376365	0.0144979497821771	0.0009211137872687	1.442313160768564	0.0916360283973608	1.1357395822463271e-05	5.6554594668924096e-08	3.800834059973224e-08	1.487952217238406	0.0003672224649263124
ad	dlpfc	non_heritable	MAF_Adj_ASMCL2_0	-2.3485270052117152e-14	-0.4756754535772435	0.1238274930192369	20254204125464.69	-5272559895817.513	3.751978879180401e-05	-2.0163528558639007e-10	1.8254090762378208e-10	-1.1046032815940725	0.0009098548782012472
ad	hippocampus	heritable	Coding_UCSCL2_0	0.0142591398753161	0.1966513676277683	0.0612910025808503	13.791250338191077	4.298366038680244	0.0033290836396149	2.075471947786074e-09	5.778053894347096e-09	0.3591991327420107	0.04832704158998155
ad	hippocampus	heritable	H3K27ac_HniszL2_0	0.3890438084271867	0.7028279849952148	0.0909604718042953	1.806552295065649	0.2338052163637491	0.0018459750187077	7.174851395082796e-10	5.829906922360226e-10	1.2306974177519243	0.03581191536292938
ad	hippocampus	heritable	SuperEnhancer_HniszL2_0	0.1672067462048907	0.4346730470300428	0.0528346349178664	2.599614291264337	0.3159838709684854	2.673944593735913e-06	5.788235286775673e-10	6.340351815801276e-10	0.9129202061548648	0.00012968631279619179
ad	hippocampus	heritable	Backgrd_Selection_StatL2_0	0.1777198118687993	0.2710233170432132	0.0219482740167259	1.52500339828907	0.1234993093112723	1.5798980186962477e-08	1.0311824692036623e-09	9.26906574914366e-10	1.112498818231956	1.5325010781353603e-06
ad	hippocampus	heritable	CpG_Content_50kbL2_0	0.0100518737376365	0.0145006075211495	0.0009275107158793	1.4425775631120257	0.0922724200570233	1.0967056861134093e-05	5.830630605204025e-08	3.833817185277405e-08	1.5208421068158304	0.00035460150517666896
ad	hippocampus	heritable	MAF_Adj_ASMCL2_0	-2.3485270052117152e-14	-0.4773973981073036	0.1250699519084697	20327524318344.688	-5325463647253.015	4.1874339745299255e-05	-2.040258696297816e-10	1.8451931120719687e-10	-1.105715538904656	0.001015452738823507
ad	hippocampus	non_heritable	Coding_UCSCL2_0	0.0142591398753161	0.1964155542573503	0.0610824229437035	13.774712638688868	4.283738253346016	0.0033883790451608	2.299200089753457e-09	5.715328286994163e-09	0.4022866184232201	0.04206383456752748
ad	hippocampus	non_heritable	H3K27ac_HniszL2_0	0.3890438084271867	0.7029840219217178	0.0909679185642	1.8069533731013947	0.2338243575497631	0.0019016363800056	7.146811176463013e-10	5.840267157552897e-10	1.223713056896795	0.036891745772108644
ad	hippocampus	non_heritable	SuperEnhancer_HniszL2_0	0.1672067462048907	0.434548923070178	0.0528637152674774	2.598871953035276	0.3161577894871515	2.9688781919086832e-06	5.671609713063344e-10	6.327946085664581e-10	0.896279714821195	0.00014399059230757114
ad	hippocampus	non_heritable	Backgrd_Selection_StatL2_0	0.1777198118687993	0.2710100936767821	0.021947970120824	1.5249289925923046	0.1234975993392733	1.5040883361297875e-08	1.0409199395238266e-09	9.280748961359459e-10	1.1215904490658164	1.458965686045894e-06
ad	hippocampus	non_heritable	CpG_Content_50kbL2_0	0.0100518737376365	0.0145014903575622	0.0009212856358015	1.442665391156405	0.0916531245664186	1.1210913512159436e-05	5.591858873017759e-08	3.813416295975958e-08	1.466364655471387	0.00036248620355982175
ad	hippocampus	non_heritable	MAF_Adj_ASMCL2_0	-2.3485270052117152e-14	-0.4754517540415144	0.1237546149741868	20244679025892.38	-5269456757344.404	3.826326372900921e-05	-1.9903798969153823e-10	1.8356830436695288e-10	-1.084272093583549	0.0009278841454284733
mdd	caudate	heritable	Coding_UCSCL2_0	0.0142591398753161	0.0546348671035226	0.0121263499642836	3.831568213879461	0.8504264682384811	0.0010494690915844	9.4353661754391e-09	6.686431171966393e-09	1.4111214088313542	0.0050899250941843395
mdd	caudate	heritable	Conserved_LindbladTohL2_0	0.0246705380614742	0.1884932794212466	0.0278408738783364	7.640420283966132	1.128506958744161	1.7326157622363297e-08	-7.599939940710059e-09	8.406764785880804e-09	-0.904026713519354	1.5278520812447635e-07
mdd	caudate	heritable	FetalDHS_TrynkaL2_0	0.083682887841106	0.1987080871722116	0.0432380291612305	2.374536686036829	0.5166890182295013	0.0079102032027296	6.431309461211607e-09	3.168033327083013e-09	2.0300637011079914	0.030590389690184454
mdd	caudate	heritable	H3K4me1_peaks_TrynkaL2_0	0.1688701811174639	0.3534871848401538	0.0436554145404988	2.09324809448906	0.2585146427369124	3.137801476701481e-05	5.078632618883309e-09	2.0402113690922e-09	2.489267874800181	0.00017903926072943745
mdd	caudate	heritable	H3K4me3_TrynkaL2_0	0.1328867423264502	0.222654625484563	0.0281896999911394	1.6755217381850511	0.2121332760335751	0.0017427154388442	8.341056668801097e-10	1.578270138083868e-09	0.5284935998933449	0.007349712937734235
mdd	caudate	heritable	H3K9ac_peaks_TrynkaL2_0	0.0381863661076646	0.1680381712398528	0.0287530364432737	4.400475571990204	0.7529660288231136	1.4854144097546865e-05	1.7373450192609926e-08	4.4750687151686105e-09	3.882275624890674	9.605679849746973e-05
mdd	caudate	heritable	Intron_UCSCL2_0	0.3874513328700006	0.4530133713406638	0.0154150037473354	1.1692136093197047	0.0397856516150056	2.56552887964896e-05	8.274957935411292e-10	3.2227178419015596e-10	2.56769544879817	0.0001555351883287182
mdd	caudate	heritable	GERP.NSL2_0	1.7453162562850617	3.552904038111212	0.1052088125122061	2.0356792216406867	0.0602806580946797	2.8342512437582612e-37	2.7891994961975302e-09	3.960980602944073e-10	7.0416893587522384	2.7492237064455135e-35
mdd	caudate	heritable	GERP.RSsup4L2_0	0.0081499252074974	0.1172568771772992	0.0169159253028504	14.387478926730578	2.075592704493642	2.3578073450445507e-10	3.4421476784480187e-08	1.0165770327566832e-08	3.38601755453184	2.858841405866518e-09
mdd	caudate	heritable	MAFbin9L2_0	0.1010999706600679	0.1516496977395395	0.015451661723835	1.4999974455921137	0.1528354718893903	0.0013458818165783	6.035163662776919e-09	7.74557649613811e-10	7.791755288694144	0.005934115282186141
mdd	caudate	heritable	Backgrd_Selection_StatL2_0	0.1777198118687993	0.201407477333576	0.0042689692420507	1.133286577425954	0.0240207841610944	3.2587400263375234e-08	-3.7378742971410414e-10	8.05800109035984e-10	-0.4638711580236485	2.6341481879561647e-07
mdd	caudate	heritable	CpG_Content_50kbL2_0	0.0100518737376365	0.0103709614087082	0.0001243714777164	1.031744098602918	0.0123729645798008	0.0118409567747363	2.891828848386327e-07	3.8577794190228185e-08	7.496096936301329	0.03960595886722142
mdd	caudate	heritable	MAF_Adj_ASMCL2_0	-2.3485270052117152e-14	-0.470307395777251	0.0361505657043621	20025632864070.64	-1539286779506.4285	3.423189197528265e-29	-1.0677890352493532e-09	1.9105424769318687e-10	-5.588931144645947	1.6602467608012084e-27
mdd	caudate	heritable	GTEx_eQTL_MaxCPPL2_0	0.0103404094611467	0.0450077764793849	0.0087828967615489	4.352610662904415	0.8493761097710889	0.0001214941404033	2.3860541386984436e-08	6.760080843259142e-09	3.5296236746602108	0.00065471842328445
mdd	caudate	heritable	Conserved_Vertebrate_phastCons46wayL2_0	0.0294360542974948	0.1998442006163009	0.0253935828841945	6.789096072339721	0.862669385901891	1.873976391249388e-10	3.4259071425621157e-09	4.992861458085402e-09	0.6861610664189826	2.5967958564455806e-09
mdd	caudate	heritable	Conserved_Mammal_phastCons46wayL2_0	0.0214394549784697	0.1825773015255792	0.0253323330958292	8.515948829339616	1.1815754235016127	9.564438722242003e-10	-4.276297028139667e-09	9.902239211048582e-09	-0.4318515173182566	1.0308339511749715e-08
mdd	caudate	heritable	Conserved_Primate_phastCons46wayL2_0	0.0192690716687811	0.24131907619597	0.0264049741063639	12.52364827657699	1.3703293319077734	9.807946507530878e-15	4.65542100626652e-08	7.608170626157493e-09	6.118975552757471	1.9027416224609906e-13
mdd	caudate	heritable	Conserved_Primate_phastCons46way.flanking.500L2_0	0.1565502614508353	0.3600214412074679	0.0453708274779313	2.2997179172423987	0.2898163634953756	1.1456300087973996e-05	9.468203273548433e-09	1.9680342631989273e-09	4.810995138955766	7.937579346667698e-05
mdd	caudate	heritable	BivFlnkL2_0	0.013549378568832	0.0506346672798534	0.0137366991050238	3.737047202764692	1.013825027859416	0.0073575041310114	5.453796326966508e-09	4.801829400884506e-09	1.1357746957778028	0.02973657919617107
mdd	caudate	heritable	Ancient_Sequence_Age_Human_EnhancerL2_0	0.0051380947899561	0.0366722866713991	0.0118562286058917	7.137331670697422	2.307514573119242	0.0095148297711169	1.829615728813125e-08	1.0994749907463656e-08	1.6640812607944018	0.03418290695549405
mdd	caudate	heritable	Human_Promoter_Villar_ExACL2_0	0.0024966621423786	0.0244384376890287	0.0066981956788536	9.78844404863893	2.6828602737861664	0.0011605871886947	3.3158908129746664e-08	1.2526618793879325e-08	2.6470756933984894	0.005360807490637424
mdd	caudate	non_heritable	Coding_UCSCL2_0	0.0142591398753161	0.0549065453215581	0.0121351337187014	3.850621131545681	0.8510424769525102	0.0009922847231028	9.77627930021739e-09	6.6440674608633785e-09	1.4714298669909938	0.004812580907048581
mdd	caudate	non_heritable	Conserved_LindbladTohL2_0	0.0246705380614742	0.1888863470461903	0.0278439677703966	7.656352957342135	1.12863236711801	1.6597795097357075e-08	-7.550111180761022e-09	8.410421560167742e-09	-0.8977090062308885	1.4636237494942147e-07
mdd	caudate	non_heritable	FetalDHS_TrynkaL2_0	0.083682887841106	0.1986308482308411	0.0432023656573495	2.373613690387859	0.5162628438370882	0.0079036857188228	6.385177103239794e-09	3.1663447162756834e-09	2.0165767392345595	0.02993879872864965
mdd	caudate	non_heritable	H3K4me1_peaks_TrynkaL2_0	0.1688701811174639	0.3521383351329791	0.0438405735305249	2.085260599608384	0.259611100316343	3.787419114439578e-05	5.015404325715253e-09	2.0429479573279302e-09	2.45498389115851	0.0002161056788827289
mdd	caudate	non_heritable	H3K4me3_TrynkaL2_0	0.1328867423264502	0.2228781193246891	0.0281764282014209	1.6772035751855936	0.2120334030930083	0.0016783111923715	8.746846338535996e-10	1.5804799967933211e-09	0.5534297400968511	0.007078095028697196
mdd	caudate	non_heritable	H3K9ac_peaks_TrynkaL2_0	0.0381863661076646	0.1664364686788861	0.0289265519141614	4.358531215293608	0.7575099403961192	2.048571063425482e-05	1.7086688339969646e-08	4.48265944855889e-09	3.811730187414252	0.00013247426210151448
mdd	caudate	non_heritable	Intron_UCSCL2_0	0.3874513328700006	0.4530147978068758	0.0154371704730032	1.1692172909852228	0.0398428632537001	2.58913655806149e-05	8.254737588271366e-10	3.2227661432830925e-10	2.561382744285041	0.00015696640383247785
mdd	caudate	non_heritable	GERP.NSL2_0	1.7453162562850617	3.5555454770813766	0.1054113162467376	2.037192665958101	0.0603966850518585	2.8359555565215896e-37	2.7811325562166084e-09	3.962370836273223e-10	7.018859847132282	2.750876889825942e-35
mdd	caudate	non_heritable	GERP.RSsup4L2_0	0.0081499252074974	0.1173477204529104	0.0169416936589814	14.398625443207523	2.078754494997841	2.4150375110544417e-10	3.4359080902659906e-08	1.0169223770986324e-08	3.378731914690416	2.9282329821535105e-09
mdd	caudate	non_heritable	MAFbin9L2_0	0.1010999706600679	0.1517826196214783	0.0154863554820504	1.5013122024715762	0.1531786347804271	0.0013313290607476	6.0466472013134374e-09	7.747435358236616e-10	7.804708166922619	0.005869950858750781
mdd	caudate	non_heritable	Backgrd_Selection_StatL2_0	0.1777198118687993	0.2015206441586542	0.0042743936124207	1.1339233484414544	0.0240513061963866	2.9272315331245962e-08	-3.4730314558904217e-10	8.044100851435706e-10	-0.431748870387491	2.3661788226090484e-07
mdd	caudate	non_heritable	CpG_Content_50kbL2_0	0.0100518737376365	0.0103698103927985	0.0001247314991535	1.0316295910056537	0.0124087809307179	0.0123994438055106	2.855198367617075e-07	3.897313487454724e-08	7.326068012767848	0.04147400169429408
mdd	caudate	non_heritable	MAF_Adj_ASMCL2_0	-2.3485270052117152e-14	-0.4719007135299133	0.0362353662001751	20093476144097.93	-1542897574512.1812	2.98369632821028e-29	-1.0709844550272552e-09	1.9124875432991246e-10	-5.599955193327746	1.4470927191819857e-27
mdd	caudate	non_heritable	GTEx_eQTL_MaxCPPL2_0	0.0103404094611467	0.0453165430859027	0.0087978163806893	4.382470854386964	0.8508189558398441	0.0001092151886148	2.4072655985611543e-08	6.764877215199115e-09	3.5584764098195083	0.0005885485164242
mdd	caudate	non_heritable	Conserved_Vertebrate_phastCons46wayL2_0	0.0294360542974948	0.2003148256263368	0.0253622714691165	6.805084119014712	0.8616056762497217	1.7119223912158827e-10	3.441894128915217e-09	4.992932885697927e-09	0.6893531733171092	2.372235313542009e-09
mdd	caudate	non_heritable	Conserved_Mammal_phastCons46wayL2_0	0.0214394549784697	0.1828832499866821	0.0253035816492902	8.530219176296203	1.1802343704492917	9.061513732192703e-10	-4.252763837771572e-09	9.902505521322548e-09	-0.4294634149523389	9.766298133585469e-09
