env	term	odds_ratio	ci_lo	ci_hi	p_value	n_nonheritable_features	n_heritable_features	n_env_linked_nonheritable	n_env_linked_heritable	fdr	cohort	tissue	population	vmr_set	modality	run_tag
smoking	env_valueTRUE	0.874176921492535	0.327857000476243	2.93634364184552	0.795561970614235	138	943	5	30	0.93531439525852	all_individuals	dlpfc	EA	EA_only	psi	window_250kb
codeine	env_valueTRUE	1.09240023828782	0.374930146083338	4.34487735076953	1	136	905	4	29	1	all_individuals	dlpfc	EA	EA_only	psi	window_250kb
morphine	env_valueTRUE	1.91560939858273	0.470143581090467	16.846799839111	0.565147398313987	131	901	2	26	0.816324019786871	all_individuals	dlpfc	EA	EA_only	psi	window_250kb
cocaine	env_valueTRUE	2.64916752537362	0.410359402019891	111.374490232567	0.495298523013589	115	792	1	18	0.804860099897082	all_individuals	dlpfc	EA	EA_only	psi	window_250kb
ethanol	env_valueTRUE	0.586605391752819	0.227932307863608	1.78825859576332	0.265099148364769	136	911	6	24	0.6892577857484	all_individuals	dlpfc	EA	EA_only	psi	window_250kb
nicotine	env_valueTRUE	0.941423632987465	0.355463104894937	3.14909067059636	0.805088575974749	139	943	5	32	0.93531439525852	all_individuals	dlpfc	EA	EA_only	psi	window_250kb
amphetamines	env_valueTRUE	0.372988308664448	0.105585876429818	1.65425948737688	0.1006561035634	129	849	4	10	0.654264673162103	all_individuals	dlpfc	EA	EA_only	psi	window_250kb
any_trauma_hx	env_value	Inf	1.12367458545657	Inf	0.0248858051570853	121	839	0	30	0.323515467042109	all_individuals	dlpfc	EA	EA_only	psi	window_250kb
education	env_valueless_than_hs	0.730884797207315	0.202915101278293	3.99021438412773	0.494514706190954	137	932	3	15	0.804860099897082	all_individuals	dlpfc	EA	EA_only	psi	window_250kb
education	env_valueMD	0.539956019012625	0.190120455239119	1.88638204313098	0.213788048870564	120	829	5	19	0.6892577857484	all_individuals	dlpfc	EA	EA_only	psi	window_250kb
education	env_valuemore_than_hs	0.943513704534627	0.479906806444013	2.02989704906738	0.863367134084788	137	933	11	71	0.93531439525852	all_individuals	dlpfc	EA	EA_only	psi	window_250kb
marital_status	env_valuepreviously_married	0.498721183029051	0.172755051815433	1.75873264074881	0.191269526387902	135	904	5	17	0.6892577857484	all_individuals	dlpfc	EA	EA_only	psi	window_250kb
marital_status	env_valuesingle	1.26041405964935	0.790195872809883	2.07193978753804	0.377534360046622	135	904	26	209	0.804860099897082	all_individuals	dlpfc	EA	EA_only	psi	window_250kb
