disease	tissue	Coefficient_z-score
pd	caudate	-1.2258255179943884
pd	hippocampus	-0.232258719981619
pd	dlpfc	-0.443544314301166
scz	caudate	0.946369576616406
scz	hippocampus	-0.2804246822526758
scz	dlpfc	-0.2499778133387318
ad	caudate	0.6398085619328739
ad	hippocampus	1.2395961149585126
ad	dlpfc	1.0514523783401546
smoking	caudate	0.9285762028960892
smoking	hippocampus	-0.7367413228033481
smoking	dlpfc	-0.1030934624410502
