Tissue	h2_Category	OR	PValue	FDR	Test	Env
Caudate	Heritable	0.638986066818122	4.607604924122318e-07	3.04101924992073e-06	Logit	smoking
Caudate	Heritable	1.663670766319773	0.0003092445551467591	0.0007750251079683597	Logit	codeine
Caudate	Heritable	1.3564024985057894	0.028893570629188504	0.04540418241729622	Logit	morphine
Caudate	Heritable	1.7382240930046102	0.0001262815859060871	0.00034727436124173955	Logit	cocaine
Caudate	Heritable	0.886892602909316	0.22016311525580212	0.24217942678138235	Logit	ethanol
Caudate	Heritable	0.5697527896330695	3.007663348337649e-11	3.3084296831714133e-10	Logit	nicotine
Caudate	Heritable	1.092678673240098	0.4993955426091232	0.5150016533156583	Logit	amphetamines
Caudate	Heritable	1.2332209608443423	0.0971274443993265	0.12327714096837594	Logit	less_than_hs
Caudate	Heritable	1.2749412485725498	0.040416870858330865	0.0606253062874963	Logit	more_than_hs
Caudate	Heritable	1.525557011795544	0.0008955592880565781	0.0018470910316166923	Logit	single
Caudate	Heritable	2.1255255255255254	1.0705132739188867e-06	5.046705434189037e-06	Logit	previously_married
Caudate	Heritable	0.6471685558803261	1.336452491711751e-06	5.512866528310973e-06	DMR	smoking
Caudate	Heritable	1.656581114830756	0.0003287985306532435	0.0007750251079683597	DMR	codeine
Caudate	Heritable	1.4014913572591272	0.014762379494753468	0.025639922280361285	DMR	morphine
Caudate	Heritable	1.7805697662754538	5.791772159212439e-05	0.00017864930814664315	DMR	cocaine
Caudate	Heritable	0.8802461565203955	0.1832340018953007	0.2085076573291353	DMR	ethanol
Caudate	Heritable	0.5598520921101566	1.0004236541419793e-11	2.901345957819938e-10	DMR	nicotine
Caudate	Heritable	1.1250349775583985	0.36025705162087585	0.3834994420480291	DMR	amphetamines
Caudate	Heritable	1.2888894274462284	0.04323962954387345	0.062039468475992336	DMR	less_than_hs
Caudate	Heritable	1.248101320820299	0.061394458262970526	0.0810406849071211	DMR	more_than_hs
Caudate	Heritable	1.4834183673469388	0.0018349890719437927	0.0033641466318969533	DMR	single
Caudate	Heritable	2.1429098729766576	9.356449892922224e-07	5.046705434189037e-06	DMR	previously_married
Caudate	Heritable	0.6311169184901633	4.280182861919119e-07	3.04101924992073e-06	Both	smoking
Caudate	Heritable	1.617963286871562	0.0007441112356903041	0.001637044718518669	Both	codeine
