cohort	tissue	population	vmr_set	modality	run_tag	bin_type	h2_bin	n_vmrs	n_any_fdr10	prop_any_fdr10	median_max_abs_beta	median_pairs_tested
Replication	caudate	BA	shared	psi	window_250kb	h2_quintile	Q1	1410	53	0.0375886524822695	3.05566069857704	93
Replication	caudate	BA	shared	psi	window_250kb	h2_quintile	Q2	1409	41	0.0290986515259049	2.74201538513796	81
Replication	caudate	BA	shared	psi	window_250kb	h2_quintile	Q3	1409	61	0.0432931156848829	2.76594354429061	80
Replication	caudate	BA	shared	psi	window_250kb	h2_quintile	Q4	1409	118	0.0837473385379702	2.53850434177432	77
Replication	caudate	BA	shared	psi	window_250kb	h2_quintile	Q5	1410	160	0.113475177304965	1.73582735353817	38.5
Replication	caudate	BA	shared	psi	window_250kb	h2_tertile	T1	2349	79	0.0336313324819072	2.99469102071148	90
Replication	caudate	BA	shared	psi	window_250kb	h2_tertile	T2	2349	102	0.0434227330779055	2.74041765210272	80
Replication	caudate	BA	shared	psi	window_250kb	h2_tertile	T3	2349	252	0.10727969348659	1.99279500204702	53
Replication	caudate	WA	shared	psi	window_250kb	h2_quintile	Q1	1410	49	0.0347517730496454	2.8166738823221	82.5
Replication	caudate	WA	shared	psi	window_250kb	h2_quintile	Q2	1409	48	0.0340667139815472	2.98207490334953	88
Replication	caudate	WA	shared	psi	window_250kb	h2_quintile	Q3	1409	55	0.0390347764371895	2.73512579414031	85
Replication	caudate	WA	shared	psi	window_250kb	h2_quintile	Q4	1409	116	0.0823278921220724	2.59127073438195	76
Replication	caudate	WA	shared	psi	window_250kb	h2_quintile	Q5	1410	165	0.117021276595745	1.70015447903004	38
Replication	caudate	WA	shared	psi	window_250kb	h2_tertile	T1	2349	78	0.033205619412516	2.84897288783266	85
Replication	caudate	WA	shared	psi	window_250kb	h2_tertile	T2	2349	100	0.042571306939123	2.86692611697577	85
Replication	caudate	WA	shared	psi	window_250kb	h2_tertile	T3	2349	255	0.108556832694764	1.99279500204702	53
Replication	dlpfc	BA	shared	psi	window_250kb	h2_quintile	Q1	986	184	0.186612576064909	3.06178073734545	56
Replication	dlpfc	BA	shared	psi	window_250kb	h2_quintile	Q2	985	171	0.173604060913706	2.90969461031252	59
Replication	dlpfc	BA	shared	psi	window_250kb	h2_quintile	Q3	986	143	0.145030425963489	2.6268159811082	60
Replication	dlpfc	BA	shared	psi	window_250kb	h2_quintile	Q4	985	133	0.13502538071066	2.78697046964061	67
Replication	dlpfc	BA	shared	psi	window_250kb	h2_quintile	Q5	986	127	0.128803245436105	2.28434938075188	62
Replication	dlpfc	BA	shared	psi	window_250kb	h2_tertile	T1	1643	301	0.183201460742544	2.97892069910602	59
Replication	dlpfc	BA	shared	psi	window_250kb	h2_tertile	T2	1642	243	0.147990255785627	2.80140908456238	60
Replication	dlpfc	BA	shared	psi	window_250kb	h2_tertile	T3	1643	214	0.130249543517955	2.43237549562844	65
Replication	dlpfc	WA	shared	psi	window_250kb	h2_quintile	Q1	986	172	0.174442190669371	2.99284241421157	56
Replication	dlpfc	WA	shared	psi	window_250kb	h2_quintile	Q2	985	144	0.146192893401015	2.71362444430041	63
Replication	dlpfc	WA	shared	psi	window_250kb	h2_quintile	Q3	986	141	0.143002028397566	2.6053629162063	58
Replication	dlpfc	WA	shared	psi	window_250kb	h2_quintile	Q4	985	145	0.147208121827411	2.80156727297722	64
Replication	dlpfc	WA	shared	psi	window_250kb	h2_quintile	Q5	986	156	0.158215010141988	2.52710954235275	62.5
Replication	dlpfc	WA	shared	psi	window_250kb	h2_tertile	T1	1643	263	0.160073037127206	2.82787408297757	60
Replication	dlpfc	WA	shared	psi	window_250kb	h2_tertile	T2	1642	242	0.147381242387333	2.70104513299664	59
Replication	dlpfc	WA	shared	psi	window_250kb	h2_tertile	T3	1643	253	0.153986609860012	2.61574620756017	65
Replication	hippocampus	BA	shared	psi	window_250kb	h2_quintile	Q1	985	18	0.0182741116751269	2.65723004128189	58
Replication	hippocampus	BA	shared	psi	window_250kb	h2_quintile	Q2	985	12	0.0121827411167513	2.58210310528765	59
Replication	hippocampus	BA	shared	psi	window_250kb	h2_quintile	Q3	984	7	0.00711382113821138	2.59849557334459	65
Replication	hippocampus	BA	shared	psi	window_250kb	h2_quintile	Q4	985	10	0.0101522842639594	2.62125740475754	61
Replication	hippocampus	BA	shared	psi	window_250kb	h2_quintile	Q5	985	1	0.00101522842639594	2.18770309077896	48
Replication	hippocampus	BA	shared	psi	window_250kb	h2_tertile	T1	1642	27	0.0164433617539586	2.62328592708246	59
Replication	hippocampus	BA	shared	psi	window_250kb	h2_tertile	T2	1641	16	0.00975015234613041	2.58246533217937	62
Replication	hippocampus	BA	shared	psi	window_250kb	h2_tertile	T3	1641	5	0.00304692260816575	2.40007849407692	53
Replication	hippocampus	WA	shared	psi	window_250kb	h2_quintile	Q1	985	15	0.0152284263959391	2.62889609271902	57
Replication	hippocampus	WA	shared	psi	window_250kb	h2_quintile	Q2	985	10	0.0101522842639594	2.60120209797885	59
Replication	hippocampus	WA	shared	psi	window_250kb	h2_quintile	Q3	984	6	0.00609756097560976	2.60178393002487	62
Replication	hippocampus	WA	shared	psi	window_250kb	h2_quintile	Q4	985	7	0.00710659898477157	2.54550441168112	62
Replication	hippocampus	WA	shared	psi	window_250kb	h2_quintile	Q5	985	10	0.0101522842639594	2.22852869853876	50
Replication	hippocampus	WA	shared	psi	window_250kb	h2_tertile	T1	1642	21	0.01278928136419	2.61966264582231	58
Replication	hippocampus	WA	shared	psi	window_250kb	h2_tertile	T2	1641	13	0.00792199878123096	2.59946310886308	60
Replication	hippocampus	WA	shared	psi	window_250kb	h2_tertile	T3	1641	14	0.00853138330286411	2.38812559609334	55
