cohort	tissue	population	vmr_set	modality	run_tag	h2_category	n_vmrs	n_any_fdr05	n_any_fdr10	prop_any_fdr05	prop_any_fdr10	median_max_abs_beta	median_pairs_tested
Replication	caudate	BA	shared	psi	window_250kb	High-SNP	3357	258	306	0.0768543342269884	0.0911528150134048	2.21731793513327	62
Replication	caudate	BA	shared	psi	window_250kb	Low-SNP	3690	68	127	0.0184281842818428	0.0344173441734417	2.8775115037968	86
Replication	caudate	BA	shared	psi	window_250kb	Low prediction	106	6	10	0.0566037735849057	0.0943396226415094	3.98785939596274	89.5
Replication	caudate	WA	shared	psi	window_250kb	High-SNP	3357	258	306	0.0768543342269884	0.0911528150134048	2.21731793513327	62
Replication	caudate	WA	shared	psi	window_250kb	Low-SNP	3690	68	127	0.0184281842818428	0.0344173441734417	2.8775115037968	86
Replication	caudate	WA	shared	psi	window_250kb	Low prediction	106	6	10	0.0566037735849057	0.0943396226415094	3.98785939596274	89.5
Replication	dlpfc	BA	shared	psi	window_250kb	High-SNP	4242	478	624	0.112682696841113	0.147100424328147	2.64689302692916	62
Replication	dlpfc	BA	shared	psi	window_250kb	Low-SNP	686	106	134	0.154518950437318	0.19533527696793	3.18669944827353	53.5
Replication	dlpfc	BA	shared	psi	window_250kb	Low prediction	27	2	2	0.0740740740740741	0.0740740740740741	2.6499076087853	154
Replication	dlpfc	WA	shared	psi	window_250kb	High-SNP	4242	478	624	0.112682696841113	0.147100424328147	2.64689302692916	62
Replication	dlpfc	WA	shared	psi	window_250kb	Low-SNP	686	106	134	0.154518950437318	0.19533527696793	3.18669944827353	53.5
Replication	dlpfc	WA	shared	psi	window_250kb	Low prediction	27	2	2	0.0740740740740741	0.0740740740740741	2.6499076087853	154
Replication	hippocampus	BA	shared	psi	window_250kb	High-SNP	4290	22	35	0.00512820512820513	0.00815850815850816	2.5152591496168	58
Replication	hippocampus	BA	shared	psi	window_250kb	Low-SNP	634	10	13	0.0157728706624606	0.0205047318611987	2.67668317876542	58
Replication	hippocampus	BA	shared	psi	window_250kb	Low prediction	39	1	2	0.0256410256410256	0.0512820512820513	3.32650291347867	156
Replication	hippocampus	WA	shared	psi	window_250kb	High-SNP	4290	22	35	0.00512820512820513	0.00815850815850816	2.5152591496168	58
Replication	hippocampus	WA	shared	psi	window_250kb	Low-SNP	634	10	13	0.0157728706624606	0.0205047318611987	2.67668317876542	58
Replication	hippocampus	WA	shared	psi	window_250kb	Low prediction	39	1	2	0.0256410256410256	0.0512820512820513	3.32650291347867	156
