h2_category	n	n_in	frac	state	tissue
Heritable	5029	2016	0.400874925432492	15_Quies	Caudate
Non-heritable	6548	1223	0.186774587660354	15_Quies	Caudate
Heritable	5029	1013	0.201431696162259	1_TssA	Caudate
Non-heritable	6548	1831	0.279627367135003	1_TssA	Caudate
Heritable	5029	1113	0.221316365082521	7_Enh	Caudate
Non-heritable	6548	2097	0.320250458155162	7_Enh	Caudate
Heritable	5029	786	0.156293497713263	5_TxWk	Caudate
Non-heritable	6548	1073	0.16386682956628	5_TxWk	Caudate
Heritable	5029	139	0.0276396897991648	9_Het	Caudate
Non-heritable	6548	23	0.00351252290775809	9_Het	Caudate
Heritable	5029	754	0.149930403658779	2_TssAFlnk	Caudate
Non-heritable	6548	1487	0.227092241905925	2_TssAFlnk	Caudate
Heritable	5029	102	0.0202823622986677	4_Tx	Caudate
Non-heritable	6548	135	0.0206169822846671	4_Tx	Caudate
Heritable	5029	116	0.0230662159475045	6_EnhG	Caudate
Non-heritable	6548	275	0.0419975565058033	6_EnhG	Caudate
Heritable	5029	27	0.00536886060847087	3_TxFlnk	Caudate
Non-heritable	6548	79	0.0120647525962126	3_TxFlnk	Caudate
Heritable	5029	560	0.11135414595347	14_ReprPCWk	Caudate
Non-heritable	6548	650	0.0992669517409896	14_ReprPCWk	Caudate
Heritable	5029	10	0.00198846689202625	8_ZNF/Rpts	Caudate
Non-heritable	6548	11	0.00167990226023213	8_ZNF/Rpts	Caudate
Heritable	5029	86	0.0171008152714257	10_TssBiv	Caudate
Non-heritable	6548	158	0.0241295051924252	10_TssBiv	Caudate
Heritable	5029	35	0.00695963412209187	11_BivFlnk	Caudate
Non-heritable	6548	54	0.00824679291386683	11_BivFlnk	Caudate
Heritable	5029	42	0.00835156094651024	12_EnhBiv	Caudate
Non-heritable	6548	81	0.0123701893708002	12_EnhBiv	Caudate
Heritable	5029	163	0.0324120103400278	13_ReprPC	Caudate
Non-heritable	6548	324	0.049480757483201	13_ReprPC	Caudate
Heritable	5295	1924	0.363361661945231	15_Quies	DLPFC
Non-heritable	4138	1212	0.292895118414693	15_Quies	DLPFC
Heritable	5295	673	0.12710103871577	14_ReprPCWk	DLPFC
Non-heritable	4138	423	0.102223296278395	14_ReprPCWk	DLPFC
Heritable	5295	98	0.0185080264400378	10_TssBiv	DLPFC
Non-heritable	4138	67	0.0161913968100532	10_TssBiv	DLPFC
Heritable	5295	1112	0.210009442870633	1_TssA	DLPFC
Non-heritable	4138	895	0.216288061865636	1_TssA	DLPFC
Heritable	5295	1145	0.216241737488196	5_TxWk	DLPFC
Non-heritable	4138	965	0.233204446592557	5_TxWk	DLPFC
Heritable	5295	188	0.035505193578848	13_ReprPC	DLPFC
Non-heritable	4138	145	0.0350410826486225	13_ReprPC	DLPFC
Heritable	5295	64	0.0120868744098206	9_Het	DLPFC
Non-heritable	4138	37	0.00894151764137264	9_Het	DLPFC
Heritable	5295	1281	0.241926345609065	7_Enh	DLPFC
Non-heritable	4138	1311	0.316819719671339	7_Enh	DLPFC
Heritable	5295	642	0.121246458923513	2_TssAFlnk	DLPFC
Non-heritable	4138	502	0.121314644755921	2_TssAFlnk	DLPFC
Heritable	5295	84	0.0158640226628895	4_Tx	DLPFC
Non-heritable	4138	93	0.0224746254229096	4_Tx	DLPFC
Heritable	5295	29	0.00547686496694995	3_TxFlnk	DLPFC
Non-heritable	4138	32	0.00773320444659256	3_TxFlnk	DLPFC
Heritable	5295	113	0.0213408876298395	6_EnhG	DLPFC
Non-heritable	4138	126	0.0304494925084582	6_EnhG	DLPFC
Heritable	5295	25	0.00472143531633617	8_ZNF/Rpts	DLPFC
Non-heritable	4138	15	0.00362493958434026	8_ZNF/Rpts	DLPFC
Heritable	5295	60	0.0113314447592068	12_EnhBiv	DLPFC
Non-heritable	4138	57	0.013774770420493	12_EnhBiv	DLPFC
Heritable	5295	41	0.00774315391879131	11_BivFlnk	DLPFC
Non-heritable	4138	22	0.00531657805703238	11_BivFlnk	DLPFC
Heritable	5347	1582	0.295866841219375	15_Quies	Hippocampus
Non-heritable	4368	856	0.195970695970696	15_Quies	Hippocampus
Heritable	5347	1160	0.216944080792968	2_TssAFlnk	Hippocampus
Non-heritable	4368	1265	0.289606227106227	2_TssAFlnk	Hippocampus
Heritable	5347	1057	0.197680942584627	1_TssA	Hippocampus
Non-heritable	4368	1017	0.23282967032967	1_TssA	Hippocampus
Heritable	5347	762	0.142509818589863	5_TxWk	Hippocampus
Non-heritable	4368	578	0.132326007326007	5_TxWk	Hippocampus
Heritable	5347	701	0.131101552272302	14_ReprPCWk	Hippocampus
Non-heritable	4368	435	0.0995879120879121	14_ReprPCWk	Hippocampus
Heritable	5347	92	0.017205909855994	9_Het	Hippocampus
Non-heritable	4368	27	0.00618131868131868	9_Het	Hippocampus
Heritable	5347	1470	0.274920516177296	7_Enh	Hippocampus
Non-heritable	4368	1518	0.347527472527473	7_Enh	Hippocampus
Heritable	5347	94	0.0175799513746026	4_Tx	Hippocampus
Non-heritable	4368	59	0.013507326007326	4_Tx	Hippocampus
Heritable	5347	129	0.0241256779502525	6_EnhG	Hippocampus
Non-heritable	4368	166	0.038003663003663	6_EnhG	Hippocampus
Heritable	5347	56	0.0104731625210398	3_TxFlnk	Hippocampus
Non-heritable	4368	65	0.0148809523809524	3_TxFlnk	Hippocampus
Heritable	5347	16	0.00299233214886852	8_ZNF/Rpts	Hippocampus
Non-heritable	4368	14	0.00320512820512821	8_ZNF/Rpts	Hippocampus
Heritable	5347	137	0.0256218440246867	12_EnhBiv	Hippocampus
Non-heritable	4368	126	0.0288461538461538	12_EnhBiv	Hippocampus
Heritable	5347	152	0.028427155414251	10_TssBiv	Hippocampus
Non-heritable	4368	144	0.032967032967033	10_TssBiv	Hippocampus
Heritable	5347	107	0.0200112212455583	11_BivFlnk	Hippocampus
Non-heritable	4368	93	0.0212912087912088	11_BivFlnk	Hippocampus
Heritable	5347	325	0.0607817467738919	13_ReprPC	Hippocampus
Non-heritable	4368	256	0.0586080586080586	13_ReprPC	Hippocampus
