tissue	subgroup	n_total	n_shared	sharing_rate	ci_lo	ci_hi	n_all3	all3_rate	all3_ci_lo	all3_ci_hi
Caudate	repressive_heritable	2687	1169	0.435057685150726	0.416418138648002	0.453882655605051	829	0.308522515816896	0.291339942129116	0.326251797946505
Caudate	nonrepressive_heritable	2342	1203	0.513663535439795	0.493415296768539	0.533867024361625	793	0.338599487617421	0.319709908434835	0.358017673215096
Caudate	nonheritable	6548	2798	0.427306047648137	0.415370161683661	0.439327177074693	1623	0.247861942577886	0.237552780566141	0.258466770463358
Caudate	repressive_heritable_intergenic	1071	430	0.401493930905696	0.372536232551883	0.431155746140949	297	0.277310924369748	0.251320174392886	0.304893445685223
Caudate	nonrepressive_heritable_intergenic	258	141	0.546511627906977	0.485522377952488	0.606136139793684	98	0.37984496124031	0.322768177030834	0.440447318791556
Caudate	nonheritable_intergenic	1069	486	0.454630495790458	0.424996265354948	0.484589629930432	296	0.27689429373246	0.250893835204499	0.304492474600926
Caudate	all_heritable	5029	2372	0.471664346788626	0.457894394945278	0.485477554612064	1622	0.322529329886657	0.30974905575334	0.335580523053168
Caudate	all_heritable_intergenic	1329	571	0.429646350639579	0.403271765465142	0.456426476390676	395	0.297215951843491	0.273250391649893	0.322350423110994
DLPFC	repressive_heritable	2709	2160	0.79734219269103	0.781782889635179	0.812059406147311	991	0.365817644887412	0.347880774387482	0.384134527267471
DLPFC	nonrepressive_heritable	2586	1964	0.759474091260634	0.742619505652384	0.775558931652844	921	0.35614849187935	0.337916892028497	0.374806835724789
DLPFC	nonheritable	4138	3022	0.730304494925085	0.716571767811034	0.743610018225435	1215	0.293620106331561	0.27993929517777	0.307683742308962
DLPFC	repressive_heritable_intergenic	932	741	0.795064377682404	0.767934961181173	0.819771423074431	358	0.38412017167382	0.353426364598509	0.415765309948381
DLPFC	nonrepressive_heritable_intergenic	229	166	0.724890829694323	0.6635833279945	0.778777755472676	81	0.353711790393013	0.294618918980223	0.417631638376081
DLPFC	nonheritable_intergenic	818	589	0.720048899755501	0.688290378111888	0.749750312262365	220	0.268948655256724	0.23967491977059	0.300382355336445
DLPFC	all_heritable	5295	4124	0.778847969782814	0.767467625952499	0.789824005236862	1912	0.36109537299339	0.348262667096962	0.374129480048466
DLPFC	all_heritable_intergenic	1161	907	0.781223083548665	0.756518297197577	0.804073013366788	439	0.378122308354866	0.350671135618596	0.406377346939267
Hippocampus	repressive_heritable	2522	2020	0.800951625693894	0.784909087170759	0.81607875183191	929	0.368358445678033	0.34974535960663	0.387371949288118
Hippocampus	nonrepressive_heritable	2825	2240	0.792920353982301	0.777579674527168	0.807465484097575	1047	0.370619469026549	0.352995702184134	0.388594623523004
Hippocampus	nonheritable	4368	3270	0.748626373626374	0.73554516790272	0.761270652263343	1289	0.295100732600733	0.281758755157952	0.308802792679409
Hippocampus	repressive_heritable_intergenic	896	715	0.797991071428571	0.770424362654817	0.823013508834061	334	0.372767857142857	0.341708146183267	0.40491388621474
Hippocampus	nonrepressive_heritable_intergenic	327	253	0.773700305810398	0.725211603128557	0.815833042962828	129	0.394495412844037	0.343027639792384	0.448413250820434
Hippocampus	nonheritable_intergenic	779	593	0.761232349165597	0.730030968323692	0.789869958503972	223	0.286264441591784	0.255614783214895	0.319011731198834
Hippocampus	all_heritable	5347	4260	0.796708434636245	0.78570804752085	0.807282797829167	1976	0.369553020385263	0.356712979659475	0.382580361259758
Hippocampus	all_heritable_intergenic	1223	968	0.791496320523303	0.767815161892215	0.813352025500828	463	0.37857726901063	0.351811219487615	0.406103710869
