tissue	question	group_a	group_b	n_a_pos	n_a_total	rate_a	n_b_pos	n_b_total	rate_b	or	ci_lo	ci_hi	p_value	fdr
Caudate	Q1_repressive_vs_all_heritable_sharing	repressive_heritable	all_heritable	1169	2687	0.435057685150726	2372	5029	0.471664346788626	0.862638345799427	0.784107494401624	0.948915166512548	0.0021479724300477	0.00483293796760734
Caudate	Q2_shared_vs_specific_repressive_enrichment	shared_heritable	specific_heritable	1169	2372	0.49283305227656	1518	2657	0.571321038765525	0.72918267295221	0.651321885126571	0.816266743329658	2.81936199664177e-08	2.5374257969776e-07
Caudate	Q2_shared_vs_specific_repressive_intergenic	shared_heritable_intergenic	specific_heritable_intergenic	430	571	0.753064798598949	641	758	0.845646437994723	0.556881963519995	0.419127274135019	0.738861879837315	3.35805322329288e-05	0.00015111239504818
Caudate	Q3_repressive_vs_nonrepressive_heritable_sharing	repressive_heritable	nonrepressive_heritable	1169	2687	0.435057685150726	1203	2342	0.513663535439795	0.72918267295221	0.651321885126571	0.816266743329658	2.81936199664177e-08	2.5374257969776e-07
Caudate	Q3_repressive_vs_nonrepressive_heritable_sharing_intergenic	repressive_heritable_ig	nonrepressive_heritable_ig	430	1071	0.401493930905696	141	258	0.546511627906977	0.556881963519994	0.419127274135019	0.738861879837315	3.35805322329288e-05	0.00015111239504818
Caudate	Q4_repressive_heritable_vs_nonheritable_intergenic_sharing	repressive_heritable_ig	nonheritable_ig	430	1071	0.401493930905696	486	1069	0.454630495790458	0.804804117998319	0.67532996792465	0.958848117789408	0.0144038298787199	0.0288076597574398
DLPFC	Q1_repressive_vs_all_heritable_sharing	repressive_heritable	all_heritable	2160	2709	0.79734219269103	4124	5295	0.778847969782814	1.11719303392502	0.995514069533934	1.25456720323913	0.0577403602966061	0.0866105404449091
DLPFC	Q2_shared_vs_specific_repressive_enrichment	shared_heritable	specific_heritable	2160	4124	0.52376333656644	549	1171	0.468830059777968	1.24597685533829	1.09177406354727	1.42225601688918	0.000925090370009969	0.00237880380859707
DLPFC	Q2_shared_vs_specific_repressive_intergenic	shared_heritable_intergenic	specific_heritable_intergenic	741	907	0.816979051819184	191	254	0.751968503937008	1.47184780987216	1.03867350842893	2.0700461066566	0.0255481556178498	0.0418060728292088
DLPFC	Q3_repressive_vs_nonrepressive_heritable_sharing	repressive_heritable	nonrepressive_heritable	2160	2709	0.79734219269103	1964	2586	0.759474091260634	1.24597685533829	1.09177406354727	1.42225601688918	0.000925090370009969	0.00237880380859707
DLPFC	Q3_repressive_vs_nonrepressive_heritable_sharing_intergenic	repressive_heritable_ig	nonrepressive_heritable_ig	741	932	0.795064377682404	166	229	0.724890829694323	1.47184780987215	1.03867350842894	2.0700461066566	0.0255481556178498	0.0418060728292088
DLPFC	Q4_repressive_heritable_vs_nonheritable_intergenic_sharing	repressive_heritable_ig	nonheritable_ig	741	932	0.795064377682404	589	818	0.720048899755501	1.50797181213837	1.20264416258237	1.89244812259647	0.000264297090844666	0.000951469527040799
Hippocampus	Q1_repressive_vs_all_heritable_sharing	repressive_heritable	all_heritable	2020	2522	0.800951625693894	4260	5347	0.796708434636245	1.02675526883784	0.91093215476138	1.15823973222383	0.673661284307999	0.673661284307999
Hippocampus	Q2_shared_vs_specific_repressive_enrichment	shared_heritable	specific_heritable	2020	4260	0.474178403755869	502	1087	0.461821527138914	1.05089667281764	0.917485090590603	1.20393120994908	0.474875035225129	0.502808860826607
Hippocampus	Q2_shared_vs_specific_repressive_intergenic	shared_heritable_intergenic	specific_heritable_intergenic	715	968	0.738636363636364	181	255	0.709803921568628	1.15526289848229	0.837836884777108	1.58303882062185	0.381716440861582	0.458059729033899
Hippocampus	Q3_repressive_vs_nonrepressive_heritable_sharing	repressive_heritable	nonrepressive_heritable	2020	2522	0.800951625693894	2240	2825	0.792920353982301	1.05089667281764	0.917485090590603	1.20393120994908	0.474875035225129	0.502808860826607
Hippocampus	Q3_repressive_vs_nonrepressive_heritable_sharing_intergenic	repressive_heritable_ig	nonrepressive_heritable_ig	715	896	0.797991071428571	253	327	0.773700305810398	1.15526289848229	0.837836884777107	1.58303882062185	0.381716440861582	0.458059729033899
Hippocampus	Q4_repressive_heritable_vs_nonheritable_intergenic_sharing	repressive_heritable_ig	nonheritable_ig	715	896	0.797991071428571	593	779	0.761232349165597	1.23887432809837	0.975900644478934	1.57299763843028	0.0756366126336114	0.104727617492693
